date,facebook app privacy policy,how to change instagram privacy settings,best anonymous browser,how to uninstall gmail,how to unfriend someone on facebook,how to unfriend someone on instagram,how to encrypt emails,how to protect against phishing,how to encrypt whatsapp messages,instagram privacy policy
2011-01-01,12,0,24,141,237,0,36,36,0,0
2011-02-01,13,0,13,175,228,0,51,13,0,0
2011-03-01,29,0,29,163,310,0,11,0,0,0
2011-04-01,18,0,67,134,300,0,49,24,0,0
2011-05-01,29,0,34,130,246,0,29,0,0,0
2011-06-01,35,0,24,245,337,0,30,24,0,0
2011-07-01,82,0,18,163,401,0,18,0,0,0
2011-08-01,22,0,17,167,437,0,11,0,0,0
2011-09-01,21,0,75,167,410,0,21,0,0,0
2011-10-01,20,0,25,197,382,0,36,10,0,0
2011-11-01,20,0,25,286,210,0,36,10,0,0
2011-12-01,30,0,25,226,319,10,15,20,0,13
2012-01-01,9,11,42,152,419,0,19,14,0,0
2012-02-01,24,0,29,141,446,0,48,14,0,13
2012-03-01,46,19,23,197,446,0,23,0,0,0
2012-04-01,100,19,19,156,573,9,81,10,0,13
2012-05-01,58,9,27,178,537,9,31,62,0,19
2012-06-01,27,14,27,167,610,18,23,9,0,19
2012-07-01,45,9,41,197,555,0,23,18,10,7
2012-08-01,40,19,36,193,382,0,22,13,0,19
2012-09-01,22,170,22,193,300,18,22,9,10,25
2012-10-01,44,119,32,193,646,0,36,28,0,32
2012-11-01,37,87,37,186,782,8,24,16,0,13
2012-12-01,41,111,45,230,282,8,16,16,8,625
2013-01-01,26,106,44,234,210,22,19,7,0,150
2013-02-01,54,50,33,189,282,8,21,21,0,44
2013-03-01,22,95,47,230,782,11,40,11,0,38
2013-04-01,33,68,44,234,373,15,22,19,0,50
2013-05-01,22,73,29,230,310,7,22,7,7,50
2013-06-01,22,82,44,308,328,26,22,29,0,25
2013-07-01,51,55,22,245,755,18,47,14,7,32
2013-08-01,36,62,47,230,328,7,43,7,7,44
2013-09-01,28,58,21,304,310,14,28,14,7,69
2013-10-01,34,38,30,260,282,17,30,13,7,69
2013-11-01,20,28,34,252,528,27,24,14,7,32
2013-12-01,27,68,44,304,782,17,27,14,7,132
2014-01-01,38,67,51,326,300,6,22,16,0,50
2014-02-01,28,33,31,278,255,10,45,7,7,44
2014-03-01,19,51,40,260,282,0,22,19,7,444
2014-04-01,23,56,61,304,573,19,29,19,7,50
2014-05-01,49,46,13,234,655,26,49,7,7,38
2014-06-01,47,70,54,315,282,15,36,11,0,63
2014-07-01,42,68,32,289,282,25,35,21,15,38
2014-08-01,88,36,42,300,246,7,25,11,22,44
2014-09-01,58,38,20,356,246,10,31,7,14,50
2014-10-01,55,55,45,300,191,13,13,13,7,32
2014-11-01,56,50,69,275,237,23,46,23,20,44
2014-12-01,33,36,52,300,282,13,39,26,14,82
2015-01-01,70,53,46,267,219,15,24,25,0,57
2015-02-01,33,24,39,267,237,23,29,16,0,69
2015-03-01,47,19,56,300,219,12,27,15,0,44
2015-04-01,34,19,34,245,346,6,37,15,0,57
2015-05-01,21,19,47,278,664,15,36,9,24,38
2015-06-01,43,31,49,312,482,12,39,24,12,25
2015-07-01,21,24,72,300,282,15,30,18,7,32
2015-08-01,42,28,83,371,291,12,30,12,7,44
2015-09-01,50,16,35,308,773,23,58,9,6,63
2015-10-01,14,34,44,319,628,11,52,11,8,50
2015-11-01,28,12,82,267,273,28,31,14,8,75
2015-12-01,26,17,54,315,228,23,26,9,12,44
2016-01-01,25,14,46,286,446,14,35,11,6,50
2016-02-01,30,17,27,260,691,19,57,27,6,88
2016-03-01,28,12,53,252,582,18,35,18,11,75
2016-04-01,26,19,47,238,273,18,39,11,132,44
2016-05-01,25,26,48,252,246,20,38,10,23,57
2016-06-01,26,14,47,263,501,32,45,5,24,88
2016-07-01,40,33,56,260,710,24,66,5,14,63
2016-08-01,36,39,67,271,364,16,31,15,8,38
2016-09-01,10,19,34,293,264,21,23,18,6,94
2016-10-01,27,26,41,245,237,20,49,20,10,75
2016-11-01,22,21,54,304,910,30,47,20,18,75
2016-12-01,15,23,56,249,373,27,51,5,24,57
2017-01-01,42,14,62,278,364,21,53,7,16,100
