date,how to uninstall facebook,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete gmail,how to delete twitter,how to delete youtube,how to delete pokemongo,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,Facebook privacy policy,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,facebook delete friends,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,54,7,11,0,0,5,1,3,5,144,22,0,0,24,7,1,274,86,235,0,10,28,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,13,1,0,0,1,110,20,0,0,1,0,45,1,2,1,0,1,479,0,0,12,0,1,9,1,0
2011-02-01,51,8,13,0,0,5,1,3,3,119,18,0,0,19,9,0,280,91,230,0,10,27,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,18,1,0,0,2,87,22,1,0,1,0,44,2,2,2,0,1,364,0,0,11,0,1,9,1,0
2011-03-01,53,7,12,0,0,9,1,2,4,106,26,0,0,25,13,1,294,96,245,0,9,33,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,22,1,0,0,2,94,22,0,0,1,1,49,2,2,2,0,1,290,1,0,15,0,1,8,1,0
2011-04-01,47,3,9,0,0,10,0,3,2,100,24,0,0,23,11,1,307,110,240,0,9,20,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,0,22,1,0,0,2,87,17,0,0,1,1,48,1,2,2,0,1,274,0,0,16,0,1,8,1,0
2011-05-01,43,5,10,0,0,14,2,2,5,117,22,0,0,24,13,1,307,129,225,0,10,24,0,1,1,0,0,0,0,2,2,0,1,0,1,0,0,0,18,1,0,0,2,98,25,1,0,2,1,35,2,1,2,0,2,264,0,0,20,0,1,11,1,1
2011-06-01,46,8,14,0,0,15,1,5,3,125,28,0,0,33,16,1,334,139,310,0,11,23,0,0,1,0,1,0,0,2,1,0,0,0,1,0,0,0,15,1,0,0,2,110,23,0,0,2,1,46,3,1,2,1,1,295,1,0,23,0,1,7,1,0
2011-07-01,64,8,15,0,0,13,1,4,6,140,35,0,1,44,24,0,394,181,365,0,7,31,0,1,1,0,0,0,0,2,1,0,1,0,1,1,0,0,18,0,0,0,1,87,21,0,0,3,1,38,4,2,1,0,2,311,0,0,24,0,2,5,1,1
2011-08-01,71,8,12,0,0,13,1,5,3,165,33,0,1,39,23,1,374,172,375,0,13,35,0,2,1,0,0,0,0,2,1,0,1,1,1,0,0,0,20,1,0,0,3,135,18,0,0,2,0,39,2,2,3,0,1,327,1,0,24,0,1,7,1,0
2011-09-01,65,23,14,0,0,13,1,5,5,155,37,0,1,48,21,0,374,153,335,0,9,29,0,1,2,0,0,0,0,2,1,0,1,0,1,0,0,0,18,1,0,0,2,228,24,0,0,1,0,63,2,3,2,0,2,327,1,0,18,0,1,8,1,1
2011-10-01,61,23,13,0,0,26,1,4,2,163,32,0,1,37,22,0,360,186,350,0,13,26,0,1,1,0,1,0,0,4,2,1,1,0,1,0,0,0,18,1,0,0,3,166,22,1,0,3,1,63,1,2,3,0,2,379,1,0,18,0,2,7,1,0
