date,how to unfriend someone on instagram,who can see my snapchat story,most private browser,best anonymous browser,how to browse anonymously,search without history,government monitoring social media,how to delete pokemongo,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfriend someone on snapchat,how to encrypt emails,encrypted phone calls,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,google hangouts privacy,how to encrypt whatsapp messages,skype privacy policy,gmail privacy issues,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,private instagram posts,How to make tweets private,Uber privacy,facebook app privacy policy,gmail privacy policy,privacy policy uber,privacy policy youtube,google hangouts encryption,Encrypt phone calls,how to encrypt whatsapp
2011-01-01,0,0,80,105,182,269,39,0,0,0,0,153,0,116,79,0,78,0,0,39,0,59,78,0,64,0,0,79,0,39,131,0,80,0,39,0
2011-02-01,0,0,84,123,123,163,0,0,0,0,0,96,0,110,0,0,42,42,0,0,0,83,68,0,95,0,43,43,0,103,124,0,67,0,42,0
2011-03-01,0,0,50,63,160,207,37,0,0,0,0,148,0,110,37,0,74,0,0,0,0,62,55,0,123,0,0,37,37,112,100,0,47,0,37,0
2011-04-01,0,0,0,185,119,132,40,0,0,0,40,224,0,119,59,0,80,0,0,0,0,40,53,0,106,0,0,58,37,62,93,0,67,0,40,0
2011-05-01,0,0,94,98,110,269,49,0,0,38,80,243,0,110,75,0,37,0,0,0,0,75,62,0,100,0,37,90,73,87,77,0,127,0,37,34
2011-06-01,0,0,57,103,241,150,38,0,0,0,40,353,0,132,39,0,38,0,0,0,0,0,77,0,139,40,0,116,82,175,77,40,80,39,39,0
2011-07-01,0,0,75,100,251,313,0,0,0,38,40,210,0,101,62,0,38,39,0,0,0,76,0,0,64,0,0,153,37,203,131,0,100,0,100,34
2011-08-01,0,0,48,47,237,144,36,0,0,109,70,286,0,119,48,37,36,0,0,0,0,53,36,0,145,0,0,95,0,98,93,0,60,0,35,0
2011-09-01,0,0,71,209,219,288,0,0,0,34,90,262,0,116,53,0,35,0,0,0,0,93,59,0,106,0,0,58,0,142,162,0,94,0,35,34
2011-10-01,0,0,67,98,228,107,0,0,0,50,80,358,0,228,77,0,78,0,0,33,0,33,49,0,175,0,32,164,37,34,124,0,100,0,132,0
2011-11-01,0,0,34,67,132,157,66,0,0,67,70,220,0,66,82,0,34,0,33,34,0,45,34,0,145,0,32,122,0,100,131,0,134,0,67,45
2011-12-01,0,0,50,45,173,238,33,0,0,34,30,386,0,87,55,0,66,0,0,0,0,50,33,0,142,0,0,195,37,56,77,0,100,0,50,0
2012-01-01,0,0,100,180,251,288,45,0,0,30,60,477,0,110,50,0,30,0,0,0,0,60,61,0,192,0,0,174,0,70,347,0,514,0,59,34
2012-02-01,0,0,146,125,319,382,41,0,0,80,50,448,0,107,46,0,32,0,0,0,0,31,83,0,270,0,0,237,28,53,770,0,667,31,62,0
2012-03-01,0,0,148,136,255,213,59,0,0,80,90,367,0,98,68,61,50,0,0,30,0,118,89,0,206,0,0,190,0,89,454,0,594,0,59,34
2012-04-01,0,0,92,63,305,244,31,0,0,105,50,343,0,121,51,0,51,0,0,0,0,51,31,0,145,0,32,237,28,248,162,0,280,31,113,0
2012-05-01,43,0,103,67,260,288,29,0,0,146,60,277,0,57,77,29,115,0,0,0,0,29,58,0,200,0,27,195,0,125,62,0,100,0,86,0
2012-06-01,45,0,61,69,255,357,40,0,0,221,50,391,0,89,70,29,60,0,0,44,0,45,120,0,139,0,0,222,28,89,93,0,140,30,59,0
2012-07-01,59,0,59,87,351,419,29,0,0,88,40,224,0,146,102,0,0,0,0,30,0,59,49,0,109,0,0,248,0,187,131,0,127,0,59,45
2012-08-01,0,0,98,98,291,325,29,0,32,196,60,229,0,96,117,29,40,0,0,59,0,116,45,0,164,0,0,237,28,98,77,0,107,0,116,56
2012-09-01,86,0,67,76,296,332,29,0,32,117,80,258,0,96,86,29,58,0,0,0,0,49,72,0,153,0,27,253,28,106,108,0,100,0,58,45
2012-10-01,26,0,61,105,251,338,43,0,0,146,50,329,0,121,44,35,104,27,0,53,0,52,78,0,95,0,79,264,28,175,124,0,140,0,70,34
2012-11-01,52,0,0,114,278,282,35,0,0,196,80,400,0,78,26,27,44,27,0,27,29,53,53,0,131,27,53,274,55,150,100,27,127,0,53,56
2012-12-01,26,0,80,140,246,332,53,0,79,205,60,367,53,123,71,27,67,27,0,27,0,0,27,0,187,0,37,322,0,170,131,0,114,0,53,23
2013-01-01,48,0,48,120,310,319,48,0,48,138,340,353,41,64,37,24,36,0,0,24,0,32,56,0,167,0,37,479,0,120,124,0,160,24,72,23
2013-02-01,26,0,132,105,246,313,39,0,27,184,260,224,27,105,79,40,53,27,52,27,29,44,79,0,256,0,27,316,28,159,116,0,107,0,35,34
2013-03-01,70,0,94,125,314,350,47,0,37,142,470,286,23,94,48,24,48,56,0,23,24,56,55,0,203,0,48,374,0,128,108,0,174,0,107,23
2013-04-01,72,0,105,167,291,388,32,0,48,113,690,362,57,110,48,24,40,0,0,48,0,24,40,0,214,0,37,337,46,120,139,0,94,0,48,23
2013-05-01,81,0,71,156,310,275,47,0,43,221,470,339,132,101,55,40,23,71,0,85,24,31,59,0,117,0,22,369,28,125,124,0,120,0,70,23
2013-06-01,71,0,105,143,278,419,56,0,64,242,260,253,136,112,182,48,48,145,0,56,24,40,36,0,145,0,58,427,0,64,124,0,134,24,159,34
2013-07-01,86,0,94,134,210,475,47,0,95,238,350,277,64,94,117,24,48,230,0,63,0,71,81,0,148,0,106,506,28,87,85,0,127,23,70,34
2013-08-01,23,0,103,140,319,494,46,0,79,275,750,277,39,155,86,35,23,165,24,62,24,63,78,0,109,24,122,400,28,95,185,24,120,23,70,45
2013-09-01,31,0,69,167,296,419,46,0,85,255,530,324,23,114,106,40,58,209,0,23,0,46,46,0,170,24,158,400,37,87,77,24,187,23,77,23
2013-10-01,29,106,73,129,223,357,29,0,90,263,230,315,22,80,86,45,22,183,0,0,24,22,87,0,159,0,116,195,19,103,131,0,140,22,51,34
2013-11-01,33,100,103,154,191,413,58,0,100,230,320,248,44,123,153,29,59,127,66,52,24,59,66,0,148,22,179,300,37,89,154,22,127,29,59,34
2013-12-01,59,130,128,103,314,432,55,0,106,321,460,286,67,53,111,35,74,224,0,89,24,59,67,0,156,24,195,343,46,59,124,24,167,22,81,56
2014-01-01,21,153,90,172,300,419,31,0,111,200,840,367,36,116,110,48,42,174,21,75,20,84,35,0,125,0,264,485,46,84,139,0,200,41,42,56
2014-02-01,45,148,55,120,360,363,38,0,85,221,650,434,46,69,106,61,68,200,0,75,29,45,58,0,189,24,232,379,37,123,139,24,200,23,113,34
2014-03-01,27,118,88,129,282,332,41,0,48,300,430,391,27,155,142,43,61,192,20,81,20,40,41,0,203,20,248,443,19,70,100,20,94,30,88,45
