date,how to unfriend someone on snapchat,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,best anonymous browser,how to browse anonymously,government monitoring social media,how to delete pokemongo,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,delete hangout history,can someone read my text messages from their phone,instagram privacy policy,Twitter privacy policy,private instagram posts,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt whatsapp
2011-01-01,0,230,364,0,0,60,106,22,0,0,0,0,87,0,0,0,68,45,0,22,33,0,0,0,0,37,0,22,74,37,0,45,0,22,308,0
2011-02-01,0,240,410,0,0,70,72,0,0,0,0,0,55,0,0,0,64,0,0,0,47,0,24,0,0,54,25,58,70,54,0,38,0,24,278,0
2011-03-01,0,210,364,0,0,36,93,21,0,0,0,0,84,0,0,0,64,21,0,0,35,0,0,0,0,70,0,63,57,70,0,26,0,21,249,0
2011-04-01,0,100,273,0,0,106,69,23,0,0,0,23,128,0,0,0,69,34,0,0,23,0,0,0,0,61,0,35,53,61,0,38,0,23,260,0
2011-05-01,0,160,300,0,0,56,64,28,0,0,22,45,138,0,0,0,64,43,0,0,42,0,0,0,0,58,22,49,44,58,0,71,0,21,371,20
2011-06-01,0,240,446,0,0,59,140,22,0,0,0,23,200,0,24,0,77,22,0,0,0,0,0,0,0,80,0,99,44,80,23,45,22,22,230,0
2011-07-01,0,240,482,0,0,57,145,0,0,0,22,23,119,0,0,0,58,36,21,0,43,0,22,0,0,37,0,115,74,37,0,56,0,57,175,20
2011-08-01,0,250,382,0,0,27,137,20,0,0,62,39,163,0,0,0,69,28,0,0,31,21,0,0,0,83,0,55,53,83,0,34,0,20,219,0
2011-09-01,0,720,446,0,0,119,127,0,0,0,20,50,149,0,0,0,68,31,0,0,53,0,0,0,0,61,0,80,92,61,0,52,0,20,275,20
2011-10-01,0,720,401,0,0,56,132,0,0,0,29,45,203,0,39,0,132,44,0,19,19,0,0,0,0,100,19,19,70,100,0,56,0,75,234,0
2011-11-01,0,570,491,0,0,38,77,38,0,0,39,39,125,0,16,0,39,47,19,19,25,0,0,19,25,83,19,57,74,83,0,75,0,38,149,27
2011-12-01,0,520,655,0,0,26,100,19,0,0,20,17,219,0,39,0,50,32,19,0,28,0,0,0,0,81,0,32,44,81,0,56,0,28,152,0
2012-01-01,0,430,655,0,19,103,145,26,0,0,17,34,271,0,31,0,64,29,0,0,34,0,0,0,38,110,0,40,196,110,0,286,0,34,230,20
2012-02-01,0,550,673,0,0,71,185,23,0,0,46,28,255,0,31,0,62,27,0,0,18,0,0,0,13,154,0,30,435,154,0,371,18,35,156,0
2012-03-01,0,440,673,0,0,78,148,34,0,0,46,50,209,0,47,0,57,39,34,17,67,35,0,0,13,118,0,50,257,118,0,330,0,34,238,20
2012-04-01,0,510,610,0,34,36,177,18,0,0,60,28,195,0,62,0,70,30,0,0,29,0,0,0,50,83,19,140,92,83,0,156,17,64,182,0
2012-05-01,0,440,501,0,34,38,150,16,0,0,84,34,157,0,100,25,33,44,0,0,16,17,0,0,25,115,16,71,35,115,0,56,0,49,167,0
2012-06-01,0,500,600,0,19,40,148,23,0,0,127,28,222,0,208,25,52,40,0,25,25,17,0,0,13,80,0,50,53,80,0,78,17,34,219,0
2012-07-01,0,430,555,0,16,50,203,17,0,0,50,23,128,0,254,33,85,59,0,17,33,0,0,0,13,62,0,105,74,62,0,71,0,33,208,27
2012-08-01,0,670,682,0,43,56,169,17,0,18,112,34,130,0,224,0,56,67,17,33,66,17,0,0,38,94,0,55,44,94,0,60,0,66,163,34
2012-09-01,0,1000,746,0,304,44,172,16,0,18,67,45,146,0,308,49,56,49,16,0,27,17,0,0,38,88,16,60,61,88,0,56,0,33,123,27
2012-10-01,0,890,555,0,210,60,145,25,0,0,84,28,187,0,231,15,70,25,15,30,30,20,15,0,50,54,46,99,70,54,0,78,0,40,145,20
2012-11-01,0,720,582,0,149,65,161,20,0,0,112,45,228,0,224,30,45,15,23,15,30,15,15,0,25,75,31,85,57,75,16,71,0,30,208,34
2012-12-01,30,650,673,0,170,80,143,30,0,45,117,34,209,0,254,15,72,41,38,15,0,15,15,0,1250,107,22,96,74,107,0,63,0,30,175,14
2013-01-01,23,560,701,0,170,69,179,27,0,27,79,189,200,0,431,27,37,21,54,14,18,14,0,0,375,96,22,68,70,96,0,89,14,41,263,14
2013-02-01,15,630,773,0,134,60,143,22,0,15,105,145,128,0,377,15,61,45,0,15,25,23,15,30,113,147,16,90,66,147,0,60,0,20,230,20
2013-03-01,13,510,646,0,119,71,182,27,0,21,81,262,163,0,393,40,54,28,27,13,31,14,32,0,125,116,28,72,61,116,0,97,0,60,226,14
2013-04-01,32,440,655,0,91,95,169,18,0,27,65,384,206,14,424,41,64,28,27,27,14,14,0,0,88,123,22,68,79,123,0,52,0,27,189,14
2013-05-01,75,520,510,0,107,89,179,27,0,24,127,262,192,0,331,46,58,32,13,49,18,23,40,0,50,67,13,71,70,67,0,67,0,40,252,14
