date,how to encrypt whatsapp messages,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Gmail privacy,private instagram posts,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,0,74,130,0,0,60,15,15,38,54,219,0,0,234,73,8,0,600,93,322,0,0,0,30,0,0,140,0,0,23,15,0,8,11,0,22,0,0,11,0,0,13,0,229,0,16,0,537,8,26,13,0,16,0,0,142,0,8,106,8,0
2011-02-01,0,85,146,0,0,54,16,32,32,33,188,0,0,184,91,0,0,556,127,306,0,0,0,19,0,0,147,0,0,22,0,0,0,16,0,0,0,0,16,0,0,19,0,272,9,9,0,519,20,24,19,0,13,0,0,138,0,8,95,8,0
2011-03-01,0,66,130,0,0,94,10,11,21,41,288,0,0,275,137,7,0,578,100,369,0,0,0,29,0,0,207,0,0,22,7,0,0,14,0,0,0,0,14,0,0,24,0,265,0,8,8,546,22,20,24,0,10,9,0,175,0,7,85,0,0
2011-04-01,0,43,97,0,0,114,0,46,30,26,219,0,0,259,128,8,0,578,91,232,0,0,8,44,0,0,194,0,0,23,12,0,0,0,0,15,0,0,8,0,0,21,0,229,0,12,8,537,12,18,21,0,13,0,0,188,0,8,89,15,0
2011-05-01,0,43,107,0,0,147,18,18,21,54,219,0,0,292,146,10,0,500,93,274,0,7,16,48,0,0,180,0,0,22,15,0,0,7,0,0,0,0,14,0,0,19,0,250,8,18,15,410,17,15,19,0,25,0,0,217,0,7,127,14,7
2011-06-01,0,93,159,0,0,167,11,11,51,30,300,0,0,375,173,7,0,567,115,264,0,0,8,70,0,8,234,0,0,26,7,0,0,0,0,7,0,0,7,0,0,28,8,243,0,23,16,555,34,15,28,8,16,9,0,246,8,8,79,7,0
2011-07-01,0,77,171,0,0,147,15,18,44,62,369,0,6,467,264,0,0,756,72,348,0,7,8,42,0,0,260,0,0,20,12,7,0,7,0,7,0,0,0,0,0,12,0,222,0,30,8,437,39,26,12,0,20,17,0,246,0,20,60,7,7
2011-08-01,0,93,136,0,0,147,9,7,52,29,369,0,6,400,246,7,0,834,134,390,0,21,14,56,0,0,254,0,0,23,9,0,0,10,7,7,0,0,7,0,0,28,0,200,0,19,0,473,19,18,28,0,12,17,0,238,0,7,75,10,0
2011-09-01,0,258,159,0,0,147,14,40,50,57,382,0,6,517,219,0,0,789,108,332,0,7,18,52,0,0,240,0,0,23,10,7,0,13,0,7,0,0,10,0,0,21,0,279,0,12,0,746,27,32,21,0,19,9,0,205,0,7,94,7,7
2011-10-01,0,235,142,0,0,287,13,25,45,21,363,0,6,442,237,0,0,656,143,295,0,10,16,71,0,14,254,0,0,45,15,0,6,6,0,16,0,0,6,0,0,35,0,250,7,32,8,719,6,24,35,0,20,17,0,234,0,26,80,6,0
2011-11-01,0,216,175,0,0,334,7,13,35,31,400,0,6,426,319,13,0,534,160,316,0,13,14,43,0,6,160,0,0,13,16,7,7,10,0,6,0,6,6,9,0,28,0,265,7,24,0,628,20,26,28,0,26,9,0,242,0,13,51,6,10
2011-12-01,0,174,233,0,0,240,10,9,35,47,457,0,12,459,328,6,0,778,131,353,0,6,6,77,0,6,254,0,0,17,11,0,0,13,0,13,0,0,6,0,0,28,0,265,0,39,8,701,11,15,28,0,20,17,0,292,0,10,52,6,0
2012-01-01,0,154,233,0,0,174,20,40,52,57,375,0,24,501,373,9,0,689,122,343,0,6,12,94,0,11,320,0,0,22,10,0,0,12,0,6,0,0,6,13,0,37,0,372,0,35,0,846,14,68,37,0,100,25,0,350,0,12,79,6,7
2012-02-01,0,204,239,0,0,147,28,36,57,76,344,0,30,375,337,8,0,545,62,269,0,15,10,89,0,14,287,0,0,21,9,0,0,6,0,6,0,0,21,5,0,53,0,543,0,47,6,910,10,150,53,0,130,42,0,342,6,12,54,9,0
2012-03-01,0,162,239,0,0,167,29,23,51,42,344,0,24,375,346,12,0,645,127,353,0,15,18,73,0,11,267,0,0,19,13,12,6,23,0,6,0,0,17,5,0,40,0,486,0,38,0,764,17,89,40,0,116,59,5,275,0,12,82,0,7
2012-04-01,0,158,217,0,7,194,18,12,36,49,438,0,59,392,401,6,0,578,124,332,0,20,10,68,0,22,300,0,0,24,10,6,0,9,0,12,0,0,6,17,0,28,0,250,7,47,6,682,48,32,28,0,55,117,0,300,6,22,63,9,0
2012-05-01,0,170,178,0,13,247,20,17,47,57,425,0,59,375,373,6,0,500,77,274,0,28,12,54,0,35,354,0,8,11,15,0,0,6,6,22,0,0,8,9,0,40,0,265,6,39,0,491,24,12,40,0,20,167,0,325,0,17,57,8,0
2012-06-01,0,181,213,0,7,227,12,11,49,71,519,5,71,426,473,8,0,500,141,300,0,43,10,78,0,69,400,0,9,18,14,0,9,9,6,6,0,0,23,5,0,27,0,236,0,44,6,419,17,18,27,0,28,242,0,392,6,12,75,17,0
2012-07-01,0,120,197,0,7,307,11,20,62,83,532,15,100,459,519,6,0,589,139,395,0,17,8,44,0,77,420,0,11,29,20,0,6,14,0,0,0,0,8,5,0,21,0,222,0,49,0,591,36,26,21,0,25,292,0,392,0,12,71,0,10
2012-08-01,0,227,242,0,13,294,19,22,45,65,563,10,130,567,628,6,0,523,131,379,7,38,12,46,0,77,220,0,0,19,23,6,11,22,0,6,0,0,6,13,0,32,0,208,0,47,6,564,19,15,32,0,21,242,5,405,0,23,56,6,12
