date,how to delete a snapchat account,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete youtube,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,Facebook privacy policy,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,0,21,24,0,0,14,3,3,7,13,327,49,0,47,22,0,500,0,123,22,55,0,0,0,5,0,0,28,0,0,3,2,0,0,2,0,5,0,2,0,30,3,0,0,2,0,243,58,0,0,2,0,90,2,4,2,0,4,0,0,26,0,0,24,2,0
2011-02-01,0,19,27,0,0,11,4,3,8,7,274,53,0,37,22,0,467,0,116,23,60,0,0,2,7,0,0,28,0,0,6,2,0,0,3,0,2,0,0,0,48,3,0,0,7,0,200,55,2,0,3,0,108,3,3,7,0,5,0,0,30,0,2,32,2,0
2011-03-01,0,17,20,0,0,19,3,2,8,5,253,62,0,47,29,0,523,0,110,23,66,0,0,0,5,0,0,31,0,0,2,1,0,0,2,0,0,1,1,0,42,3,0,0,3,0,200,58,0,0,2,0,106,4,4,3,0,4,0,0,36,0,2,18,0,0
2011-04-01,0,9,26,0,0,20,2,5,5,9,240,56,0,52,23,2,534,0,103,21,61,0,2,0,8,0,0,40,0,0,2,3,0,0,2,0,2,0,0,0,42,4,0,0,5,0,206,50,0,0,2,2,111,2,6,5,0,5,0,0,40,0,2,20,3,2
2011-05-01,0,14,20,0,1,34,6,5,6,10,257,49,0,63,32,1,523,0,101,23,52,0,1,0,13,0,0,32,0,0,2,1,0,0,3,0,3,0,0,0,42,3,0,0,3,0,211,55,0,0,1,3,84,6,4,3,0,5,0,0,41,0,3,20,1,1
2011-06-01,0,15,32,0,0,36,3,4,13,3,274,66,2,69,37,2,723,0,114,25,46,0,0,2,12,0,2,42,0,0,4,3,0,0,3,0,3,0,0,0,30,4,0,0,4,0,243,51,0,0,2,2,100,3,3,4,0,4,2,0,47,2,2,18,0,0
2011-07-01,0,9,29,0,0,30,3,4,10,14,327,85,0,97,53,0,778,0,150,20,58,0,2,2,11,0,0,47,0,0,3,2,0,2,3,0,2,0,0,0,48,2,0,0,3,0,206,44,0,0,3,0,90,12,5,3,0,2,2,0,46,0,4,20,2,2
2011-08-01,0,16,29,0,0,32,1,2,8,4,379,79,0,83,48,1,800,0,160,27,71,0,1,3,12,0,0,55,0,0,5,2,0,0,1,0,1,0,0,0,42,1,0,0,5,0,311,42,0,0,4,1,99,7,3,5,0,4,2,0,57,0,3,20,2,0
2011-09-01,0,56,30,0,0,31,2,3,12,10,348,83,2,99,48,0,756,0,157,17,67,0,1,4,10,0,0,52,0,0,4,2,1,0,2,0,1,0,0,0,36,4,1,0,4,0,527,53,0,0,7,0,155,3,6,4,0,5,2,0,44,0,1,17,0,1
2011-10-01,0,48,28,0,0,59,3,3,9,10,387,80,3,87,55,1,745,0,135,29,60,0,3,3,13,0,1,49,0,0,3,5,0,1,1,0,3,0,1,0,36,0,0,0,3,0,364,53,1,0,2,0,133,2,4,3,0,4,4,0,48,0,1,8,3,0
