date,how to uninstall instagram,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,how to browse anonymously,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,government monitoring social media,how to uninstall gmail,how to uninstall youtube,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on snapchat,how to encrypt emails,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,delete hangout history,can someone read my text messages from their phone,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,uber privacy policy,Gmail privacy,private instagram posts,How to make tweets private,Uber privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,0,160,0,0,45,285,0,0,9,133,382,0,38,0,0,0,28,0,9,14,0,0,0,19,0,0,0,291,0,19,0,9,32,16,0,20,0,174,0,9,0
2011-02-01,0,184,0,0,30,247,0,0,0,142,369,0,24,0,0,0,27,0,0,20,0,10,0,17,0,0,0,355,11,11,0,25,30,23,0,17,0,174,0,10,0
2011-03-01,0,160,0,0,39,347,0,0,9,121,438,0,37,0,0,0,27,0,0,15,0,0,0,13,0,0,0,337,0,9,9,27,25,30,0,12,0,222,0,9,0
2011-04-01,0,120,0,0,29,316,0,0,10,124,275,10,55,0,0,0,29,0,0,10,0,0,0,13,0,0,0,291,0,14,9,14,23,26,0,17,0,237,0,19,0
2011-05-01,9,132,0,0,27,285,0,0,12,133,325,20,61,0,0,0,27,0,0,18,0,0,0,15,0,0,0,319,10,22,18,21,19,24,0,31,0,274,0,13,9
2011-06-01,0,196,0,0,59,370,0,0,9,153,313,10,87,0,10,0,32,0,0,0,0,0,0,19,0,0,9,310,0,28,20,42,19,34,9,20,0,306,9,9,0
2011-07-01,9,212,0,0,62,470,0,8,0,95,413,10,53,0,0,0,24,9,0,18,0,9,0,0,0,0,0,282,0,37,9,49,32,15,0,25,0,306,0,9,9
2011-08-01,26,168,0,0,58,439,0,8,9,177,463,17,70,0,0,0,29,0,0,13,9,0,0,9,0,0,0,255,0,23,0,23,23,35,0,15,0,300,0,12,0
2011-09-01,8,196,0,0,54,485,0,8,0,124,394,22,66,0,0,0,28,0,0,22,0,0,0,14,0,0,0,355,0,14,0,34,39,25,0,23,0,253,0,8,9
2011-10-01,12,176,0,0,56,424,0,8,0,180,350,20,88,0,17,0,56,0,8,8,0,0,0,12,0,0,0,319,8,40,9,8,30,42,0,25,0,295,0,12,0
2011-11-01,16,216,0,0,33,470,0,8,16,183,369,17,54,0,7,0,16,8,8,11,0,0,8,8,11,0,0,337,8,30,0,24,32,35,0,33,0,300,0,12,12
2011-12-01,8,288,0,0,43,508,0,15,8,159,419,8,96,0,17,0,21,8,0,12,0,0,0,8,0,0,0,337,0,47,9,13,19,34,0,25,0,369,0,8,0
2012-01-01,7,288,0,8,62,470,0,29,11,145,400,15,117,0,13,0,27,0,0,14,0,0,0,15,16,0,0,464,0,41,0,17,82,46,0,125,0,437,0,10,9
2012-02-01,19,296,0,0,78,424,0,36,10,106,319,12,111,0,13,0,26,0,0,7,0,0,0,20,6,0,0,691,0,57,7,13,186,65,0,162,0,427,7,10,0
2012-03-01,19,296,0,0,63,408,0,29,14,153,419,22,91,0,20,0,24,14,7,29,14,0,0,21,6,0,0,619,0,46,0,21,110,50,0,144,7,343,0,7,9
2012-04-01,25,272,0,15,75,577,0,79,7,139,400,12,85,0,26,0,30,0,0,12,0,0,0,7,22,0,0,328,8,57,7,60,39,35,0,68,0,379,8,11,0
2012-05-01,35,220,0,15,63,531,6,72,7,95,325,15,68,0,42,0,14,0,0,7,7,0,0,14,11,0,0,337,7,47,0,30,15,49,0,23,0,406,0,10,0
2012-06-01,53,264,0,8,63,624,6,86,10,174,357,12,96,0,88,0,22,0,11,11,7,0,0,29,6,0,0,300,0,54,7,22,23,34,0,34,0,495,0,22,0
2012-07-01,21,244,0,7,86,654,24,122,7,165,469,10,55,0,107,0,35,0,7,14,0,0,0,12,6,0,0,282,0,60,0,45,32,26,0,31,0,495,0,7,12
2012-08-01,47,300,0,19,72,724,18,158,7,159,450,15,57,0,94,0,24,7,14,28,7,0,0,11,16,0,0,264,0,57,7,24,19,40,0,26,7,506,0,7,14
2012-09-01,28,328,0,130,73,508,18,150,7,133,519,20,63,0,130,0,23,7,0,12,7,0,0,17,16,0,0,382,7,61,7,26,26,37,0,25,0,406,0,14,12
2012-10-01,35,244,0,91,62,454,42,115,11,180,475,12,81,0,97,0,30,6,13,13,8,6,0,19,22,0,0,310,20,64,7,42,30,23,0,34,7,506,0,8,9
2012-11-01,47,256,0,64,68,539,165,136,8,145,532,20,98,0,94,0,19,10,6,13,6,6,0,13,11,0,6,346,13,66,14,36,25,32,6,31,25,522,0,16,14
2012-12-01,49,300,0,73,60,562,171,215,13,192,444,15,90,0,107,13,30,16,6,0,6,6,0,6,527,0,0,382,10,78,0,41,32,45,0,28,63,458,0,11,6
2013-01-01,33,312,0,75,76,639,148,279,12,183,419,81,88,0,181,10,16,23,6,8,6,0,0,14,158,0,0,328,10,117,0,29,30,41,0,39,44,527,6,14,6
2013-02-01,45,344,0,58,60,616,71,279,10,150,432,62,56,0,159,6,26,0,6,11,10,6,13,19,48,0,0,419,7,78,7,38,28,62,0,26,63,416,0,26,9
2013-03-01,34,284,0,51,76,577,130,236,11,180,375,112,70,0,165,6,23,11,6,13,6,13,0,13,53,0,0,382,12,89,0,30,26,49,0,42,82,379,0,13,6
2013-04-01,27,288,0,38,72,554,148,236,8,159,413,165,89,6,178,13,27,12,12,6,6,0,0,10,37,0,0,355,10,82,11,29,34,52,0,23,125,343,6,17,6
2013-05-01,52,224,0,46,76,585,171,265,11,180,407,112,83,0,136,32,24,6,21,7,9,17,0,14,22,0,0,355,6,89,7,30,30,28,0,30,188,353,6,8,6
2013-06-01,58,316,0,41,68,593,224,343,13,195,488,62,62,0,162,33,27,6,13,10,12,35,0,9,16,0,0,364,15,102,0,15,30,35,0,33,257,316,6,12,9
2013-07-01,57,356,0,58,52,739,277,286,11,233,525,84,69,0,220,15,23,23,15,17,6,55,0,20,32,0,0,355,26,122,7,21,21,36,0,31,207,406,0,6,9
2013-08-01,66,400,0,36,78,770,224,293,11,230,500,179,68,0,204,9,38,6,15,15,8,39,6,19,32,0,6,910,30,97,7,23,45,26,6,30,163,400,6,6,12
2013-09-01,61,352,0,58,73,608,224,250,11,209,550,127,81,11,152,6,28,6,6,11,9,50,0,11,48,0,6,410,39,97,9,20,19,41,6,46,194,332,6,7,6
2013-10-01,63,304,27,34,55,462,224,215,7,200,469,55,78,0,146,5,19,8,0,5,11,44,0,21,37,0,0,564,29,47,5,25,32,39,0,34,188,358,5,8,9
2013-11-01,55,236,25,30,47,447,224,215,14,206,550,77,61,0,171,11,30,5,12,14,7,30,16,16,27,0,5,482,45,73,9,21,38,36,5,31,182,258,7,11,9
2013-12-01,77,328,33,30,77,577,318,279,13,248,607,110,70,11,226,16,13,5,21,14,8,53,0,16,69,0,5,410,49,83,11,14,30,38,5,41,257,337,8,12,14
2014-01-01,48,320,39,38,74,631,442,329,7,271,550,200,91,5,178,8,28,5,18,20,12,42,5,8,58,0,0,510,65,117,11,20,34,30,0,49,363,385,10,7,14
2014-02-01,53,344,37,36,88,500,253,236,9,253,544,155,106,5,175,11,16,5,18,11,15,47,0,14,32,0,5,482,58,92,9,29,34,46,5,49,244,343,5,11,9
2014-03-01,72,284,30,39,69,516,371,315,10,230,594,103,96,0,171,7,38,8,20,10,10,46,5,10,306,0,5,464,62,107,5,16,25,49,5,23,282,322,10,7,12
2014-04-01,54,316,48,36,94,516,359,300,8,253,532,110,71,8,217,8,29,10,20,5,10,46,5,14,37,0,0,428,84,78,11,19,36,49,0,26,263,353,25,15,9
2014-05-01,51,252,56,33,62,477,489,322,8,224,482,150,78,15,197,15,26,5,17,10,20,59,0,15,37,0,5,419,85,95,20,34,39,29,5,31,238,358,8,8,12
