date,gmail privacy policy,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,private twitter account,how to browse anonymously,search without history,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,can someone read my text messages from their phone,how to encrypt whatsapp messages,uber privacy policy,Gmail privacy,private instagram posts,Uber privacy,Youtube Privacy,facebook app privacy policy,instagram privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,31,60,90,0,53,30,52,0,0,236,84,7,0,88,262,0,0,28,0,134,0,0,21,14,0,0,9,0,7,0,0,248,0,0,476,14,0,12,0,15,0,136,0,0,75,7,0
2011-02-01,22,63,109,0,48,32,32,0,0,193,84,7,0,105,253,0,0,17,0,123,0,0,29,7,0,0,12,0,0,0,0,195,0,0,451,7,0,20,0,20,0,143,0,7,97,7,0
2011-03-01,13,85,100,0,106,37,35,0,0,229,142,7,0,90,305,0,0,38,0,178,0,0,9,7,0,0,7,0,7,0,0,242,0,0,476,15,0,20,0,7,8,161,0,13,82,7,0
2011-04-01,26,35,76,0,106,31,43,0,0,258,117,11,0,90,262,0,0,47,0,189,0,0,28,14,0,0,7,0,0,0,0,206,0,0,451,9,0,19,0,17,0,190,0,11,77,7,7
2011-05-01,18,63,111,0,136,29,36,0,0,272,134,9,0,86,239,0,0,49,0,134,0,0,18,13,0,0,9,0,0,0,0,230,7,0,426,16,0,29,0,21,0,236,0,7,114,7,7
2011-06-01,10,79,133,0,189,48,44,0,0,308,159,7,0,125,234,0,0,46,0,195,0,0,16,0,7,0,14,0,0,0,0,189,0,7,467,21,0,21,0,19,8,243,0,10,88,7,0
2011-07-01,9,60,122,0,142,50,52,0,0,422,251,0,0,84,253,0,7,36,0,217,0,0,11,16,7,7,14,0,0,0,0,206,0,7,375,45,0,11,0,25,8,218,0,9,66,20,7
2011-08-01,13,107,173,0,136,40,32,0,0,386,192,6,0,113,329,0,6,58,0,250,0,0,10,10,0,0,6,0,0,0,0,206,0,7,451,17,0,23,0,20,0,233,0,6,88,11,0
2011-09-01,27,238,130,0,130,35,60,0,6,443,175,0,0,92,291,0,6,41,0,256,0,0,12,0,6,0,10,0,0,0,0,259,6,0,617,12,0,27,0,21,8,190,0,6,78,9,0
2011-10-01,20,200,128,0,253,45,37,0,11,365,267,0,0,117,258,0,6,63,0,195,0,0,20,21,0,6,6,0,6,0,0,218,0,7,609,12,0,22,0,22,8,243,0,41,75,12,0
2011-11-01,29,194,152,0,336,18,37,0,6,436,251,12,0,154,277,0,9,37,0,128,0,0,16,16,0,6,6,0,0,0,0,224,6,7,659,12,0,14,0,26,8,208,0,9,56,9,7
2011-12-01,14,163,219,0,195,37,51,0,11,400,317,0,0,127,320,0,6,84,0,189,0,6,10,12,0,0,12,0,0,0,0,230,0,0,650,14,8,12,0,23,16,304,0,8,54,6,7
2012-01-01,68,150,173,0,148,75,51,0,16,479,342,5,0,100,277,0,5,70,0,250,0,0,16,11,0,0,11,0,0,0,0,377,0,0,784,7,11,34,0,81,24,300,0,16,81,5,0
2012-02-01,100,157,211,0,153,59,59,0,27,329,300,11,0,100,239,0,11,82,0,256,0,0,22,11,6,0,11,6,0,0,6,512,0,9,834,17,8,33,6,121,24,322,6,14,56,11,0
2012-03-01,91,138,257,0,189,58,43,0,16,308,309,5,0,109,296,0,24,58,0,256,0,0,16,14,5,11,16,5,0,0,0,465,0,0,709,25,0,39,0,116,54,265,0,12,57,0,5
2012-04-01,31,144,182,0,224,51,52,0,69,329,367,5,0,90,286,0,18,77,0,323,0,5,40,8,11,5,11,6,0,0,0,259,6,5,600,62,11,26,0,47,100,268,0,11,57,8,5
2012-05-01,15,169,171,0,224,60,55,10,79,343,350,0,0,92,272,0,14,62,0,312,0,5,15,15,0,0,13,10,5,0,0,242,5,5,434,26,8,32,0,32,139,308,0,7,47,5,5
2012-06-01,11,150,173,0,206,56,60,5,85,372,484,5,0,105,305,0,26,81,0,362,0,8,12,14,0,5,11,5,5,0,0,236,0,0,400,16,15,16,0,23,170,343,0,16,64,7,0
2012-07-01,17,141,182,0,259,65,54,10,79,393,467,10,0,123,358,0,21,51,0,345,0,16,21,18,0,0,10,0,0,5,0,218,5,0,575,19,4,19,0,23,277,343,0,9,65,8,7
2012-08-01,22,232,233,0,271,48,46,23,100,472,559,5,0,121,324,5,31,36,0,217,0,5,14,5,5,0,8,5,0,0,0,195,0,5,492,21,8,35,0,35,247,336,5,10,60,9,5
2012-09-01,20,313,238,0,224,46,69,14,106,415,517,5,0,107,386,5,20,48,0,189,0,10,15,10,8,0,15,5,0,5,0,236,0,5,467,14,15,34,0,20,270,304,0,9,35,9,12
2012-10-01,20,307,168,0,300,44,74,32,95,350,434,9,0,117,362,0,20,61,0,356,0,9,17,11,12,5,14,5,0,0,0,206,14,5,542,22,15,23,0,31,270,318,0,9,45,9,9
2012-11-01,17,219,179,0,253,36,54,105,85,365,476,6,0,107,305,0,39,58,0,456,5,5,14,8,7,0,7,5,0,5,5,242,5,7,650,22,8,28,5,28,277,358,5,5,65,6,5
2012-12-01,19,216,217,0,348,57,45,146,174,393,459,0,0,127,348,12,42,66,0,178,7,5,8,14,5,5,0,5,0,5,0,259,5,0,600,22,358,30,0,22,339,311,0,5,54,8,9
2013-01-01,16,191,249,0,359,43,56,101,185,479,634,6,0,137,300,9,23,76,0,117,11,11,14,7,17,4,9,0,0,0,0,253,4,0,600,17,90,33,0,22,393,311,4,9,61,6,5
2013-02-01,28,182,233,0,406,52,64,55,190,422,592,7,0,109,310,5,39,55,0,156,5,5,11,13,5,14,11,5,5,0,0,289,0,5,584,27,29,38,0,22,393,297,0,9,65,10,7
2013-03-01,15,188,233,0,371,35,52,110,143,386,509,11,0,133,281,8,27,56,0,456,6,7,20,14,7,4,4,4,0,0,0,259,6,0,567,11,25,31,0,33,447,293,0,14,65,7,7
2013-04-01,20,147,190,0,306,64,84,150,158,458,409,6,0,133,310,4,27,66,4,217,11,9,13,13,4,4,4,4,0,0,0,253,9,7,559,23,29,30,0,25,424,258,0,11,60,13,5
2013-05-01,24,150,182,0,395,54,44,114,169,515,476,7,0,139,305,6,45,57,0,189,21,6,11,17,4,8,8,6,0,4,0,242,4,4,467,17,29,17,0,25,370,275,0,8,77,6,7
2013-06-01,26,154,195,0,477,65,93,164,258,529,525,17,0,178,377,9,44,53,0,173,18,11,17,30,4,9,4,11,0,0,0,271,6,4,417,13,15,24,0,16,385,250,4,30,73,4,5
2013-07-01,25,197,244,0,565,43,78,191,243,572,476,13,0,147,391,17,31,61,0,450,10,10,29,28,8,11,21,0,0,4,0,277,14,4,359,28,18,31,0,21,470,293,4,14,74,8,9
2013-08-01,35,172,271,0,430,57,84,182,248,600,501,4,0,143,343,14,37,58,0,239,11,4,24,14,6,17,4,4,0,4,4,589,33,7,400,19,25,24,4,21,462,297,0,10,49,4,7
2013-09-01,16,144,236,0,448,57,66,150,185,500,467,12,0,168,381,12,38,56,0,200,8,8,19,14,4,4,14,6,0,4,4,289,24,9,484,15,36,26,4,52,393,261,4,15,65,8,7
2013-10-01,25,169,209,16,406,31,62,178,190,565,484,10,0,145,381,21,47,56,0,150,4,10,17,16,4,4,5,4,12,4,0,371,28,0,509,16,36,26,0,26,354,236,4,10,47,4,7
