date,Uber privacy,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Gmail privacy,private instagram posts,How to make tweets private,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,0,48,72,0,0,41,8,13,24,36,140,0,0,195,67,6,0,451,71,212,0,0,0,22,0,0,110,0,0,17,11,0,0,7,0,17,0,6,0,9,0,0,8,0,200,0,7,380,11,25,9,0,11,0,0,112,0,0,56,6,0
2011-02-01,0,50,87,0,0,37,10,9,25,29,170,0,0,159,67,6,0,384,84,204,0,0,0,14,0,0,101,0,0,23,6,0,0,10,0,6,0,0,0,10,0,0,14,0,158,0,6,360,6,18,16,0,16,0,0,118,0,6,84,6,0
2011-03-01,0,68,81,0,0,82,11,11,30,21,210,0,0,189,114,5,0,417,73,247,0,0,0,30,0,0,146,0,0,7,5,0,0,5,0,5,0,5,0,5,0,0,10,0,196,0,5,380,12,11,16,0,5,6,0,133,0,10,60,5,0
2011-04-01,0,28,61,0,0,82,6,23,25,36,160,0,0,212,94,9,0,367,73,212,0,0,8,38,0,0,155,0,0,23,11,0,0,6,0,11,0,0,0,9,0,0,17,0,167,0,9,360,8,21,15,0,13,0,0,156,0,8,64,6,6
2011-05-01,0,50,90,0,0,105,11,12,23,26,165,0,0,224,107,7,0,392,69,193,0,0,0,39,0,0,110,0,0,14,10,0,0,7,0,0,0,0,0,13,0,0,23,0,186,0,16,340,12,14,23,0,16,0,0,195,0,5,105,5,6
2011-06-01,5,63,107,0,0,146,5,11,38,27,265,0,0,253,127,5,0,409,100,189,0,0,8,37,0,6,160,0,0,13,0,5,0,11,0,11,0,0,0,9,0,0,21,0,153,0,16,374,16,8,16,0,15,6,0,200,0,8,65,6,0
2011-07-01,5,48,98,0,0,110,11,7,40,53,320,0,0,348,200,0,0,559,68,204,0,5,11,29,0,0,178,0,0,9,8,5,5,11,0,0,0,0,0,9,0,0,11,0,167,0,11,300,36,7,9,0,19,6,0,180,0,7,62,16,6
2011-08-01,5,85,140,0,0,105,7,10,32,27,305,0,0,318,154,5,0,634,91,266,0,5,7,46,0,0,205,0,0,8,5,0,0,5,0,0,0,0,0,5,0,0,17,0,167,0,10,360,14,10,19,0,15,0,0,192,0,5,72,9,0
2011-09-01,0,190,105,0,0,101,10,26,28,39,260,0,5,365,140,0,0,617,74,235,0,5,15,33,0,0,210,0,0,10,0,5,0,8,0,10,0,0,0,10,0,0,27,0,210,0,8,494,10,21,21,0,17,6,0,156,0,5,59,7,0
2011-10-01,5,160,103,0,0,196,9,12,36,32,225,0,9,300,214,0,0,451,94,208,0,5,10,50,0,0,160,0,0,16,14,0,5,5,0,5,0,5,0,12,0,0,14,0,177,0,17,487,9,16,17,0,17,6,0,200,0,33,52,9,0
