date,how to delete a google account,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a twitter account,government monitoring social media,how to delete twitter,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,Facebook privacy policy,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,27,11,14,0,0,8,2,2,4,7,188,29,0,0,13,0,113,0,72,11,34,0,0,0,3,0,0,16,0,0,2,1,0,0,1,0,3,0,1,0,17,2,0,0,1,0,140,34,0,0,2,0,52,1,2,1,0,2,0,0,15,0,0,14,1,0
2011-02-01,21,10,16,0,0,6,3,2,5,4,158,30,0,0,13,0,119,0,68,15,37,0,0,1,4,0,0,16,0,0,3,1,0,0,2,0,1,0,0,0,27,2,0,0,4,0,116,32,1,0,2,0,63,2,2,4,0,3,0,0,17,0,1,19,1,0
2011-03-01,27,9,12,0,0,12,2,1,5,4,145,36,0,0,17,0,138,0,64,13,36,0,0,0,3,0,0,17,0,0,1,1,0,0,1,0,0,1,1,0,24,2,0,0,2,0,116,33,0,0,1,0,62,3,2,2,0,3,0,0,21,0,1,10,0,0
2011-04-01,30,6,15,0,0,11,1,3,3,5,138,32,0,0,14,1,163,0,60,9,36,0,1,0,5,0,0,23,0,0,1,2,0,0,1,0,1,0,0,0,24,2,0,0,3,0,119,29,0,0,2,1,65,1,3,3,0,3,0,0,23,0,1,12,2,1
2011-05-01,36,8,11,0,1,20,3,3,4,7,148,28,0,0,19,1,175,0,59,12,33,0,1,0,8,0,0,18,0,0,1,1,0,0,2,0,2,0,0,0,24,2,0,0,2,0,122,32,0,0,1,2,49,2,2,2,0,3,0,0,23,0,2,12,1,1
2011-06-01,40,10,19,0,0,20,2,2,7,3,158,38,0,0,22,1,200,0,67,18,29,0,0,1,7,0,1,24,0,0,2,2,1,0,2,0,2,0,0,0,17,2,0,0,2,0,140,30,0,0,1,1,58,1,2,2,0,2,1,0,27,1,1,11,0,0
2011-07-01,56,6,17,0,0,17,1,2,6,7,188,49,0,0,31,0,250,0,88,11,35,0,1,1,6,0,0,27,0,0,1,1,1,1,1,0,1,0,0,0,27,1,0,0,2,0,119,25,0,0,2,0,52,7,3,2,0,1,1,0,26,0,2,12,1,1
2011-08-01,48,11,17,0,0,17,1,1,4,2,218,46,0,0,28,1,225,0,94,14,40,0,1,2,7,0,0,32,0,0,3,1,0,0,1,0,1,0,0,0,24,1,0,0,3,0,179,24,0,0,2,1,57,5,2,3,0,2,1,0,33,0,2,12,1,0
2011-09-01,57,31,17,0,0,19,1,2,7,7,200,48,0,1,28,0,200,0,92,11,40,0,1,2,6,0,0,30,0,0,2,1,1,0,1,0,1,0,0,0,20,2,1,0,2,0,304,30,0,0,3,0,90,2,3,2,0,3,1,0,26,0,1,10,0,1
2011-10-01,50,28,16,0,0,36,2,2,5,5,223,47,0,2,32,1,244,0,79,17,35,0,2,2,7,0,1,28,0,0,2,3,0,1,1,0,2,0,1,0,20,0,0,0,2,0,210,30,1,0,2,0,77,2,2,2,0,3,2,0,28,0,1,5,2,0
2011-11-01,56,24,18,0,0,38,0,2,3,5,250,51,0,2,40,2,282,0,67,19,34,0,1,1,6,0,1,17,0,0,3,2,1,1,1,0,2,0,0,0,24,1,2,0,2,0,182,28,1,0,2,1,72,1,3,2,0,4,2,0,32,0,1,4,1,0
2011-12-01,59,19,26,0,0,26,1,2,4,6,233,52,0,1,39,1,319,0,92,15,39,0,2,1,10,0,2,27,0,1,2,1,0,0,2,0,2,0,0,0,17,2,1,0,3,0,179,29,0,0,4,0,77,2,2,3,0,3,3,0,40,0,2,7,1,1
2012-01-01,53,19,24,0,1,21,3,3,8,7,245,50,0,3,45,1,344,0,78,14,38,0,1,2,12,0,1,34,0,0,3,1,0,0,2,0,0,0,0,0,24,3,1,0,4,0,182,48,0,0,4,0,97,2,8,4,0,12,3,0,41,0,3,8,1,1
2012-02-01,46,18,24,0,0,22,4,3,8,7,245,41,0,3,41,1,338,0,68,12,29,0,1,1,14,0,1,38,0,0,2,1,0,0,1,1,1,0,0,0,37,3,1,0,6,1,167,67,0,0,6,1,106,2,14,6,1,13,4,0,42,0,1,9,1,0
2012-03-01,41,19,29,0,0,21,4,3,6,7,233,39,0,2,43,1,338,0,79,14,42,0,3,1,7,0,2,31,0,0,3,2,1,0,2,1,1,0,0,0,40,2,1,0,5,0,140,60,0,0,3,1,102,3,10,5,0,13,6,1,35,0,1,9,1,1
2012-04-01,46,20,21,0,1,27,2,1,9,7,165,56,0,8,53,1,400,0,66,14,34,0,2,1,8,0,3,38,0,1,4,2,1,1,1,1,1,0,0,0,40,1,1,0,4,0,158,35,1,0,6,0,80,8,4,4,0,4,12,0,36,0,2,7,1,1
2012-05-01,48,19,23,0,2,30,1,2,8,4,150,52,1,7,46,0,388,0,62,14,35,0,2,1,8,0,5,42,0,1,2,2,1,1,2,1,4,0,0,0,30,1,1,0,5,0,152,32,1,0,5,0,60,3,3,5,0,3,15,0,38,0,2,10,1,1
2012-06-01,52,20,21,0,1,33,1,2,6,6,173,60,1,13,65,1,425,0,60,16,37,0,3,1,10,0,8,44,0,1,1,1,0,2,1,1,1,1,0,0,40,1,1,0,4,0,155,27,1,0,6,0,53,1,2,4,0,2,22,0,43,1,0,8,1,0
2012-07-01,54,21,25,0,1,34,1,3,8,8,230,64,1,14,62,2,519,0,64,12,48,0,3,1,7,0,11,42,0,1,2,2,0,1,2,0,2,0,0,0,30,1,0,0,2,0,146,28,0,0,6,0,78,7,2,2,0,4,31,1,50,0,1,8,1,1
2012-08-01,65,30,27,0,2,35,1,2,6,5,228,62,2,15,76,1,500,0,64,17,45,1,4,2,6,0,9,32,0,1,2,1,1,1,1,1,1,1,0,0,17,1,1,0,4,1,188,27,0,0,4,1,65,2,2,4,1,5,35,1,41,1,1,7,1,0
2012-09-01,53,42,30,0,10,30,1,2,6,9,185,54,3,12,76,1,444,0,58,14,52,0,3,3,6,0,11,26,0,1,2,1,1,0,1,0,1,0,0,0,17,1,2,0,4,0,270,33,1,0,6,1,63,2,3,4,0,4,32,1,36,0,1,5,1,1
2012-10-01,46,42,24,0,10,37,1,2,7,8,153,45,5,11,61,1,438,0,55,12,47,0,3,1,7,0,9,43,0,1,2,2,1,1,1,1,1,1,0,0,30,1,1,0,3,0,261,29,2,0,5,1,76,4,3,3,0,4,35,1,42,0,1,7,1,1
2012-11-01,48,30,24,0,6,34,1,3,5,5,193,59,13,11,61,1,457,0,58,14,42,0,5,2,7,0,9,61,0,1,3,1,1,1,1,0,1,1,0,1,54,1,2,0,5,1,213,28,1,0,7,1,80,4,3,5,1,3,36,2,51,0,1,9,1,1
2012-12-01,54,27,31,0,7,35,3,4,7,7,208,54,15,21,64,1,538,0,60,17,45,1,7,2,11,0,13,21,1,1,3,2,1,1,1,1,1,1,0,0,44,1,46,0,3,0,222,35,1,0,6,0,75,3,2,3,0,2,46,7,40,0,1,8,1,1
2013-01-01,59,23,32,0,6,48,1,2,6,8,173,69,13,25,77,1,550,0,67,18,37,1,3,8,9,0,14,20,1,1,2,1,2,1,1,1,1,0,0,0,27,1,14,0,5,0,207,30,1,0,9,0,76,3,3,5,0,4,49,4,48,0,1,10,1,1
2013-02-01,60,25,33,0,4,55,2,3,7,8,165,59,7,26,75,1,513,0,62,15,45,0,6,6,6,0,16,18,0,1,3,1,1,1,2,1,1,1,0,0,34,1,5,0,5,0,219,40,1,0,6,1,76,6,4,5,0,3,52,6,41,0,1,8,1,2
2013-03-01,56,24,29,0,6,49,2,3,7,8,178,57,10,20,64,1,494,0,54,16,41,1,3,11,7,0,17,58,1,1,3,1,1,1,1,1,1,1,0,1,27,1,4,0,4,0,246,35,1,0,8,0,83,3,2,4,0,4,49,9,38,0,1,6,1,1
2013-04-01,64,21,29,0,4,45,2,2,8,9,185,61,16,27,56,1,463,0,60,17,41,0,4,18,9,0,18,21,1,1,3,1,1,1,1,1,1,0,0,0,24,1,4,0,6,1,155,33,2,0,9,1,65,3,2,6,0,2,49,12,37,0,2,7,1,1
2013-05-01,68,20,26,0,6,47,3,4,6,6,140,56,14,26,64,1,432,0,58,17,42,1,5,10,8,0,16,24,2,1,3,1,1,2,1,1,1,3,0,1,24,1,3,0,4,0,164,31,1,0,9,0,62,2,3,4,0,4,47,16,37,1,1,10,1,1
2013-06-01,71,22,26,0,5,64,3,4,8,11,145,61,22,34,69,3,482,0,58,21,50,1,5,6,7,0,16,23,3,2,1,5,1,1,1,1,1,3,0,1,20,1,2,0,3,0,155,39,1,0,11,1,54,1,3,3,0,3,49,24,34,1,3,10,1,1
