date,how to unfollow someone on twitter,who can see my snapchat story,how to change instagram privacy settings,search without history,how to delete a youtube account,how to delete a twitter account,government monitoring social media,how to unfollow someone on instagram,best private messaging app,can someone read my text messages from their phone,how to encrypt whatsapp messages,private instagram posts,instagram privacy policy,how to unfollow on twitter,how to encrypt emails,google hangouts encryption
2011-01-01,8,0,0,59,219,73,8,0,0,0,0,0,0,140,23,0
2011-02-01,20,0,0,41,188,82,0,0,0,0,0,9,0,118,16,0
2011-03-01,22,0,0,37,288,137,0,0,0,0,0,0,0,166,18,0
2011-04-01,59,0,0,16,219,119,8,0,0,0,0,0,0,179,23,0
2011-05-01,51,0,0,49,219,164,11,0,0,0,0,0,0,227,18,0
2011-06-01,56,0,0,35,300,155,7,9,0,0,0,0,0,257,23,0
2011-07-01,37,0,0,71,369,255,0,0,7,0,0,0,0,266,22,0
2011-08-01,57,0,0,32,369,246,0,0,0,0,0,0,0,270,21,0
2011-09-01,48,0,0,49,382,228,0,0,0,0,0,0,0,196,24,0
2011-10-01,55,0,0,27,363,264,0,14,0,0,0,6,0,196,45,0
2011-11-01,43,0,0,23,400,319,13,6,7,7,0,6,8,231,16,0
2011-12-01,68,0,0,46,457,346,0,6,6,0,0,0,0,292,16,0
2012-01-01,100,0,7,51,375,410,12,11,0,0,0,0,0,340,18,0
2012-02-01,83,0,0,80,344,364,9,14,0,0,0,0,8,322,25,0
2012-03-01,67,0,0,50,344,355,12,11,12,0,0,0,8,261,20,0
2012-04-01,80,0,18,44,444,382,6,22,0,0,0,6,20,296,21,6
2012-05-01,40,0,12,51,425,364,6,36,0,0,0,6,8,318,14,0
2012-06-01,82,0,7,56,513,482,9,71,0,0,0,0,8,392,21,6
2012-07-01,49,0,6,70,532,564,6,79,0,0,0,0,8,435,26,0
2012-08-01,46,0,17,59,563,637,6,79,6,0,0,0,12,405,20,0
2012-09-01,48,0,106,57,413,528,6,109,6,0,0,0,16,331,9,0
2012-10-01,85,0,70,65,369,410,10,90,0,0,0,16,16,392,23,0
2012-11-01,83,0,45,47,432,464,5,68,8,0,0,0,12,414,21,0
2012-12-01,71,0,64,76,482,537,11,103,13,0,0,5,385,366,26,0
2013-01-01,64,0,70,68,500,701,10,149,19,0,0,10,116,400,12,0
2013-02-01,50,0,48,66,532,710,8,128,0,10,6,5,31,322,21,0
2013-03-01,44,0,47,75,488,501,9,146,14,0,0,15,31,318,23,0
2013-04-01,54,0,33,71,450,437,7,152,0,0,0,8,27,274,26,0
2013-05-01,69,0,37,71,488,573,11,119,5,0,5,5,20,279,23,0
2013-06-01,49,0,40,85,469,573,14,152,5,0,6,15,16,253,21,5
2013-07-01,49,0,56,93,544,546,5,179,0,0,0,24,24,322,14,5
2013-08-01,53,0,28,107,625,510,9,171,5,0,5,17,27,314,18,5
2013-09-01,66,0,53,89,519,528,0,125,5,0,0,37,47,240,18,5
2013-10-01,66,24,30,74,369,519,6,122,9,0,5,24,35,274,15,0
2013-11-01,54,20,19,89,394,473,15,136,4,13,5,43,24,209,26,6
2013-12-01,48,37,27,85,463,537,13,179,4,0,5,45,54,248,11,4
2014-01-01,71,25,31,84,550,655,8,152,4,0,0,55,43,309,26,10
2014-02-01,83,36,30,50,375,646,7,125,4,0,5,46,20,292,18,0
2014-03-01,84,26,29,65,432,655,6,144,4,0,5,53,270,266,32,8
2014-04-01,50,37,33,61,400,564,8,184,8,4,0,70,24,279,29,8
2014-05-01,71,50,24,63,375,546,6,165,4,0,13,59,39,318,21,8
2014-06-01,79,26,26,68,382,591,5,155,7,0,6,45,27,300,21,7
2014-07-01,84,44,46,106,457,710,9,192,11,0,10,73,27,318,11,5
2014-08-01,88,44,26,80,413,682,4,187,16,0,10,33,27,348,9,5
2014-09-01,65,28,27,90,338,519,4,160,11,0,9,55,43,240,22,4
2014-10-01,47,34,37,111,319,619,6,144,10,0,7,68,24,248,17,10
2014-11-01,61,32,28,85,319,600,11,182,8,0,5,53,31,257,21,11
2014-12-01,58,27,19,78,325,637,10,187,12,4,9,67,35,287,12,12
2015-01-01,53,30,30,88,388,828,8,190,10,0,0,59,47,248,18,14
2015-02-01,36,32,15,93,307,655,6,171,19,0,0,72,35,257,23,6
2015-03-01,42,46,14,87,357,555,8,141,10,0,8,42,20,261,10,11
2015-04-01,45,55,24,89,344,610,4,146,8,4,0,60,39,222,22,6
2015-05-01,59,42,10,85,382,637,11,168,8,0,5,66,27,248,31,10
2015-06-01,52,49,12,102,313,910,4,165,19,4,0,43,24,274,23,8
