date,how to delete youtube,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a google account,how to delete a twitter account,how to delete facebook,how to delete gmail,how to delete twitter,how to delete snapchat,delete account instagram,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to encrypt emails,encrypted phone calls,whatsapp security settings,how to protect against phishing,delete hangout history,how to encrypt whatsapp messages,Facebook privacy policy,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,Gmail privacy,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,facebook delete friends,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,skype encryption,how to encrypt whatsapp
2011-01-01,45,2,2,0,0,1,0,0,1,1,29,4,0,0,4,2,414,56,17,0,0,0,11,2,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,21,5,0,0,0,0,8,0,0,0,0,0,90,0,0,2,2,0
2011-02-01,42,1,2,0,0,1,0,0,1,1,26,5,0,0,3,2,380,56,19,0,0,0,10,2,5,0,0,0,1,0,0,2,0,1,0,0,0,0,0,4,0,0,0,1,0,17,5,0,0,0,0,9,0,0,1,0,0,72,0,0,3,3,0
2011-03-01,47,1,2,0,0,2,0,0,1,1,22,5,0,0,4,3,360,56,21,0,0,0,10,2,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,17,5,0,0,0,0,9,0,0,0,0,0,58,0,0,3,2,0
2011-04-01,48,1,2,0,0,2,0,0,0,1,22,5,0,0,5,2,394,62,23,0,0,0,9,1,6,0,0,0,1,0,0,3,0,0,0,0,0,0,0,4,1,0,0,0,0,18,4,0,0,0,0,10,0,1,0,0,0,55,0,0,3,2,0
2011-05-01,47,1,2,0,0,3,1,0,1,1,23,4,0,0,5,3,400,60,26,0,0,0,9,2,5,0,0,0,1,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,18,5,0,0,0,0,7,0,0,0,0,0,54,0,0,4,2,0
2011-06-01,65,1,3,0,0,3,0,0,1,0,24,6,0,0,6,3,440,70,30,0,0,0,10,3,4,0,0,0,1,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,21,4,0,0,0,0,9,0,0,0,0,0,59,0,0,4,2,0
2011-07-01,70,1,3,0,0,3,0,0,1,1,29,7,0,0,8,5,474,80,37,0,2,0,13,2,5,0,0,0,1,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,18,4,0,0,0,0,8,1,0,0,0,0,64,0,0,4,1,0
2011-08-01,72,2,3,0,0,3,0,0,1,0,35,7,0,0,7,4,580,76,35,0,2,0,14,2,7,0,0,0,1,0,0,5,0,0,0,0,0,0,0,4,0,0,0,0,0,27,4,0,0,0,0,9,1,0,0,0,0,61,0,0,5,2,0
2011-09-01,68,5,3,0,0,3,0,0,1,1,31,7,0,0,9,4,554,75,30,0,2,0,14,2,6,0,0,0,1,0,0,5,0,0,0,0,0,0,0,3,0,0,0,0,0,46,5,0,0,0,0,13,0,0,0,0,0,66,0,0,4,1,0
2011-10-01,67,4,2,0,0,5,0,0,1,1,35,7,0,0,8,5,574,72,36,0,2,0,12,3,5,0,0,0,1,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,32,5,0,0,0,0,12,0,0,0,0,0,75,0,0,3,1,0
2011-11-01,68,4,3,0,0,6,0,0,0,1,38,8,0,0,8,6,607,76,43,0,4,0,10,3,4,0,0,0,1,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,28,4,0,0,0,0,11,0,0,0,0,1,69,0,0,5,1,0
2011-12-01,90,3,4,0,0,4,0,0,1,1,35,8,0,0,9,6,667,83,47,0,4,0,14,2,6,0,0,0,1,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,27,4,0,0,1,0,11,0,0,0,0,0,88,0,0,6,1,0
2012-01-01,85,3,4,0,0,3,1,0,1,1,37,8,0,0,8,7,667,83,52,0,6,0,12,2,6,0,0,0,2,0,0,5,0,0,0,0,0,0,0,3,0,0,0,1,0,27,7,0,0,1,0,15,0,1,1,0,2,95,0,0,6,1,0
2012-02-01,76,3,4,0,0,3,1,0,1,1,39,6,0,1,7,6,654,68,49,0,6,0,10,2,4,0,0,0,2,0,0,6,0,0,0,0,0,0,0,6,0,0,0,1,0,25,10,0,0,1,0,16,1,2,1,0,2,86,1,0,6,1,0
2012-03-01,75,3,4,0,0,3,1,1,1,1,36,6,0,0,6,6,654,67,51,0,8,0,12,2,6,0,1,0,1,0,0,5,0,0,0,0,0,0,0,6,0,0,0,1,0,21,9,0,0,1,0,15,0,2,1,0,2,83,1,0,5,1,0
2012-04-01,75,3,3,0,0,4,0,0,1,1,25,8,0,1,7,8,607,70,58,0,28,0,10,2,5,0,0,0,1,0,0,6,0,1,0,0,0,0,0,6,0,0,0,1,0,24,5,0,0,1,0,12,1,1,1,0,1,95,2,0,5,1,0
2012-05-01,72,3,3,0,0,5,0,0,1,1,24,8,0,1,7,7,560,70,56,0,22,0,9,2,6,0,0,0,1,0,1,6,0,0,0,0,1,0,0,5,0,0,0,1,0,23,5,0,0,1,0,9,0,0,1,0,0,96,2,0,5,1,0
2012-06-01,79,3,3,0,0,5,0,0,1,1,27,9,0,2,8,10,567,79,63,0,28,0,9,2,6,0,0,0,2,0,1,7,0,0,0,0,0,0,0,6,0,0,0,1,0,23,4,0,0,1,0,8,0,0,1,0,0,105,3,0,7,1,0
2012-07-01,85,3,4,0,0,5,0,0,2,1,36,10,0,2,8,9,554,86,81,0,30,0,10,2,8,0,0,0,1,0,2,6,0,0,0,0,0,0,0,5,0,0,0,0,0,22,4,0,0,1,0,12,1,0,0,0,1,97,5,0,8,1,0
2012-08-01,84,4,4,0,0,5,0,0,1,1,36,9,0,2,10,11,594,91,75,2,28,0,9,3,7,0,0,0,1,0,1,5,0,0,0,0,0,0,0,3,0,0,0,1,0,29,4,0,0,1,0,10,0,0,1,0,1,93,5,0,6,1,0
2012-09-01,79,6,5,0,1,4,0,0,1,1,28,8,0,2,8,11,600,87,65,2,28,0,9,2,8,0,1,1,1,0,2,4,0,0,0,0,0,0,0,3,0,0,0,1,0,41,5,0,0,1,0,9,0,0,1,0,1,89,5,0,6,1,0
2012-10-01,79,6,4,0,1,6,0,0,1,1,22,7,1,2,7,9,520,76,65,4,30,0,8,2,7,0,0,0,1,0,1,7,0,0,0,0,0,0,0,5,0,0,0,0,0,39,4,0,0,1,0,11,1,0,0,0,1,92,5,0,6,1,0
2012-11-01,80,5,4,0,1,5,0,0,1,1,30,9,2,2,7,9,480,79,69,9,32,0,9,2,6,0,1,0,1,0,1,9,0,0,0,0,0,0,0,8,0,0,0,1,0,32,4,0,0,1,0,12,1,0,1,0,0,70,5,0,8,1,0
2012-12-01,92,4,5,0,1,5,0,0,1,1,32,8,2,3,8,10,527,91,80,15,58,0,9,3,7,0,1,0,2,0,2,3,0,0,0,0,0,0,0,7,0,7,0,0,0,34,5,0,0,1,0,11,0,0,0,0,0,47,7,1,6,1,0
2013-01-01,89,3,5,0,1,7,0,0,1,1,27,10,2,4,9,12,520,91,84,11,68,0,10,3,6,0,1,1,1,0,2,3,0,0,0,0,0,0,0,4,0,2,0,1,0,31,5,0,0,1,0,11,0,0,1,0,1,39,7,1,8,1,0
2013-02-01,88,4,5,0,1,8,0,0,1,1,25,9,1,4,9,11,474,91,75,9,70,0,9,2,6,0,1,1,1,0,2,3,0,0,0,0,0,0,0,5,0,1,0,1,0,33,6,0,0,1,0,11,1,1,1,0,0,38,8,1,7,1,0
2013-03-01,86,4,4,0,1,7,0,0,1,1,28,9,2,3,8,10,447,92,75,13,44,0,8,2,6,0,0,2,1,0,3,9,0,0,0,0,0,0,0,4,0,1,0,1,0,37,5,0,0,1,0,12,0,0,1,0,1,35,7,1,6,1,0
2013-04-01,87,3,4,0,1,7,0,0,1,1,28,9,2,4,10,8,427,96,68,20,44,0,9,3,6,0,1,3,1,0,3,3,0,0,0,0,0,0,0,3,0,1,0,1,0,23,5,0,0,1,0,10,0,0,1,0,0,32,7,2,6,1,0
2013-05-01,87,3,4,0,1,7,0,1,1,1,22,9,2,4,10,10,400,96,64,25,50,0,9,3,6,0,1,2,1,0,2,4,0,0,0,0,0,0,0,4,0,1,0,1,0,25,5,0,0,1,0,9,0,0,1,0,1,31,7,2,6,2,0
2013-06-01,92,3,4,0,1,10,0,1,1,2,23,9,3,5,11,10,407,104,71,34,74,0,9,3,8,0,1,1,1,0,2,3,0,0,1,0,0,1,0,3,0,0,0,1,0,23,6,0,0,2,0,8,0,1,1,0,0,29,7,4,5,2,0
2013-07-01,96,4,5,0,1,11,0,0,1,1,28,11,4,5,11,10,407,107,83,33,50,0,9,3,7,1,1,2,1,0,3,9,0,0,0,0,0,1,0,3,0,0,0,1,0,30,5,0,0,2,0,8,0,0,1,0,0,27,10,3,6,2,0
2013-08-01,100,3,5,0,1,9,0,1,1,1,28,13,3,5,12,9,414,110,82,31,50,0,9,4,7,0,1,2,1,0,3,5,0,1,0,0,0,1,0,3,0,1,0,0,0,23,12,1,0,2,0,7,0,1,0,0,0,27,9,2,5,1,0
2013-09-01,86,3,4,0,1,9,0,0,1,1,20,9,3,4,10,9,387,108,69,27,46,0,8,4,8,0,1,2,1,0,3,4,0,0,0,0,0,0,0,4,0,1,0,0,0,24,6,1,0,1,0,8,0,0,0,0,1,25,8,2,5,1,0
2013-10-01,78,3,4,0,0,8,0,0,1,1,22,7,3,3,11,9,374,107,64,58,48,0,8,3,8,0,1,1,1,0,2,3,0,0,0,0,0,1,0,15,0,1,0,1,0,33,8,1,0,1,0,10,0,1,1,0,1,23,6,2,6,1,0
2013-11-01,81,2,4,0,1,8,0,1,1,1,22,7,3,3,11,8,354,104,64,50,42,0,8,3,9,0,1,1,1,0,3,6,0,0,0,0,0,1,0,3,0,0,0,1,0,20,6,1,0,1,0,9,0,1,1,0,1,22,7,3,4,1,0
2013-12-01,86,3,5,1,1,9,0,0,1,1,28,9,5,5,13,9,380,122,71,63,44,0,8,4,9,0,1,2,1,0,3,9,0,0,0,0,0,1,0,3,0,1,0,1,0,19,6,1,0,1,0,10,0,1,1,0,0,21,7,4,4,1,0
2014-01-01,89,3,5,0,1,10,0,1,1,1,24,9,6,5,14,12,387,131,81,88,58,0,9,4,9,0,1,3,1,0,3,4,0,0,0,0,0,1,0,3,0,1,0,1,0,18,7,1,0,2,0,10,0,1,1,0,1,23,8,5,5,1,0
2014-02-01,79,2,4,1,1,8,0,1,1,2,19,8,4,4,14,11,360,123,75,61,70,0,8,3,8,0,1,2,1,0,2,3,0,0,0,0,0,1,0,4,0,0,0,1,0,16,6,1,0,1,0,9,0,0,1,0,1,21,7,4,5,1,0
2014-03-01,81,2,4,1,1,11,0,0,1,1,19,8,5,5,13,11,354,120,79,67,56,0,8,3,7,0,1,2,1,0,2,3,0,0,0,0,0,1,0,3,0,6,0,1,0,16,6,1,0,1,0,10,0,0,1,0,0,22,7,4,5,1,0
2014-04-01,83,2,4,1,0,11,0,1,1,1,24,7,4,4,12,10,354,123,74,70,52,0,7,3,9,0,1,2,1,0,3,7,0,0,0,0,0,1,0,4,0,0,0,1,0,17,6,1,0,1,0,10,0,0,1,0,1,22,9,4,5,1,0
2014-05-01,79,2,3,1,1,8,1,0,1,1,25,7,7,5,12,10,347,116,71,179,52,0,7,3,7,1,1,2,1,0,3,7,0,0,0,0,0,1,0,4,0,0,0,1,0,18,5,1,0,1,0,10,0,0,1,0,1,21,8,4,5,1,0
2014-06-01,81,2,3,1,1,8,0,0,1,1,22,7,5,5,12,11,374,120,73,93,80,0,8,3,7,0,1,4,1,0,3,4,0,0,0,0,0,1,0,3,0,0,0,0,0,15,6,1,0,2,0,9,1,0,0,0,0,21,8,3,5,1,0
2014-07-01,94,2,4,1,1,9,0,0,2,1,23,9,6,6,14,13,387,124,80,81,86,0,7,2,8,0,1,4,1,0,3,3,0,0,0,0,0,1,0,3,0,0,0,0,0,16,5,1,0,1,0,8,0,0,0,0,0,23,10,3,5,1,0
2014-08-01,97,3,3,1,1,9,0,0,1,1,23,9,5,6,14,12,414,132,81,75,64,0,20,4,9,0,1,3,1,0,3,3,0,0,0,0,0,1,0,5,0,1,0,1,0,18,5,1,0,1,0,8,1,0,1,0,0,23,10,3,6,1,0
2014-09-01,89,2,3,1,0,8,1,1,1,2,23,6,5,4,12,10,367,130,73,81,50,0,12,4,8,0,1,2,1,0,2,3,0,0,0,0,0,1,0,4,0,1,0,1,0,15,6,1,0,1,0,9,1,0,1,0,0,20,8,3,5,1,0
2014-10-01,83,3,3,1,1,8,1,0,1,2,19,6,6,4,12,11,347,122,71,83,50,0,9,4,9,0,1,1,1,0,3,2,0,0,0,0,0,1,0,3,0,0,0,1,0,15,6,1,0,1,0,10,1,0,1,0,1,19,9,3,5,1,0
2014-11-01,85,2,3,0,1,7,0,0,1,1,21,6,5,5,12,10,334,123,73,92,68,0,9,3,8,1,1,2,1,0,3,3,0,0,0,0,0,1,0,5,0,1,0,1,0,15,6,1,0,1,3,10,0,0,1,0,0,17,9,4,4,1,0
2014-12-01,93,2,4,0,0,8,1,0,1,2,22,6,7,7,12,12,347,112,79,100,80,0,8,3,9,0,1,3,1,0,3,3,0,0,0,0,0,1,0,8,0,1,0,1,0,17,5,1,0,1,1,9,0,0,1,0,0,19,10,5,4,1,0
2015-01-01,90,3,4,1,0,7,0,1,1,2,23,7,9,9,12,14,360,116,83,118,80,0,8,3,8,2,1,3,1,0,3,3,0,0,0,0,0,0,0,51,0,1,0,1,0,18,6,1,0,1,1,10,1,0,1,0,1,19,10,9,5,1,0
2015-02-01,81,2,4,1,0,6,0,0,1,1,23,6,5,6,11,12,340,108,77,106,68,0,8,3,8,1,1,2,1,0,3,3,0,0,0,0,0,1,0,5,0,1,0,1,0,14,6,1,0,1,1,10,0,0,1,0,1,18,8,3,5,1,0
2015-03-01,79,2,4,1,0,6,0,0,1,1,23,6,7,6,11,11,320,111,78,92,68,0,7,3,7,0,1,2,1,0,3,3,0,0,0,0,0,1,0,3,0,1,0,1,0,14,7,0,0,0,0,10,0,0,1,0,1,17,8,2,5,1,0
2015-04-01,83,2,4,1,0,6,0,0,1,2,28,6,5,6,11,10,320,112,80,95,74,0,7,3,8,1,1,2,1,0,3,4,0,0,0,0,0,1,0,4,0,0,0,1,0,14,6,1,0,1,1,10,0,1,1,0,0,16,8,3,5,1,0
2015-05-01,80,2,4,1,0,6,0,0,0,2,21,7,4,6,11,12,327,111,80,95,82,0,7,3,7,0,1,3,1,0,3,8,0,0,0,0,0,1,0,3,0,0,0,0,0,14,5,1,0,1,1,11,0,0,0,0,1,16,9,3,5,1,0
2015-06-01,84,2,3,1,0,6,1,0,1,1,19,7,5,7,12,15,360,118,86,104,88,0,7,4,8,0,1,3,1,0,3,6,0,0,0,0,0,1,0,3,0,0,0,1,1,14,7,1,0,1,2,10,0,1,1,1,0,18,10,2,5,1,0
