date,most private browser,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,best anonymous browser,government monitoring social media,how to uninstall snapchat,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to encrypt emails,encrypted phone calls,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,how to encrypt whatsapp messages,gmail privacy issues,Privacy policy Pokemon Go,Twitter privacy policy,private instagram posts,How to make tweets private,Uber privacy,gmail privacy policy,twitter privacy policy,privacy policy youtube,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,31,346,0,0,82,20,0,23,27,0,0,28,27,20,20,0,20,0,0,21,0,31,0,82,21,77,31,40,0,20,230,0,0
2011-02-01,58,391,0,0,65,22,0,0,59,0,0,79,22,0,43,0,21,22,0,36,0,32,21,22,0,77,32,44,0,22,271,22,0
2011-03-01,58,273,0,0,79,0,0,0,71,0,0,46,20,0,32,0,29,0,0,39,0,59,0,25,0,47,59,27,0,39,226,0,0
2011-04-01,21,346,0,0,77,21,0,28,118,0,0,63,35,0,21,0,31,0,0,49,0,76,0,22,21,127,76,84,0,0,268,21,0
2011-05-01,49,328,0,0,59,20,0,39,150,0,0,65,59,0,26,0,29,0,0,33,0,52,0,46,21,39,52,34,0,26,323,19,0
2011-06-01,50,391,0,0,48,0,0,28,127,0,0,54,0,0,30,0,20,0,0,40,0,51,0,79,21,62,51,67,20,20,194,0,0
2011-07-01,30,364,0,0,50,0,0,28,133,0,0,31,40,0,30,0,20,0,0,33,0,50,0,52,21,54,50,47,0,47,184,20,0
2011-08-01,37,537,0,0,29,19,0,17,156,0,0,44,19,0,19,0,19,0,0,28,0,50,0,37,17,66,50,47,0,28,249,38,0
2011-09-01,43,382,0,0,61,18,0,17,142,0,0,19,24,0,42,0,27,0,0,43,0,100,19,37,0,74,100,64,0,18,188,36,19
2011-10-01,41,401,0,0,53,35,0,23,139,0,34,70,79,18,17,0,35,0,0,26,0,88,19,70,17,47,88,57,0,35,236,35,0
2011-11-01,17,391,0,0,26,34,0,17,115,0,20,35,26,0,41,0,0,0,0,17,0,59,17,52,17,70,59,80,0,52,149,26,19
2011-12-01,34,673,0,0,41,34,0,28,242,0,34,41,34,0,35,0,43,0,0,17,0,87,0,79,0,70,87,34,0,69,120,29,19
2012-01-01,74,564,0,17,85,32,0,34,265,0,14,79,39,16,21,0,24,0,0,74,0,69,0,73,0,193,69,280,0,16,184,16,0
2012-02-01,49,637,0,0,74,38,0,23,295,0,14,33,33,0,33,17,49,0,0,33,0,114,0,140,34,385,114,314,0,33,210,16,0
2012-03-01,72,600,0,0,68,15,0,28,165,0,67,31,46,15,62,17,23,0,0,41,0,93,0,97,0,266,93,334,15,31,142,16,0
2012-04-01,41,473,0,24,38,16,0,34,227,0,94,76,43,0,22,17,16,0,0,27,0,32,17,85,0,70,32,107,16,27,188,32,0
2012-05-01,35,619,0,31,50,15,0,23,162,0,114,51,40,0,45,15,15,0,0,23,0,100,17,140,17,62,100,97,0,40,175,0,13
2012-06-01,63,537,0,24,32,16,0,17,183,0,174,42,39,16,21,17,23,0,16,47,0,68,0,149,17,27,68,67,16,36,181,21,19
2012-07-01,46,573,0,17,58,31,0,28,103,0,154,52,69,0,26,0,15,0,0,21,0,73,0,158,0,43,73,67,0,21,159,26,13
2012-08-01,36,646,0,54,41,15,0,45,153,0,200,51,20,15,38,15,25,15,0,30,0,82,0,131,0,62,82,77,0,25,181,30,13
2012-09-01,25,728,0,233,31,15,0,28,136,0,180,46,30,0,35,23,30,0,0,45,0,85,0,140,17,74,85,50,0,25,130,23,25
2012-10-01,37,501,0,198,37,18,0,23,150,0,254,42,34,21,14,28,23,0,0,28,0,60,28,155,13,47,60,47,0,37,104,32,19
2012-11-01,21,600,0,168,70,14,0,39,171,0,200,47,32,14,14,0,14,0,0,28,0,88,28,137,13,93,88,70,0,23,197,35,25
2012-12-01,65,619,0,145,57,0,43,34,218,0,254,51,55,14,0,15,28,14,13,28,0,97,0,170,13,58,97,37,0,28,130,14,13
2013-01-01,38,737,0,152,55,32,26,134,186,0,394,72,31,13,29,13,13,14,0,44,0,84,17,210,0,27,84,60,0,34,191,21,13
2013-02-01,42,710,0,98,66,21,0,123,153,0,354,70,47,14,33,28,35,15,13,35,0,116,0,158,13,81,116,64,0,28,230,42,32
2013-03-01,33,701,0,117,71,25,12,256,192,0,327,34,37,12,41,13,37,25,0,33,0,103,21,176,0,47,103,104,0,58,149,12,25
2013-04-01,42,682,0,42,88,17,12,378,136,0,427,51,25,19,25,13,25,14,0,29,0,88,26,188,13,70,88,60,0,50,159,21,13
2013-05-01,62,546,0,119,83,29,20,212,180,0,307,42,45,49,25,13,12,41,0,21,0,50,12,216,13,39,50,67,18,33,236,12,25
2013-06-01,50,619,0,89,52,46,20,150,156,0,354,51,92,55,13,21,25,76,0,13,0,100,19,200,0,58,100,80,19,88,233,44,13
2013-07-01,58,719,0,133,63,31,43,200,186,0,454,54,66,29,68,20,25,112,0,50,0,70,59,304,13,81,70,67,12,70,230,19,19
2013-08-01,90,910,0,135,71,25,38,350,145,0,540,82,37,29,21,18,12,74,13,37,0,41,87,228,13,104,41,70,12,29,120,12,25
2013-09-01,48,719,0,98,69,0,55,328,156,25,420,57,54,12,42,25,12,114,13,28,0,69,114,219,25,27,69,84,12,56,152,16,25
2013-10-01,38,637,57,59,65,30,55,106,148,11,300,69,30,27,17,12,34,69,11,30,0,54,100,125,13,89,54,87,17,38,175,17,13
2013-11-01,58,600,62,63,91,41,60,167,150,0,327,43,41,39,27,17,31,94,13,31,0,82,98,131,17,85,82,67,23,23,175,23,19
2013-12-01,89,728,85,89,71,23,35,267,156,13,467,32,35,35,12,18,29,120,11,27,0,70,110,158,21,77,70,77,29,51,168,23,19
2014-01-01,47,691,85,96,92,22,60,362,180,11,420,51,65,25,33,15,29,99,11,29,0,80,126,207,13,77,80,100,27,33,126,16,32
2014-02-01,51,755,88,73,88,36,49,384,245,13,394,52,75,39,16,25,28,119,13,30,0,94,117,191,34,50,94,94,12,59,171,40,25
2014-03-01,57,582,57,82,47,11,46,206,189,11,360,54,75,21,18,15,27,104,0,25,0,113,166,200,13,62,113,80,11,39,107,32,38
2014-04-01,59,628,83,77,82,11,46,289,159,11,520,63,37,55,11,17,37,99,11,29,0,95,145,170,25,66,95,60,0,48,97,29,25
2014-05-01,63,546,121,87,94,22,212,350,145,23,487,64,37,30,33,38,22,100,24,34,0,85,180,210,34,62,85,87,22,41,136,28,25
2014-06-01,54,555,88,117,63,37,58,462,195,21,380,62,50,25,37,31,21,104,13,12,0,99,175,213,25,54,99,40,19,50,152,25,25
2014-07-01,56,491,106,94,57,12,46,495,165,37,460,66,44,24,12,36,36,109,13,16,0,80,191,176,25,58,80,87,12,36,155,28,32
2014-08-01,60,546,52,84,85,12,43,456,183,13,460,40,56,60,18,20,16,104,29,12,0,76,133,179,34,81,76,77,0,32,120,28,38
2014-09-01,100,510,108,82,82,19,46,250,136,13,454,69,65,58,19,17,23,141,24,17,0,127,180,197,34,47,127,67,23,58,126,27,38
2014-10-01,58,491,85,103,44,65,40,223,136,28,414,37,47,33,22,41,29,141,21,22,0,76,196,173,38,74,76,70,29,66,110,33,32
2014-11-01,45,519,88,75,94,23,63,350,189,20,367,102,49,22,15,31,22,153,11,17,0,112,194,188,417,50,112,94,19,38,104,19,32
2014-12-01,85,582,77,89,70,22,60,467,139,19,494,66,37,44,17,28,15,117,24,15,0,88,142,170,184,62,88,87,28,37,97,33,25
2015-01-01,52,591,98,73,122,26,269,439,121,28,467,56,49,28,24,15,49,104,11,14,0,94,166,107,88,58,94,97,24,21,107,21,25
2015-02-01,56,528,103,42,64,28,120,300,98,34,434,45,60,49,28,12,26,112,11,17,0,127,214,79,142,74,127,90,30,37,123,30,19
2015-03-01,51,610,134,54,90,15,52,256,159,34,420,31,41,31,20,55,24,109,16,20,0,95,121,58,84,58,95,94,31,54,130,41,44
2015-04-01,67,610,134,49,81,14,109,323,145,35,434,63,56,25,16,28,21,164,21,16,0,98,103,76,121,58,98,90,18,46,133,28,19
2015-05-01,47,591,126,28,69,27,38,378,180,47,414,55,44,31,15,13,10,89,21,14,0,78,126,116,113,70,78,70,20,37,130,27,50
2015-06-01,73,582,106,42,81,10,78,556,177,28,474,56,28,35,31,34,35,110,11,16,0,97,135,79,255,70,97,117,36,38,94,31,32
2015-07-01,89,564,257,38,107,17,152,278,174,66,460,72,34,14,34,38,24,133,11,14,0,109,159,79,167,77,109,67,34,44,126,26,44
2015-08-01,71,573,98,31,102,0,55,184,115,47,347,64,50,27,25,31,15,141,11,10,0,94,142,55,71,66,94,70,44,57,84,20,50
2015-09-01,53,473,113,40,74,10,115,339,174,47,514,60,63,30,40,44,33,141,11,20,0,87,110,43,163,81,87,150,13,30,107,36,63
2015-10-01,75,482,98,45,88,22,80,339,127,69,414,69,44,41,19,28,25,73,18,25,0,107,135,43,96,50,107,120,19,56,123,22,38
2015-11-01,100,573,108,35,118,13,78,217,180,26,460,39,42,39,23,26,23,94,13,35,0,116,142,61,100,74,116,104,29,48,146,39,63
2015-12-01,68,501,88,42,72,20,132,206,133,27,520,59,59,23,15,30,20,117,11,16,0,100,128,46,96,50,100,74,33,29,110,23,57
