date,how to uninstall snapchat,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a youtube account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall gmail,how to uninstall youtube,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,private instagram posts,How to make tweets private,Uber privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,0,74,133,0,0,15,20,35,53,232,73,8,0,105,305,0,0,30,0,0,125,0,0,23,15,0,8,11,0,23,0,0,0,11,0,0,13,0,0,16,0,8,25,13,0,16,0,138,0,8,104,8,0
2011-02-01,0,85,168,0,0,16,24,24,32,200,91,0,0,112,295,0,0,19,0,0,150,0,0,21,0,0,0,16,0,0,8,0,0,16,0,0,19,0,9,9,0,20,24,19,0,13,0,138,0,8,94,8,0
2011-03-01,0,66,126,0,0,10,12,31,41,282,137,7,0,96,350,0,0,29,0,0,169,0,0,22,7,0,0,14,0,0,0,0,0,15,0,0,24,0,0,8,8,21,20,24,0,9,0,175,0,7,84,0,0
2011-04-01,0,43,91,0,0,0,36,23,26,257,128,8,0,98,220,0,8,43,0,0,163,0,0,23,11,0,0,0,0,15,0,0,0,8,0,0,21,0,0,12,8,12,18,21,0,13,0,188,0,8,88,15,0
2011-05-01,0,43,100,0,0,18,19,22,53,232,146,10,0,105,260,7,16,48,0,0,169,0,0,22,22,0,0,7,0,0,0,0,0,15,0,0,19,0,0,18,15,17,15,19,0,25,0,217,0,7,125,14,7
2011-06-01,0,93,165,0,0,11,20,47,30,300,173,7,0,121,250,0,8,69,0,8,207,0,0,26,7,0,0,0,0,7,0,0,0,7,0,0,27,7,0,23,16,33,15,27,7,16,0,242,0,7,78,7,0
2011-07-01,0,77,155,0,0,15,19,49,61,382,264,0,0,75,330,7,8,41,0,0,244,0,0,20,12,7,0,7,0,7,7,0,0,0,0,0,12,0,0,30,8,39,25,12,0,20,0,242,0,20,59,7,7
2011-08-01,0,93,130,0,0,9,9,46,29,357,246,7,0,140,370,21,14,55,0,0,232,0,0,23,10,0,0,10,7,7,0,0,0,7,0,0,28,0,0,19,0,19,18,28,0,12,0,238,0,7,74,11,0
2011-09-01,0,258,184,0,0,13,40,43,57,394,219,0,0,98,315,7,18,52,0,0,244,0,0,22,10,0,0,14,0,7,0,0,0,10,0,0,20,0,0,12,0,27,31,20,0,18,0,200,0,7,93,7,7
2011-10-01,0,235,142,0,0,13,19,44,21,344,237,0,0,142,280,10,16,70,0,14,219,0,0,44,19,0,6,6,0,16,0,0,0,6,0,0,34,0,6,32,8,6,24,34,0,20,0,234,0,26,79,6,0
