date,how to unfollow someone on snapchat,how to delete pokemongo,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,skype privacy policy,uber privacy policy,instagram privacy policy,how to encrypt whatsapp
2011-01-01,0,0,0,24,0,460,0,34,0,0,0
2011-02-01,0,0,0,59,0,540,0,48,0,0,0
2011-03-01,0,0,0,65,0,580,0,44,0,0,0
2011-04-01,0,0,24,174,0,560,0,0,0,0,0
2011-05-01,0,0,42,150,0,540,0,22,0,0,24
2011-06-01,0,0,24,165,24,800,0,0,0,0,0
2011-07-01,0,0,24,109,0,940,0,22,0,0,24
2011-08-01,0,0,42,168,0,800,0,32,0,0,0
2011-09-01,0,0,83,142,0,880,0,41,0,0,24
2011-10-01,0,0,48,162,39,840,0,19,0,0,0
2011-11-01,0,0,36,127,16,540,0,29,0,23,39
2011-12-01,0,0,18,200,16,800,0,38,0,0,0
2012-01-01,0,0,42,295,31,1020,0,35,0,0,16
2012-02-01,0,0,30,245,39,860,0,18,0,23,0
2012-03-01,0,0,53,198,31,820,0,69,0,23,16
2012-04-01,0,0,30,236,62,1060,0,27,0,56,0
2012-05-01,0,0,36,118,100,1160,0,17,0,23,0
2012-06-01,0,0,18,242,200,1200,0,26,0,23,0
2012-07-01,0,0,18,145,224,1200,0,43,0,23,24
2012-08-01,0,0,42,136,224,700,0,68,0,34,39
2012-09-01,0,0,48,142,308,720,0,34,0,45,39
2012-10-01,0,0,36,251,254,1180,0,0,0,45,31
2012-11-01,0,0,53,245,193,1580,0,31,16,34,16
2012-12-01,0,0,48,209,293,600,31,0,0,1112,16
2013-01-01,0,0,230,189,424,560,21,21,0,334,16
2013-02-01,0,0,130,148,362,560,16,31,0,89,31
2013-03-01,0,0,265,130,416,1620,15,34,0,89,16
2013-04-01,0,0,389,159,431,760,36,14,0,78,16
2013-05-01,0,0,289,203,339,660,41,20,0,56,16
2013-06-01,0,0,165,145,431,580,98,28,0,45,24
2013-07-01,0,0,195,145,508,1580,42,69,0,67,24
2013-08-01,0,0,400,156,485,820,21,41,14,78,31
2013-09-01,27,0,277,195,354,640,14,34,14,134,16
2013-10-01,0,0,130,195,347,520,0,13,0,100,24
2013-11-01,0,0,177,159,385,1200,14,39,14,67,24
2013-12-01,26,0,224,142,508,1600,65,26,0,156,31
2014-01-01,0,0,483,209,431,580,18,0,0,123,0
2014-02-01,13,0,348,245,354,600,27,26,14,56,24
2014-03-01,0,0,277,248,408,600,13,18,13,778,16
2014-04-01,18,0,248,148,524,1300,25,12,0,67,16
2014-05-01,25,0,412,209,470,1440,31,25,13,112,24
2014-06-01,28,0,524,233,439,600,42,14,55,78,24
2014-07-01,14,0,583,248,547,540,20,40,14,78,31
2014-08-01,27,0,453,259,531,560,14,27,20,78,70
2014-09-01,13,0,236,192,454,580,0,26,65,123,54
2014-10-01,12,0,224,139,408,500,43,37,25,67,16
2014-11-01,19,0,330,180,516,480,63,37,57,89,47
2014-12-01,19,0,506,171,531,540,25,18,25,100,39
2015-01-01,41,0,530,156,539,440,47,29,18,134,39
2015-02-01,44,0,265,106,485,520,82,13,13,100,24
2015-03-01,34,0,295,124,400,500,29,23,11,56,39
2015-04-01,41,0,371,133,416,680,41,23,41,112,39
2015-05-01,40,0,436,174,477,1440,69,17,46,78,47
2015-06-01,17,0,589,153,470,1060,64,52,110,67,31
2015-07-01,40,0,353,159,516,600,58,34,63,67,39
2015-08-01,57,0,306,112,500,660,29,34,17,67,70
2015-09-01,50,0,336,177,516,1720,62,33,51,112,39
2015-10-01,26,0,342,124,454,1260,63,16,59,112,62
2015-11-01,22,0,230,150,539,520,49,22,33,134,62
2015-12-01,39,0,277,142,508,520,44,11,33,89,62
2016-01-01,41,0,242,165,608,800,68,31,47,78,54
2016-02-01,82,0,383,121,547,1500,62,26,21,123,31
2016-03-01,58,0,312,124,547,1160,87,29,25,145,70
2016-04-01,100,0,242,159,470,540,55,25,40,123,770
2016-05-01,73,0,177,95,524,500,43,39,63,89,200
2016-06-01,60,0,253,159,624,1020,110,20,40,156,154
2016-07-01,91,132,424,153,770,1560,86,30,41,134,131
2016-08-01,54,35,289,136,616,760,84,24,30,100,108
2016-09-01,69,10,259,127,493,520,54,20,30,178,85
2016-10-01,51,0,177,130,416,600,61,28,38,145,124
2016-11-01,52,0,318,136,600,2000,94,38,71,156,85
2016-12-01,80,0,400,118,562,820,75,9,81,100,116
2017-01-01,31,14,389,200,447,620,97,26,44,167,70
