date,Gmail privacy,how to change facebook privacy settings,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a facebook account,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a twitter account,government monitoring social media,how to delete twitter,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,best private messaging app,google hangouts privacy,skype privacy policy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,Facebook privacy policy,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Facebook Privacy settings,private instagram posts,pokemon go settings,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,gmail privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,facebook delete friends,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,Encrypt phone calls,skype encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,40,12,14,0,0,8,1,1,4,11,231,29,0,0,12,0,136,0,102,16,39,0,0,1,2,0,0,18,0,0,1,2,0,1,1,0,2,0,1,0,24,1,0,0,3,0,175,0,0,2,0,79,2,3,3,0,3,734,0,0,23,0,1,14,1,0
2011-02-01,32,11,19,0,0,6,2,2,6,8,200,35,0,0,14,0,136,0,76,16,37,0,0,0,5,0,0,22,0,0,4,1,0,0,1,0,2,1,0,0,27,3,0,0,2,0,165,1,0,1,0,73,2,3,2,0,3,592,0,0,22,0,1,16,1,0
2011-03-01,33,11,16,0,0,15,3,2,5,5,176,36,0,0,27,0,172,0,73,14,45,0,0,0,4,0,0,30,0,0,2,2,0,0,1,0,1,1,1,0,35,1,0,0,3,0,158,0,0,1,0,70,3,2,3,0,3,442,2,0,27,0,1,13,0,0
2011-04-01,34,7,15,0,0,14,0,4,6,10,149,33,0,0,15,0,186,0,66,15,37,0,0,2,10,0,0,25,0,0,3,2,0,0,1,0,2,0,0,0,27,2,0,0,2,0,150,0,0,2,0,68,3,2,2,0,2,434,0,0,28,0,1,14,1,0
2011-05-01,40,9,18,0,1,22,3,4,4,3,197,35,0,0,20,1,193,0,69,13,34,0,1,1,10,0,0,19,0,0,2,1,0,0,1,0,1,0,0,0,27,2,0,0,4,0,147,0,0,3,1,60,3,3,4,0,4,409,0,0,33,0,1,17,2,0
2011-06-01,36,11,18,0,0,21,3,2,9,6,188,39,0,0,31,1,222,0,80,21,37,0,1,1,7,0,1,31,0,0,2,2,0,0,2,0,1,0,0,0,27,2,0,0,4,0,175,0,0,2,0,70,2,4,4,1,2,459,2,0,36,0,1,11,1,0
2011-07-01,33,12,18,0,0,19,2,3,7,11,225,53,0,2,36,0,272,0,95,12,37,0,1,2,9,0,0,29,0,0,2,3,0,0,1,0,1,1,0,0,31,2,1,0,3,0,136,0,0,3,0,61,7,2,3,0,2,501,3,0,38,0,2,12,2,0
2011-08-01,32,16,19,0,0,18,2,2,8,6,255,61,0,1,38,1,272,0,109,21,56,0,1,1,11,0,0,39,0,0,3,1,0,0,1,0,1,0,0,0,31,0,0,0,3,0,211,0,0,2,0,70,4,2,3,0,2,501,0,0,33,0,1,14,3,0
2011-09-01,33,37,24,0,0,23,1,2,8,7,243,57,0,1,35,0,236,0,105,11,40,0,1,1,8,0,0,36,0,0,3,1,1,0,1,0,1,0,0,0,27,2,1,0,5,0,358,0,0,3,0,103,3,4,5,0,3,517,0,0,28,0,2,11,1,0
2011-10-01,33,32,19,0,0,45,1,2,7,8,261,52,0,1,43,1,279,0,90,21,44,0,1,1,8,0,0,35,0,0,4,3,1,1,2,0,1,0,1,0,24,2,0,0,3,0,265,0,0,4,1,104,1,3,3,0,4,592,2,0,33,0,2,11,2,0
