date,uber privacy policy,how to change facebook privacy settings,youtube private channel,how to change instagram privacy settings,best anonymous browser,how to browse anonymously,search without history,how to delete a snapchat account,how to delete a instagram account,government monitoring social media,how to delete pokemongo,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfriend someone on snapchat,how to unfriend someone on instagram,how to encrypt emails,encrypted phone calls,google hangouts privacy,skype privacy policy,whatsapp security settings,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,gmail privacy issues,Privacy policy Pokemon Go,Twitter privacy policy,private instagram posts,How to make tweets private,Uber privacy,facebook app privacy policy,gmail privacy policy,instagram privacy policy,twitter privacy policy,privacy policy uber,privacy policy youtube,remove snapchat friends,how to unfollow on twitter,google hangouts encryption,how to encrypt text messages,how to encrypt whatsapp
2011-01-01,0,230,364,0,59,103,154,0,0,22,0,300,872,0,0,0,87,0,0,0,67,43,22,33,0,0,0,0,44,0,36,0,45,0,22,74,0,36,0,45,0,425,0,22,0
2011-02-01,0,240,410,0,69,70,93,0,0,0,0,320,829,0,0,0,55,0,0,0,63,0,0,46,0,23,0,0,39,0,54,25,24,0,58,70,0,54,0,38,0,413,0,23,0
2011-03-01,0,210,364,0,35,90,118,0,0,21,0,274,1000,0,0,0,84,0,0,0,63,20,0,35,0,0,0,0,31,0,69,0,21,20,63,57,0,69,0,26,0,525,0,21,0
2011-04-01,0,100,273,0,104,67,75,0,0,22,0,280,629,0,0,23,128,0,0,0,68,32,0,23,0,0,0,0,30,0,60,0,33,20,35,53,0,60,0,38,0,563,0,45,0
2011-05-01,0,160,300,0,55,62,154,0,0,28,0,300,743,0,21,45,138,0,0,0,63,40,0,42,0,0,0,0,35,0,57,22,50,40,49,44,0,57,0,71,0,650,0,31,20
2011-06-01,22,240,446,0,58,136,86,0,0,21,0,347,715,0,0,23,200,0,0,0,76,20,0,0,0,0,0,0,43,0,79,0,65,45,99,44,0,79,22,45,0,738,22,22,0
2011-07-01,0,240,482,0,57,142,179,0,17,0,0,214,943,0,21,23,119,0,0,0,58,40,0,42,0,22,0,0,0,0,36,0,86,20,115,74,0,36,0,56,0,738,0,21,20
2011-08-01,0,250,382,0,27,134,83,0,17,20,0,400,1058,0,61,39,163,0,0,0,68,19,0,30,21,0,0,0,20,0,82,0,53,0,55,53,0,82,0,34,0,713,0,27,0
2011-09-01,0,720,446,0,118,124,165,0,17,0,0,280,900,0,19,50,149,0,0,0,67,19,0,52,0,0,0,0,33,0,60,0,33,0,80,92,0,60,0,52,0,613,0,20,20
2011-10-01,0,720,401,0,55,129,61,0,17,0,0,414,800,0,28,45,203,0,0,0,130,28,18,18,0,0,0,0,28,0,99,19,92,20,19,70,0,99,0,56,0,700,0,28,0
2011-11-01,0,570,491,0,38,75,90,0,17,37,0,414,858,0,38,39,125,0,0,0,38,18,19,25,0,0,19,0,19,0,82,19,68,0,57,74,25,82,0,75,0,725,0,28,27
2011-12-01,0,520,655,0,25,98,136,0,34,19,0,360,958,0,19,17,219,0,0,0,50,36,0,28,0,0,0,0,18,0,80,0,109,20,32,44,0,80,0,56,0,875,0,18,0
2012-01-01,0,430,655,19,102,142,165,0,67,26,0,327,929,0,17,34,271,0,0,0,63,24,0,34,0,0,0,0,34,0,108,0,98,0,40,196,38,108,0,286,0,1050,0,23,20
2012-02-01,0,550,673,0,70,180,218,0,84,23,0,240,729,0,45,28,255,0,0,0,62,25,0,17,0,0,0,0,47,0,152,0,133,15,30,435,13,152,0,371,0,1025,17,23,0
2012-03-01,0,440,673,0,77,144,122,0,67,33,0,347,958,0,45,50,209,0,0,0,56,39,17,67,34,0,0,0,50,0,116,0,106,0,50,257,13,116,0,330,15,825,0,17,20
2012-04-01,0,510,610,34,35,172,140,0,167,17,0,307,900,0,59,28,195,0,0,0,69,33,0,29,0,0,0,0,17,0,82,19,133,15,140,92,50,82,0,156,0,900,17,26,0
2012-05-01,0,440,501,34,38,147,165,15,167,16,0,214,743,0,82,34,157,0,0,24,33,46,0,16,17,0,0,0,32,0,113,16,109,0,71,35,25,113,0,56,0,975,0,24,0
2012-06-01,0,500,600,19,39,144,204,15,200,22,0,394,815,0,124,28,222,0,0,25,51,40,25,25,17,0,0,0,67,0,79,0,124,15,50,53,13,79,0,78,0,1175,17,50,0
2012-07-01,0,430,555,16,49,198,240,58,284,16,0,374,1072,0,49,23,128,0,0,33,84,32,17,33,0,0,0,0,27,0,61,0,139,0,105,74,13,61,0,71,0,1175,0,16,27
2012-08-01,0,670,682,43,55,165,186,43,367,16,0,360,1029,18,110,34,130,0,0,0,55,0,33,65,17,0,0,0,25,0,93,0,133,15,55,44,38,93,0,60,15,1213,0,16,34
2012-09-01,0,1000,746,304,43,167,190,43,350,16,0,300,1186,18,66,45,146,0,0,49,55,46,0,27,17,0,0,0,41,0,86,16,142,15,60,61,38,86,0,56,0,975,0,33,27
2012-10-01,0,890,555,210,59,142,193,100,267,24,0,400,1072,0,82,28,187,0,0,15,69,29,29,29,20,15,0,0,44,0,54,46,148,15,99,70,50,54,0,78,15,1200,0,20,20
2012-11-01,15,720,582,149,64,157,161,400,317,20,0,327,1215,0,110,45,228,0,0,30,45,15,15,30,15,15,0,0,30,0,74,31,153,30,85,57,25,74,15,71,58,1238,0,37,34
2012-12-01,0,650,673,170,79,139,190,415,501,30,0,434,1015,45,114,34,209,0,30,15,71,50,15,0,15,15,0,0,15,0,105,22,180,0,96,74,1250,105,0,63,143,1100,0,25,14
2013-01-01,0,560,701,170,68,175,183,358,650,27,0,407,958,27,77,189,200,0,22,27,37,26,13,18,14,0,0,0,31,0,94,22,268,0,68,70,375,94,0,89,86,1250,13,31,14
2013-02-01,0,630,773,134,59,139,179,172,634,22,0,340,986,15,103,145,128,0,15,15,60,29,15,25,23,15,29,15,45,0,144,16,177,15,90,66,113,144,0,60,143,988,0,59,20
2013-03-01,0,510,646,119,70,177,200,315,550,26,0,407,858,21,80,262,163,0,13,40,54,32,13,31,14,32,0,0,31,0,115,28,209,0,72,61,125,115,0,97,186,913,0,31,14
