date,private instagram posts,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a youtube account,how to delete a snapchat account,how to delete a google account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall facebook,how to uninstall gmail,how to uninstall youtube,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on instagram,encrypted phone calls,best private messaging app,google hangouts privacy,whatsapp security settings,how to protect against phishing,delete hangout history,can someone read my text messages from their phone,how to encrypt whatsapp messages,gmail privacy issues,instagram privacy policy,Privacy policy Pokemon Go,Twitter privacy policy,uber privacy policy,Gmail privacy,How to make tweets private,Uber privacy,Youtube Privacy,facebook app privacy policy,twitter privacy policy
2011-01-01,0,0,0,60,10,8,30,66,214,0,242,91,8,0,700,112,269,0,0,28,0,0,127,0,15,0,8,0,15,0,8,0,8,0,0,23,0,286,15,8,542,15,23
2011-02-01,8,0,0,40,16,13,40,44,247,0,234,101,0,0,520,114,253,0,0,35,0,0,154,0,8,0,0,0,13,8,0,0,24,0,0,13,0,229,8,0,501,11,13
2011-03-01,0,0,0,100,24,14,38,45,267,0,292,173,7,0,500,96,311,0,0,33,0,0,214,0,14,0,0,0,7,7,7,0,7,0,0,21,0,236,7,8,484,24,21
2011-04-01,0,0,0,100,0,31,38,57,227,0,259,101,8,0,450,105,258,0,0,54,0,0,174,0,15,0,0,0,15,0,0,0,15,0,0,13,0,243,11,0,467,19,13
2011-05-01,0,0,7,160,18,31,29,27,247,0,309,137,7,0,470,94,237,0,7,65,0,0,134,0,7,0,0,0,7,0,0,0,12,0,0,29,0,286,22,8,409,19,29
2011-06-01,0,0,0,147,22,15,62,37,280,0,367,210,7,0,550,149,253,0,7,48,0,8,220,0,15,0,0,0,7,0,0,0,15,0,0,27,7,258,12,8,484,17,27
2011-07-01,0,0,0,134,11,20,47,57,367,0,509,255,0,0,650,87,253,0,7,47,0,0,207,0,22,0,0,0,7,7,0,0,12,8,0,18,0,236,20,0,417,51,18
2011-08-01,0,0,0,127,17,14,56,42,374,0,417,237,7,0,750,149,385,0,10,75,0,0,274,0,7,0,0,0,7,0,0,0,0,0,0,21,0,229,14,0,484,25,21
2011-09-01,7,0,0,167,9,11,56,55,367,0,542,237,0,0,720,80,274,0,7,57,0,0,254,0,7,7,0,0,7,0,0,0,14,8,0,32,0,236,20,0,709,18,32
2011-10-01,0,0,0,320,9,17,47,48,380,0,467,291,6,0,620,149,300,0,10,52,0,0,254,0,19,6,6,0,6,0,6,0,13,0,0,23,0,236,28,6,717,6,23
2011-11-01,6,0,0,314,0,10,19,60,394,0,492,319,13,0,510,124,316,0,10,44,0,8,140,0,13,6,6,0,0,0,0,0,6,8,0,17,0,250,15,0,667,13,17
2011-12-01,0,0,0,254,17,13,30,42,440,0,476,328,0,0,730,131,306,0,13,61,0,8,240,0,15,0,0,0,6,0,0,0,6,8,0,13,0,250,40,6,642,11,13
2012-01-01,0,0,0,194,12,35,56,58,400,0,451,391,18,0,660,82,279,0,6,99,0,8,274,0,8,0,6,0,8,0,0,0,32,12,0,33,0,386,43,0,792,12,33
2012-02-01,0,0,0,154,24,24,59,60,360,0,334,346,14,0,540,96,295,0,8,104,0,13,287,0,10,0,0,0,10,0,0,0,16,8,0,52,0,622,46,9,834,20,52
2012-03-01,0,0,12,207,21,32,48,63,354,0,359,364,0,0,570,121,332,0,23,68,0,20,294,0,15,6,0,0,11,0,0,0,14,4,0,32,0,515,36,6,809,13,32
2012-04-01,6,0,12,207,24,10,64,48,454,0,384,391,6,0,570,112,279,0,32,82,0,30,307,6,15,6,6,6,8,0,0,0,12,8,0,34,0,336,50,6,550,58,34
2012-05-01,0,0,9,274,14,20,48,35,427,0,384,382,6,0,450,89,258,0,17,63,0,37,374,6,20,0,6,11,11,0,0,0,14,12,0,33,0,250,43,6,484,26,33
2012-06-01,6,0,9,260,6,21,52,58,560,5,442,537,12,0,510,133,300,0,29,85,0,66,400,12,10,6,6,6,8,6,0,0,12,8,0,33,0,236,52,6,434,17,33
2012-07-01,6,0,6,287,11,21,64,53,567,5,434,537,8,0,550,107,374,0,14,55,0,74,360,11,19,0,6,0,17,0,0,6,9,8,0,21,0,229,40,0,600,40,21
2012-08-01,0,0,13,260,17,21,53,64,600,15,567,637,6,0,540,121,374,6,30,37,0,74,240,6,8,11,8,6,8,6,0,0,8,4,0,34,0,243,36,6,525,22,34
2012-09-01,6,0,80,234,13,15,50,61,400,20,509,591,8,0,530,110,432,6,33,63,0,110,247,8,11,6,0,11,8,0,0,0,11,16,0,32,0,293,52,6,517,19,32
2012-10-01,13,0,76,327,13,19,64,67,374,25,400,482,5,0,470,124,379,0,14,60,0,103,400,5,15,8,5,5,10,0,5,0,7,12,0,17,0,222,51,6,625,25,17
2012-11-01,5,0,46,300,5,22,43,46,474,115,384,510,5,0,500,126,379,0,34,78,0,86,480,5,15,10,0,5,5,5,0,5,10,4,0,41,0,279,46,6,650,24,41
2012-12-01,10,0,60,327,19,36,53,50,447,160,451,528,5,0,540,161,385,5,46,87,0,91,194,5,14,15,5,8,8,5,0,5,10,400,0,32,0,265,68,0,667,22,32
2013-01-01,5,0,67,407,12,12,54,59,500,110,550,710,12,0,580,121,348,0,28,64,0,157,167,6,9,14,7,5,5,5,0,0,19,100,0,28,0,272,88,0,600,25,28
2013-02-01,0,0,26,440,22,22,52,84,514,50,484,655,8,0,470,119,364,5,36,45,0,147,127,5,10,0,5,9,8,8,5,5,14,40,0,43,0,336,58,6,634,34,43
