date,privacy policy youtube,youtube private channel,who can see my snapchat story,how to change instagram privacy settings,private twitter account,most private browser,best anonymous browser,how to browse anonymously,search without history,how to delete a youtube account,how to delete a snapchat account,how to delete a instagram account,how to delete a twitter account,government monitoring social media,how to delete pokemongo,how to uninstall facebook,how to uninstall snapchat,how to uninstall instagram,how to unfollow someone on facebook,how to unfollow someone on twitter,how to unfollow someone on snapchat,how to unfollow someone on instagram,how to unfriend someone on facebook,how to unfriend someone on snapchat,how to unfriend someone on instagram,encrypted phone calls,best private messaging app,whatsapp security settings,can someone read my text messages from their phone,google hangouts privacy,gmail privacy issues,Privacy policy Pokemon Go,Twitter privacy policy,Gmail privacy,private instagram posts,How to make tweets private,Uber privacy,facebook app privacy policy,gmail privacy policy,privacy policy uber,how to unfollow on Instagram,remove snapchat friends,how to unfollow on twitter,how to encrypt emails,google hangouts encryption,Encrypt phone calls,how to encrypt whatsapp
2011-01-01,12,75,0,0,43,9,13,25,40,148,0,0,67,6,0,451,0,0,0,23,0,0,110,0,0,12,0,0,6,0,10,0,10,210,0,8,0,12,26,0,0,0,116,17,0,0,0
2011-02-01,16,91,0,0,39,10,9,26,22,179,0,0,67,6,0,384,0,0,0,14,0,0,101,0,0,6,0,0,0,0,10,0,16,165,0,6,0,6,18,0,0,0,122,24,0,6,0
2011-03-01,5,85,0,0,86,11,11,31,24,222,0,0,114,5,0,417,0,0,0,31,0,0,146,0,0,5,0,0,5,0,5,0,16,205,0,5,0,13,11,0,7,0,137,7,0,11,0
2011-04-01,14,64,0,0,86,6,23,25,35,169,0,0,94,9,0,367,0,0,9,39,0,0,155,0,0,12,0,0,0,0,9,0,16,175,0,9,0,8,21,0,0,0,161,23,0,9,6
2011-05-01,17,94,0,0,110,11,13,24,31,174,0,0,107,7,0,392,0,0,0,40,0,0,110,0,0,11,0,0,0,0,14,0,24,195,6,17,0,13,15,0,0,0,200,15,0,5,6
2011-06-01,15,112,0,0,153,6,11,40,26,279,0,0,127,6,0,409,0,0,9,38,0,6,160,0,0,0,6,0,0,0,9,0,17,160,0,17,6,17,9,0,7,0,207,13,0,8,0
2011-07-01,20,103,0,0,115,11,7,41,49,337,0,0,200,0,0,559,0,6,12,30,0,0,178,0,0,13,6,0,0,6,9,0,9,175,0,11,6,38,7,0,7,0,185,9,0,7,6
2011-08-01,16,146,0,0,110,7,11,33,25,322,0,0,154,5,0,634,0,5,7,48,0,0,205,0,0,8,0,0,0,0,5,0,19,175,0,11,6,14,11,0,0,0,197,8,0,5,0
2011-09-01,17,110,0,0,105,10,27,29,45,274,0,5,140,0,0,617,0,5,15,34,0,0,210,0,0,0,5,0,0,0,10,0,22,220,5,9,0,10,22,0,7,0,161,10,0,5,0
2011-10-01,18,107,0,0,205,10,12,37,28,237,0,9,214,0,0,451,0,5,10,52,0,0,160,0,0,17,0,0,5,5,12,0,18,185,0,18,6,10,16,0,7,0,207,16,0,34,0
2011-11-01,21,128,0,0,272,5,15,15,36,306,0,5,200,10,0,417,0,7,5,31,0,10,105,0,0,13,0,0,0,5,5,0,11,190,5,10,6,10,24,0,7,0,176,13,0,7,6
