date,Gmail privacy settings,gmail privacy policy
2011-01-01,5,14
2011-02-01,14,11
2011-03-01,17,12
2011-04-01,13,11
2011-05-01,15,5
2011-06-01,11,11
2011-07-01,17,16
2011-08-01,17,15
2011-09-01,11,21
2011-10-01,11,21
2011-11-01,18,21
2011-12-01,17,14
2012-01-01,21,43
2012-02-01,36,100
2012-03-01,53,60
2012-04-01,23,23
2012-05-01,22,11
2012-06-01,16,14
2012-07-01,14,8
2012-08-01,15,19
2012-09-01,19,13
2012-10-01,24,19
2012-11-01,20,18
2012-12-01,29,9
2013-01-01,13,9
2013-02-01,20,21
2013-03-01,24,16
2013-04-01,18,14
2013-05-01,17,15
2013-06-01,28,17
2013-07-01,22,11
2013-08-01,24,33
2013-09-01,24,8
2013-10-01,28,26
2013-11-01,29,20
2013-12-01,32,16
2014-01-01,29,22
2014-02-01,26,17
2014-03-01,31,17
2014-04-01,25,26
2014-05-01,26,26
2014-06-01,32,12
2014-07-01,25,12
2014-08-01,17,18
2014-09-01,23,15
2014-10-01,28,25
2014-11-01,23,16
2014-12-01,30,20
2015-01-01,31,16
2015-02-01,25,14
2015-03-01,26,14
2015-04-01,16,18
2015-05-01,16,15
2015-06-01,32,21
2015-07-01,32,18
2015-08-01,36,20
2015-09-01,25,23
2015-10-01,31,12
2015-11-01,28,14
2015-12-01,24,12
2016-01-01,22,16
2016-02-01,25,15
2016-03-01,19,19
2016-04-01,20,14
2016-05-01,23,17
2016-06-01,14,17
2016-07-01,32,20
2016-08-01,25,20
2016-09-01,20,21
2016-10-01,15,20
2016-11-01,22,21
2016-12-01,15,21
2017-01-01,21,17
