date,change fb privacy
2011-01-01,10
2011-02-01,21
2011-03-01,10
2011-04-01,10
2011-05-01,39
2011-06-01,27
2011-07-01,10
2011-08-01,15
2011-09-01,57
2011-10-01,31
2011-11-01,34
2011-12-01,42
2012-01-01,34
2012-02-01,38
2012-03-01,31
2012-04-01,21
2012-05-01,20
2012-06-01,35
2012-07-01,43
2012-08-01,45
2012-09-01,70
2012-10-01,54
2012-11-01,32
2012-12-01,57
2013-01-01,58
2013-02-01,39
2013-03-01,47
2013-04-01,27
2013-05-01,32
2013-06-01,50
2013-07-01,45
2013-08-01,44
2013-09-01,56
2013-10-01,47
2013-11-01,67
2013-12-01,42
2014-01-01,47
2014-02-01,29
2014-03-01,28
2014-04-01,49
2014-05-01,61
2014-06-01,43
2014-07-01,58
2014-08-01,58
2014-09-01,68
2014-10-01,60
2014-11-01,37
2014-12-01,66
2015-01-01,74
2015-02-01,50
2015-03-01,66
2015-04-01,68
2015-05-01,54
2015-06-01,80
2015-07-01,76
2015-08-01,66
2015-09-01,91
2015-10-01,43
2015-11-01,54
2015-12-01,45
2016-01-01,59
2016-02-01,56
2016-03-01,70
2016-04-01,71
2016-05-01,58
2016-06-01,92
2016-07-01,77
2016-08-01,74
2016-09-01,76
2016-10-01,100
2016-11-01,65
2016-12-01,83
2017-01-01,82
