date,google hangouts privacy
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,0
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,0
2011-11-01,28
2011-12-01,34
2012-01-01,39
2012-02-01,44
2012-03-01,50
2012-04-01,26
2012-05-01,32
2012-06-01,38
2012-07-01,49
2012-08-01,61
2012-09-01,22
2012-10-01,22
2012-11-01,22
2012-12-01,23
2013-01-01,22
2013-02-01,22
2013-03-01,20
2013-04-01,20
2013-05-01,98
2013-06-01,88
2013-07-01,59
2013-08-01,33
2013-09-01,19
2013-10-01,37
2013-11-01,56
2013-12-01,56
2014-01-01,47
2014-02-01,70
2014-03-01,74
2014-04-01,100
2014-05-01,66
2014-06-01,40
2014-07-01,71
2014-08-01,71
2014-09-01,75
2014-10-01,47
2014-11-01,67
2014-12-01,59
2015-01-01,56
2015-02-01,60
2015-03-01,49
2015-04-01,45
2015-05-01,27
2015-06-01,89
2015-07-01,38
2015-08-01,38
2015-09-01,69
2015-10-01,40
2015-11-01,46
2015-12-01,24
2016-01-01,59
2016-02-01,89
2016-03-01,69
2016-04-01,29
2016-05-01,18
2016-06-01,29
2016-07-01,48
2016-08-01,28
2016-09-01,66
2016-10-01,58
2016-11-01,50
2016-12-01,45
2017-01-01,51
