date,create a gmail account for kids
2011-01-01,15
2011-02-01,14
2011-03-01,14
2011-04-01,14
2011-05-01,14
2011-06-01,15
2011-07-01,44
2011-08-01,14
2011-09-01,40
2011-10-01,19
2011-11-01,32
2011-12-01,44
2012-01-01,29
2012-02-01,49
2012-03-01,74
2012-04-01,78
2012-05-01,100
2012-06-01,69
2012-07-01,80
2012-08-01,34
2012-09-01,33
2012-10-01,30
2012-11-01,31
2012-12-01,51
2013-01-01,9
2013-02-01,36
2013-03-01,54
2013-04-01,33
2013-05-01,23
2013-06-01,33
2013-07-01,27
2013-08-01,9
2013-09-01,9
2013-10-01,42
2013-11-01,13
2013-12-01,30
2014-01-01,28
2014-02-01,17
2014-03-01,27
2014-04-01,24
2014-05-01,20
2014-06-01,14
2014-07-01,9
2014-08-01,18
2014-09-01,21
2014-10-01,16
2014-11-01,25
2014-12-01,20
2015-01-01,34
2015-02-01,25
2015-03-01,15
2015-04-01,8
2015-05-01,11
2015-06-01,11
2015-07-01,30
2015-08-01,15
2015-09-01,11
2015-10-01,17
2015-11-01,7
2015-12-01,18
2016-01-01,27
2016-02-01,13
2016-03-01,13
2016-04-01,16
2016-05-01,16
2016-06-01,16
2016-07-01,10
2016-08-01,19
2016-09-01,6
2016-10-01,9
2016-11-01,12
2016-12-01,22
2017-01-01,15
