date,How to unfollow someone on instagram,how to unfollow on Instagram
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,1
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,1
2011-07-01,0,1
2011-08-01,0,1
2011-09-01,0,1
2011-10-01,1,2
2011-11-01,2,2
2011-12-01,1,3
2012-01-01,1,3
2012-02-01,2,2
2012-03-01,2,5
2012-04-01,3,13
2012-05-01,4,21
2012-06-01,7,22
2012-07-01,9,34
2012-08-01,8,33
2012-09-01,11,35
2012-10-01,13,36
2012-11-01,11,35
2012-12-01,12,44
2013-01-01,18,47
2013-02-01,13,51
2013-03-01,17,57
2013-04-01,18,57
2013-05-01,16,49
2013-06-01,19,46
2013-07-01,21,67
2013-08-01,23,61
2013-09-01,16,52
2013-10-01,14,43
2013-11-01,18,46
2013-12-01,20,51
2014-01-01,20,58
2014-02-01,13,48
2014-03-01,15,48
2014-04-01,23,59
2014-05-01,23,54
2014-06-01,21,59
2014-07-01,23,72
2014-08-01,21,69
2014-09-01,19,57
2014-10-01,17,60
2014-11-01,17,61
2014-12-01,23,75
2015-01-01,20,70
2015-02-01,20,61
2015-03-01,18,57
2015-04-01,20,64
2015-05-01,21,53
2015-06-01,22,69
2015-07-01,20,74
2015-08-01,19,70
2015-09-01,20,65
2015-10-01,19,59
2015-11-01,18,69
2015-12-01,21,72
2016-01-01,26,75
2016-02-01,25,73
2016-03-01,20,73
2016-04-01,21,77
2016-05-01,21,72
2016-06-01,27,91
2016-07-01,30,100
2016-08-01,26,91
2016-09-01,23,82
2016-10-01,23,87
2016-11-01,29,84
2016-12-01,23,85
2017-01-01,25,97
