date,how to unfollow on Instagram
2011-01-01,0
2011-02-01,0
2011-03-01,1
2011-04-01,0
2011-05-01,0
2011-06-01,1
2011-07-01,1
2011-08-01,1
2011-09-01,1
2011-10-01,2
2011-11-01,2
2011-12-01,3
2012-01-01,3
2012-02-01,2
2012-03-01,5
2012-04-01,13
2012-05-01,21
2012-06-01,22
2012-07-01,34
2012-08-01,33
2012-09-01,35
2012-10-01,36
2012-11-01,35
2012-12-01,44
2013-01-01,47
2013-02-01,51
2013-03-01,57
2013-04-01,57
2013-05-01,49
2013-06-01,46
2013-07-01,67
2013-08-01,61
2013-09-01,52
2013-10-01,43
2013-11-01,46
2013-12-01,51
2014-01-01,58
2014-02-01,48
2014-03-01,48
2014-04-01,59
2014-05-01,54
2014-06-01,59
2014-07-01,72
2014-08-01,69
2014-09-01,57
2014-10-01,60
2014-11-01,61
2014-12-01,75
2015-01-01,70
2015-02-01,61
2015-03-01,57
2015-04-01,64
2015-05-01,53
2015-06-01,69
2015-07-01,74
2015-08-01,70
2015-09-01,65
2015-10-01,59
2015-11-01,69
2015-12-01,72
2016-01-01,75
2016-02-01,73
2016-03-01,73
2016-04-01,77
2016-05-01,72
2016-06-01,91
2016-07-01,100
2016-08-01,91
2016-09-01,82
2016-10-01,87
2016-11-01,84
2016-12-01,85
2017-01-01,97
