date,instagram unfriend,how to unfollow on Instagram
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,1
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,1,1
2011-07-01,0,1
2011-08-01,0,1
2011-09-01,0,1
2011-10-01,1,2
2011-11-01,1,2
2011-12-01,2,3
2012-01-01,0,3
2012-02-01,0,2
2012-03-01,1,5
2012-04-01,1,13
2012-05-01,2,21
2012-06-01,2,22
2012-07-01,2,34
2012-08-01,2,33
2012-09-01,3,35
2012-10-01,4,36
2012-11-01,3,35
2012-12-01,4,44
2013-01-01,5,47
2013-02-01,5,51
2013-03-01,4,57
2013-04-01,6,57
2013-05-01,5,49
2013-06-01,6,46
2013-07-01,6,67
2013-08-01,9,61
2013-09-01,5,52
2013-10-01,7,43
2013-11-01,5,46
2013-12-01,5,51
2014-01-01,7,58
2014-02-01,5,48
2014-03-01,5,48
2014-04-01,8,59
2014-05-01,5,54
2014-06-01,8,59
2014-07-01,7,72
2014-08-01,7,69
2014-09-01,8,57
2014-10-01,6,60
2014-11-01,6,61
2014-12-01,7,75
2015-01-01,10,70
2015-02-01,8,61
2015-03-01,5,57
2015-04-01,9,64
2015-05-01,10,53
2015-06-01,7,69
2015-07-01,8,74
2015-08-01,8,70
2015-09-01,8,65
2015-10-01,8,59
2015-11-01,7,69
2015-12-01,16,72
2016-01-01,20,75
2016-02-01,16,73
2016-03-01,13,73
2016-04-01,14,77
2016-05-01,15,72
2016-06-01,13,91
2016-07-01,14,100
2016-08-01,13,91
2016-09-01,12,82
2016-10-01,9,87
2016-11-01,11,84
2016-12-01,11,85
2017-01-01,10,97
