date,Unfollow friend Facebook
2011-01-01,5
2011-02-01,0
2011-03-01,0
2011-04-01,5
2011-05-01,5
2011-06-01,5
2011-07-01,5
2011-08-01,5
2011-09-01,4
2011-10-01,6
2011-11-01,8
2011-12-01,8
2012-01-01,10
2012-02-01,8
2012-03-01,7
2012-04-01,4
2012-05-01,0
2012-06-01,11
2012-07-01,7
2012-08-01,6
2012-09-01,9
2012-10-01,11
2012-11-01,9
2012-12-01,8
2013-01-01,26
2013-02-01,22
2013-03-01,21
2013-04-01,25
2013-05-01,21
2013-06-01,23
2013-07-01,19
2013-08-01,17
2013-09-01,15
2013-10-01,17
2013-11-01,14
2013-12-01,48
2014-01-01,72
2014-02-01,82
2014-03-01,92
2014-04-01,71
2014-05-01,80
2014-06-01,64
2014-07-01,94
2014-08-01,93
2014-09-01,87
2014-10-01,74
2014-11-01,66
2014-12-01,88
2015-01-01,83
2015-02-01,73
2015-03-01,50
2015-04-01,72
2015-05-01,74
2015-06-01,79
2015-07-01,78
2015-08-01,79
2015-09-01,71
2015-10-01,76
2015-11-01,67
2015-12-01,70
2016-01-01,63
2016-02-01,67
2016-03-01,70
2016-04-01,54
2016-05-01,66
2016-06-01,100
2016-07-01,74
2016-08-01,67
2016-09-01,43
2016-10-01,64
2016-11-01,80
2016-12-01,69
2017-01-01,91
