date,how do I unfollow someone on Facebook
2011-01-01,0
2011-02-01,0
2011-03-01,0
2011-04-01,13
2011-05-01,0
2011-06-01,12
2011-07-01,0
2011-08-01,12
2011-09-01,0
2011-10-01,0
2011-11-01,11
2011-12-01,10
2012-01-01,20
2012-02-01,15
2012-03-01,19
2012-04-01,0
2012-05-01,0
2012-06-01,19
2012-07-01,9
2012-08-01,9
2012-09-01,19
2012-10-01,8
2012-11-01,9
2012-12-01,9
2013-01-01,23
2013-02-01,34
2013-03-01,38
2013-04-01,62
2013-05-01,30
2013-06-01,35
2013-07-01,45
2013-08-01,71
2013-09-01,33
2013-10-01,31
2013-11-01,25
2013-12-01,71
2014-01-01,100
2014-02-01,80
2014-03-01,62
2014-04-01,88
2014-05-01,62
2014-06-01,83
2014-07-01,63
2014-08-01,81
2014-09-01,57
2014-10-01,47
2014-11-01,48
2014-12-01,65
2015-01-01,64
2015-02-01,58
2015-03-01,85
2015-04-01,74
2015-05-01,54
2015-06-01,58
2015-07-01,66
2015-08-01,50
2015-09-01,64
2015-10-01,58
2015-11-01,41
2015-12-01,39
2016-01-01,62
2016-02-01,37
2016-03-01,48
2016-04-01,41
2016-05-01,40
2016-06-01,74
2016-07-01,75
2016-08-01,59
2016-09-01,59
2016-10-01,49
2016-11-01,72
2016-12-01,75
2017-01-01,70
