date,how to unfollow in Facebook
2011-01-01,7
2011-02-01,0
2011-03-01,7
2011-04-01,0
2011-05-01,7
2011-06-01,7
2011-07-01,0
2011-08-01,7
2011-09-01,6
2011-10-01,6
2011-11-01,12
2011-12-01,6
2012-01-01,9
2012-02-01,15
2012-03-01,9
2012-04-01,17
2012-05-01,9
2012-06-01,15
2012-07-01,27
2012-08-01,22
2012-09-01,16
2012-10-01,7
2012-11-01,13
2012-12-01,20
2013-01-01,24
2013-02-01,26
2013-03-01,28
2013-04-01,40
2013-05-01,50
2013-06-01,38
2013-07-01,41
2013-08-01,32
2013-09-01,42
2013-10-01,59
2013-11-01,37
2013-12-01,100
2014-01-01,59
2014-02-01,57
2014-03-01,52
2014-04-01,61
2014-05-01,66
2014-06-01,52
2014-07-01,65
2014-08-01,48
2014-09-01,54
2014-10-01,53
2014-11-01,49
2014-12-01,47
2015-01-01,52
2015-02-01,37
2015-03-01,55
2015-04-01,57
2015-05-01,60
2015-06-01,61
2015-07-01,55
2015-08-01,56
2015-09-01,43
2015-10-01,57
2015-11-01,48
2015-12-01,41
2016-01-01,49
2016-02-01,42
2016-03-01,45
2016-04-01,41
2016-05-01,43
2016-06-01,49
2016-07-01,50
2016-08-01,43
2016-09-01,44
2016-10-01,44
2016-11-01,58
2016-12-01,47
2017-01-01,71
