date,unfollow facebook
2011-01-01,7
2011-02-01,5
2011-03-01,7
2011-04-01,10
2011-05-01,8
2011-06-01,9
2011-07-01,10
2011-08-01,10
2011-09-01,10
2011-10-01,14
2011-11-01,13
2011-12-01,16
2012-01-01,19
2012-02-01,19
2012-03-01,19
2012-04-01,21
2012-05-01,22
2012-06-01,23
2012-07-01,26
2012-08-01,27
2012-09-01,28
2012-10-01,29
2012-11-01,30
2012-12-01,35
2013-01-01,46
2013-02-01,46
2013-03-01,50
2013-04-01,55
2013-05-01,56
2013-06-01,52
2013-07-01,55
2013-08-01,55
2013-09-01,49
2013-10-01,45
2013-11-01,47
2013-12-01,84
2014-01-01,91
2014-02-01,92
2014-03-01,94
2014-04-01,98
2014-05-01,95
2014-06-01,89
2014-07-01,100
2014-08-01,98
2014-09-01,93
2014-10-01,82
2014-11-01,78
2014-12-01,84
2015-01-01,89
2015-02-01,77
2015-03-01,72
2015-04-01,76
2015-05-01,77
2015-06-01,88
2015-07-01,94
2015-08-01,79
2015-09-01,72
2015-10-01,74
2015-11-01,75
2015-12-01,67
2016-01-01,76
2016-02-01,65
2016-03-01,66
2016-04-01,65
2016-05-01,66
2016-06-01,73
2016-07-01,78
2016-08-01,72
2016-09-01,68
2016-10-01,71
2016-11-01,89
2016-12-01,74
2017-01-01,98
