date,remove someone from my facebook
2011-01-01,60
2011-02-01,26
2011-03-01,38
2011-04-01,35
2011-05-01,24
2011-06-01,61
2011-07-01,42
2011-08-01,48
2011-09-01,58
2011-10-01,50
2011-11-01,55
2011-12-01,67
2012-01-01,81
2012-02-01,67
2012-03-01,42
2012-04-01,59
2012-05-01,59
2012-06-01,87
2012-07-01,75
2012-08-01,97
2012-09-01,78
2012-10-01,73
2012-11-01,67
2012-12-01,63
2013-01-01,82
2013-02-01,74
2013-03-01,71
2013-04-01,84
2013-05-01,94
2013-06-01,48
2013-07-01,92
2013-08-01,92
2013-09-01,86
2013-10-01,88
2013-11-01,92
2013-12-01,95
2014-01-01,89
2014-02-01,68
2014-03-01,61
2014-04-01,55
2014-05-01,59
2014-06-01,86
2014-07-01,86
2014-08-01,86
2014-09-01,75
2014-10-01,70
2014-11-01,82
2014-12-01,76
2015-01-01,66
2015-02-01,85
2015-03-01,73
2015-04-01,57
2015-05-01,61
2015-06-01,58
2015-07-01,93
2015-08-01,72
2015-09-01,62
2015-10-01,77
2015-11-01,91
2015-12-01,71
2016-01-01,91
2016-02-01,81
2016-03-01,83
2016-04-01,72
2016-05-01,68
2016-06-01,94
2016-07-01,87
2016-08-01,97
2016-09-01,69
2016-10-01,87
2016-11-01,92
2016-12-01,100
2017-01-01,80
