date,How to encrypt text messages,how to encrypt text messages
2011-01-01,46,46
2011-02-01,36,36
2011-03-01,32,32
2011-04-01,35,35
2011-05-01,33,33
2011-06-01,34,34
2011-07-01,100,100
2011-08-01,84,84
2011-09-01,62,62
2011-10-01,58,58
2011-11-01,59,59
2011-12-01,58,58
2012-01-01,26,26
2012-02-01,55,55
2012-03-01,0,0
2012-04-01,36,36
2012-05-01,25,25
2012-06-01,44,44
2012-07-01,26,26
2012-08-01,25,25
2012-09-01,38,38
2012-10-01,31,31
2012-11-01,23,23
2012-12-01,23,23
2013-01-01,32,32
2013-02-01,54,54
2013-03-01,35,35
2013-04-01,63,63
2013-05-01,20,20
2013-06-01,63,63
2013-07-01,42,42
2013-08-01,41,41
2013-09-01,0,0
2013-10-01,39,39
2013-11-01,39,39
2013-12-01,52,52
2014-01-01,24,24
2014-02-01,60,60
2014-03-01,30,30
2014-04-01,31,31
2014-05-01,37,37
2014-06-01,35,35
2014-07-01,54,54
2014-08-01,30,30
2014-09-01,39,39
2014-10-01,80,80
2014-11-01,50,50
2014-12-01,56,56
2015-01-01,35,35
2015-02-01,56,56
2015-03-01,74,74
2015-04-01,47,47
2015-05-01,34,34
2015-06-01,29,29
2015-07-01,43,43
2015-08-01,23,23
2015-09-01,50,50
2015-10-01,42,42
2015-11-01,38,38
2015-12-01,38,38
2016-01-01,62,62
2016-02-01,31,31
2016-03-01,43,43
2016-04-01,25,25
2016-05-01,48,48
2016-06-01,35,35
2016-07-01,38,38
2016-08-01,29,29
2016-09-01,49,49
2016-10-01,56,56
2016-11-01,56,56
2016-12-01,93,93
2017-01-01,57,57
