date,ENCRYPT TEXT MESSAGES,how to encrypt text messages
2011-01-01,30,27
2011-02-01,21,21
2011-03-01,29,19
2011-04-01,41,20
2011-05-01,19,19
2011-06-01,52,20
2011-07-01,39,58
2011-08-01,28,49
2011-09-01,54,36
2011-10-01,45,34
2011-11-01,63,34
2011-12-01,62,34
2012-01-01,46,15
2012-02-01,43,32
2012-03-01,20,0
2012-04-01,32,21
2012-05-01,34,15
2012-06-01,41,25
2012-07-01,95,15
2012-08-01,35,15
2012-09-01,49,22
2012-10-01,40,18
2012-11-01,36,14
2012-12-01,36,14
2013-01-01,37,19
2013-02-01,50,32
2013-03-01,53,20
2013-04-01,45,37
2013-05-01,56,12
2013-06-01,53,37
2013-07-01,48,24
2013-08-01,48,24
2013-09-01,35,0
2013-10-01,30,22
2013-11-01,49,23
2013-12-01,34,30
2014-01-01,46,14
2014-02-01,62,35
2014-03-01,26,17
2014-04-01,83,18
2014-05-01,62,22
2014-06-01,40,20
2014-07-01,55,31
2014-08-01,47,18
2014-09-01,68,23
2014-10-01,100,46
2014-11-01,37,29
2014-12-01,40,32
2015-01-01,41,20
2015-02-01,55,33
2015-03-01,53,43
2015-04-01,45,27
2015-05-01,43,20
2015-06-01,58,17
2015-07-01,35,25
2015-08-01,26,13
2015-09-01,49,29
2015-10-01,46,25
2015-11-01,63,22
2015-12-01,45,22
2016-01-01,79,36
2016-02-01,42,18
2016-03-01,59,25
2016-04-01,47,15
2016-05-01,73,28
2016-06-01,38,20
2016-07-01,62,22
2016-08-01,49,17
2016-09-01,63,28
2016-10-01,73,33
2016-11-01,66,33
2016-12-01,66,55
2017-01-01,77,33
