date,google hangouts privacy,how to protect against google hangout monitoring
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,37,0
2011-08-01,32,0
2011-09-01,32,0
2011-10-01,32,0
2011-11-01,32,0
2011-12-01,29,0
2012-01-01,29,0
2012-02-01,57,0
2012-03-01,85,0
2012-04-01,30,0
2012-05-01,28,0
2012-06-01,57,0
2012-07-01,28,0
2012-08-01,28,0
2012-09-01,25,0
2012-10-01,25,0
2012-11-01,25,0
2012-12-01,26,0
2013-01-01,23,0
2013-02-01,52,0
2013-03-01,23,0
2013-04-01,35,0
2013-05-01,90,0
2013-06-01,46,0
2013-07-01,69,0
2013-08-01,68,0
2013-09-01,22,0
2013-10-01,21,0
2013-11-01,100,0
2013-12-01,50,0
2014-01-01,50,0
2014-02-01,65,0
2014-03-01,72,0
2014-04-01,68,0
2014-05-01,75,0
2014-06-01,69,0
2014-07-01,74,0
2014-08-01,90,0
2014-09-01,57,0
2014-10-01,47,0
2014-11-01,31,0
2014-12-01,75,0
2015-01-01,64,0
2015-02-01,69,0
2015-03-01,44,0
2015-04-01,65,0
2015-05-01,38,0
2015-06-01,64,0
2015-07-01,50,0
2015-08-01,65,0
2015-09-01,67,0
2015-10-01,76,0
2015-11-01,71,0
2015-12-01,42,0
2016-01-01,34,0
2016-02-01,63,0
2016-03-01,58,0
2016-04-01,44,0
2016-05-01,32,0
2016-06-01,25,0
2016-07-01,50,0
2016-08-01,38,0
2016-09-01,65,0
2016-10-01,77,0
2016-11-01,52,0
2016-12-01,72,0
2017-01-01,58,0
