date,gmail age requirement,google hangouts privacy
2011-01-01,19,0
2011-02-01,21,0
2011-03-01,41,0
2011-04-01,50,0
2011-05-01,23,0
2011-06-01,31,0
2011-07-01,100,0
2011-08-01,63,0
2011-09-01,72,0
2011-10-01,54,0
2011-11-01,31,6
2011-12-01,87,6
2012-01-01,34,6
2012-02-01,31,9
2012-03-01,35,11
2012-04-01,27,6
2012-05-01,32,5
2012-06-01,28,6
2012-07-01,20,6
2012-08-01,38,11
2012-09-01,47,10
2012-10-01,36,10
2012-11-01,41,5
2012-12-01,58,5
2013-01-01,42,5
2013-02-01,41,5
2013-03-01,46,5
2013-04-01,40,7
2013-05-01,36,10
2013-06-01,32,14
2013-07-01,38,14
2013-08-01,37,11
2013-09-01,32,4
2013-10-01,48,8
2013-11-01,40,11
2013-12-01,86,11
2014-01-01,39,11
2014-02-01,27,13
2014-03-01,28,24
2014-04-01,37,12
2014-05-01,27,18
2014-06-01,44,11
2014-07-01,36,13
2014-08-01,43,12
2014-09-01,38,17
2014-10-01,26,15
2014-11-01,44,4
2014-12-01,63,9
2015-01-01,43,16
2015-02-01,24,11
2015-03-01,34,10
2015-04-01,31,10
2015-05-01,35,17
2015-06-01,30,9
2015-07-01,38,14
2015-08-01,45,12
2015-09-01,26,17
2015-10-01,22,11
2015-11-01,32,14
2015-12-01,41,7
2016-01-01,32,10
2016-02-01,24,11
2016-03-01,21,13
2016-04-01,23,7
2016-05-01,25,8
2016-06-01,28,5
2016-07-01,41,10
2016-08-01,50,8
2016-09-01,25,12
2016-10-01,17,11
2016-11-01,27,9
2016-12-01,46,12
2017-01-01,27,7
