date,search hangouts android,google hangouts privacy
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,25,25
2011-12-01,23,23
2012-01-01,23,23
2012-02-01,23,34
2012-03-01,0,45
2012-04-01,0,24
2012-05-01,0,22
2012-06-01,0,23
2012-07-01,0,23
2012-08-01,0,45
2012-09-01,0,40
2012-10-01,0,40
2012-11-01,20,20
2012-12-01,0,20
2013-01-01,0,18
2013-02-01,0,21
2013-03-01,0,18
2013-04-01,0,28
2013-05-01,26,42
2013-06-01,24,56
2013-07-01,18,54
2013-08-01,24,42
2013-09-01,35,18
2013-10-01,33,34
2013-11-01,95,46
2013-12-01,78,46
2014-01-01,42,43
2014-02-01,45,53
2014-03-01,46,95
2014-04-01,74,49
2014-05-01,59,74
2014-06-01,65,43
2014-07-01,69,53
2014-08-01,87,47
2014-09-01,88,68
2014-10-01,79,59
2014-11-01,70,16
2014-12-01,71,38
2015-01-01,80,66
2015-02-01,43,44
2015-03-01,59,40
2015-04-01,100,39
2015-05-01,78,70
2015-06-01,94,36
2015-07-01,54,55
2015-08-01,82,50
2015-09-01,76,68
2015-10-01,85,46
2015-11-01,74,57
2015-12-01,70,29
2016-01-01,80,41
2016-02-01,57,45
2016-03-01,45,51
2016-04-01,43,26
2016-05-01,70,32
2016-06-01,56,20
2016-07-01,51,40
2016-08-01,44,32
2016-09-01,38,47
2016-10-01,59,45
2016-11-01,44,37
2016-12-01,60,50
2017-01-01,40,27
