date,find friends location without them knowing,google hangouts privacy
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,21,0
2011-04-01,21,0
2011-05-01,21,0
2011-06-01,0,0
2011-07-01,0,0
2011-08-01,0,0
2011-09-01,0,0
2011-10-01,0,0
2011-11-01,0,19
2011-12-01,0,17
2012-01-01,0,17
2012-02-01,0,26
2012-03-01,0,34
2012-04-01,0,18
2012-05-01,0,17
2012-06-01,17,17
2012-07-01,17,17
2012-08-01,17,34
2012-09-01,33,30
2012-10-01,14,30
2012-11-01,14,15
2012-12-01,14,15
2013-01-01,14,14
2013-02-01,16,15
2013-03-01,18,14
2013-04-01,20,21
2013-05-01,20,32
2013-06-01,21,42
2013-07-01,13,41
2013-08-01,26,32
2013-09-01,12,13
2013-10-01,12,25
2013-11-01,13,34
2013-12-01,25,34
2014-01-01,12,32
2014-02-01,13,39
2014-03-01,23,71
2014-04-01,20,37
2014-05-01,18,55
2014-06-01,20,32
2014-07-01,13,40
2014-08-01,13,36
2014-09-01,13,51
2014-10-01,24,44
2014-11-01,12,12
2014-12-01,36,29
2015-01-01,15,50
2015-02-01,20,33
2015-03-01,22,30
2015-04-01,15,29
2015-05-01,18,53
2015-06-01,28,27
2015-07-01,22,41
2015-08-01,22,37
2015-09-01,22,51
2015-10-01,20,35
2015-11-01,31,43
2015-12-01,21,22
2016-01-01,20,31
2016-02-01,13,34
2016-03-01,43,38
2016-04-01,48,20
2016-05-01,41,24
2016-06-01,32,15
2016-07-01,39,30
2016-08-01,25,24
2016-09-01,32,36
2016-10-01,54,34
2016-11-01,100,28
2016-12-01,76,37
2017-01-01,77,20
