date,google plus location sharing,google hangouts privacy
2011-01-01,0,0
2011-02-01,0,0
2011-03-01,0,0
2011-04-01,0,0
2011-05-01,0,0
2011-06-01,0,0
2011-07-01,5,0
2011-08-01,5,0
2011-09-01,5,0
2011-10-01,0,0
2011-11-01,0,5
2011-12-01,0,4
2012-01-01,0,4
2012-02-01,0,7
2012-03-01,4,9
2012-04-01,4,4
2012-05-01,4,4
2012-06-01,4,4
2012-07-01,4,4
2012-08-01,4,9
2012-09-01,4,8
2012-10-01,4,8
2012-11-01,3,4
2012-12-01,3,4
2013-01-01,3,4
2013-02-01,4,4
2013-03-01,3,3
2013-04-01,4,5
2013-05-01,5,8
2013-06-01,9,11
2013-07-01,69,10
2013-08-01,100,8
2013-09-01,55,3
2013-10-01,36,6
2013-11-01,35,9
2013-12-01,23,9
2014-01-01,17,8
2014-02-01,21,10
2014-03-01,26,18
2014-04-01,22,9
2014-05-01,18,14
2014-06-01,22,8
2014-07-01,18,10
2014-08-01,20,9
2014-09-01,16,13
2014-10-01,12,11
2014-11-01,14,3
2014-12-01,22,7
2015-01-01,18,13
2015-02-01,19,8
2015-03-01,22,8
2015-04-01,18,7
2015-05-01,19,13
2015-06-01,14,7
2015-07-01,12,11
2015-08-01,17,9
2015-09-01,14,13
2015-10-01,17,9
2015-11-01,30,11
2015-12-01,22,5
2016-01-01,19,8
2016-02-01,24,9
2016-03-01,20,10
2016-04-01,17,5
2016-05-01,20,6
2016-06-01,9,4
2016-07-01,19,8
2016-08-01,21,6
2016-09-01,17,9
2016-10-01,15,9
2016-11-01,15,7
2016-12-01,22,9
2017-01-01,8,5
