date,hack gmail account online tool,google hangouts privacy
2011-01-01,39,0
2011-02-01,41,0
2011-03-01,18,0
2011-04-01,20,0
2011-05-01,18,0
2011-06-01,32,0
2011-07-01,19,0
2011-08-01,41,0
2011-09-01,23,0
2011-10-01,38,0
2011-11-01,25,17
2011-12-01,48,15
2012-01-01,25,15
2012-02-01,15,23
2012-03-01,14,30
2012-04-01,23,15
2012-05-01,24,14
2012-06-01,15,15
2012-07-01,44,15
2012-08-01,29,30
2012-09-01,14,26
2012-10-01,13,26
2012-11-01,13,13
2012-12-01,13,13
2013-01-01,12,12
2013-02-01,13,13
2013-03-01,23,12
2013-04-01,12,18
2013-05-01,12,28
2013-06-01,12,37
2013-07-01,27,36
2013-08-01,29,28
2013-09-01,23,12
2013-10-01,11,22
2013-11-01,11,30
2013-12-01,17,30
2014-01-01,21,28
2014-02-01,11,34
2014-03-01,10,62
2014-04-01,31,32
2014-05-01,10,48
2014-06-01,12,28
2014-07-01,17,35
2014-08-01,17,31
2014-09-01,22,45
2014-10-01,14,39
2014-11-01,32,11
2014-12-01,16,25
2015-01-01,20,44
2015-02-01,11,29
2015-03-01,20,26
2015-04-01,10,25
2015-05-01,19,46
2015-06-01,15,23
2015-07-01,19,36
2015-08-01,19,33
2015-09-01,22,45
2015-10-01,9,30
2015-11-01,9,37
2015-12-01,14,19
2016-01-01,23,27
2016-02-01,17,30
2016-03-01,28,33
2016-04-01,8,17
2016-05-01,12,21
2016-06-01,8,13
2016-07-01,23,26
2016-08-01,100,21
2016-09-01,58,31
2016-10-01,44,29
2016-11-01,21,24
2016-12-01,42,33
2017-01-01,26,18
