date,how to delete facebook account permanently,how to delete a facebook account
2011-01-01,26,75
2011-02-01,23,62
2011-03-01,23,57
2011-04-01,26,51
2011-05-01,35,60
2011-06-01,35,61
2011-07-01,35,73
2011-08-01,42,84
2011-09-01,35,80
2011-10-01,37,85
2011-11-01,29,100
2011-12-01,38,91
2012-01-01,40,95
2012-02-01,44,94
2012-03-01,46,91
2012-04-01,44,65
2012-05-01,47,62
2012-06-01,42,72
2012-07-01,46,92
2012-08-01,41,87
2012-09-01,38,74
2012-10-01,36,60
2012-11-01,35,74
2012-12-01,39,79
2013-01-01,35,71
2013-02-01,35,65
2013-03-01,33,70
2013-04-01,35,73
2013-05-01,38,56
2013-06-01,37,60
2013-07-01,39,72
2013-08-01,40,71
2013-09-01,47,50
2013-10-01,39,52
2013-11-01,29,60
2013-12-01,33,71
2014-01-01,38,62
2014-02-01,48,51
2014-03-01,33,50
2014-04-01,33,60
2014-05-01,34,62
2014-06-01,47,56
2014-07-01,42,57
2014-08-01,41,62
2014-09-01,34,60
2014-10-01,33,54
2014-11-01,31,54
2014-12-01,32,58
2015-01-01,35,60
2015-02-01,31,60
2015-03-01,35,58
2015-04-01,37,66
2015-05-01,45,51
2015-06-01,39,51
2015-07-01,33,64
2015-08-01,39,72
2015-09-01,48,56
2015-10-01,36,46
2015-11-01,29,44
2015-12-01,33,49
2016-01-01,36,65
2016-02-01,44,59
2016-03-01,41,48
2016-04-01,36,52
2016-05-01,32,51
2016-06-01,34,70
2016-07-01,48,70
2016-08-01,62,56
2016-09-01,42,56
2016-10-01,39,56
2016-11-01,45,68
2016-12-01,84,59
2017-01-01,79,64
