date,how to reactivate facebook,how to delete a facebook account
2011-01-01,14,75
2011-02-01,14,62
2011-03-01,14,57
2011-04-01,13,51
2011-05-01,14,60
2011-06-01,19,61
2011-07-01,18,73
2011-08-01,20,84
2011-09-01,21,80
2011-10-01,21,85
2011-11-01,18,100
2011-12-01,17,91
2012-01-01,22,95
2012-02-01,19,94
2012-03-01,18,91
2012-04-01,19,65
2012-05-01,19,62
2012-06-01,19,72
2012-07-01,17,92
2012-08-01,20,87
2012-09-01,18,74
2012-10-01,17,60
2012-11-01,14,74
2012-12-01,14,79
2013-01-01,14,71
2013-02-01,13,65
2013-03-01,13,70
2013-04-01,12,73
2013-05-01,12,56
2013-06-01,14,60
2013-07-01,16,72
2013-08-01,16,71
2013-09-01,12,50
2013-10-01,13,52
2013-11-01,14,60
2013-12-01,12,71
2014-01-01,14,62
2014-02-01,13,51
2014-03-01,12,50
2014-04-01,11,60
2014-05-01,14,62
2014-06-01,13,56
2014-07-01,15,57
2014-08-01,18,62
2014-09-01,13,60
2014-10-01,12,54
2014-11-01,14,54
2014-12-01,13,58
2015-01-01,14,60
2015-02-01,12,60
2015-03-01,12,58
2015-04-01,13,66
2015-05-01,12,51
2015-06-01,14,51
2015-07-01,13,64
2015-08-01,14,72
2015-09-01,13,56
2015-10-01,13,46
2015-11-01,13,44
2015-12-01,13,49
2016-01-01,13,65
2016-02-01,12,59
2016-03-01,14,48
2016-04-01,14,52
2016-05-01,14,51
2016-06-01,14,70
2016-07-01,13,70
2016-08-01,14,56
2016-09-01,13,56
2016-10-01,14,56
2016-11-01,14,68
2016-12-01,14,59
2017-01-01,15,64
