date,how do i deactivate my facebook account,how to delete a google account
2011-01-01,13,35
2011-02-01,10,28
2011-03-01,10,29
2011-04-01,12,31
2011-05-01,11,35
2011-06-01,13,40
2011-07-01,17,51
2011-08-01,45,49
2011-09-01,37,58
2011-10-01,30,52
2011-11-01,35,52
2011-12-01,36,51
2012-01-01,34,61
2012-02-01,28,41
2012-03-01,31,41
2012-04-01,39,43
2012-05-01,29,46
2012-06-01,35,50
2012-07-01,29,57
2012-08-01,16,70
2012-09-01,20,58
2012-10-01,34,43
2012-11-01,25,50
2012-12-01,15,58
2013-01-01,16,61
2013-02-01,36,60
2013-03-01,26,53
2013-04-01,13,62
2013-05-01,15,67
2013-06-01,19,68
2013-07-01,36,80
2013-08-01,19,74
2013-09-01,13,70
2013-10-01,14,77
2013-11-01,23,79
2013-12-01,20,84
2014-01-01,14,88
2014-02-01,12,90
2014-03-01,21,86
2014-04-01,19,82
2014-05-01,14,82
2014-06-01,12,82
2014-07-01,13,91
2014-08-01,25,89
2014-09-01,17,79
2014-10-01,13,77
2014-11-01,10,82
2014-12-01,9,76
2015-01-01,17,79
2015-02-01,17,71
2015-03-01,14,70
2015-04-01,11,70
2015-05-01,11,74
2015-06-01,19,79
2015-07-01,25,80
2015-08-01,10,87
2015-09-01,14,79
2015-10-01,11,77
2015-11-01,22,76
2015-12-01,26,78
2016-01-01,21,93
2016-02-01,10,76
2016-03-01,11,73
2016-04-01,15,81
2016-05-01,23,77
2016-06-01,18,78
2016-07-01,16,100
2016-08-01,14,96
2016-09-01,19,84
2016-10-01,25,84
2016-11-01,18,81
2016-12-01,11,97
2017-01-01,18,94
