date,account recovery,how to delete a google account
2011-01-01,17,3
2011-02-01,17,2
2011-03-01,16,2
2011-04-01,17,2
2011-05-01,18,3
2011-06-01,19,3
2011-07-01,21,4
2011-08-01,20,4
2011-09-01,19,4
2011-10-01,18,4
2011-11-01,16,4
2011-12-01,20,4
2012-01-01,20,5
2012-02-01,18,3
2012-03-01,18,3
2012-04-01,20,3
2012-05-01,20,3
2012-06-01,23,4
2012-07-01,27,4
2012-08-01,28,5
2012-09-01,31,4
2012-10-01,28,3
2012-11-01,31,4
2012-12-01,37,4
2013-01-01,33,5
2013-02-01,37,5
2013-03-01,38,4
2013-04-01,37,5
2013-05-01,40,5
2013-06-01,41,5
2013-07-01,42,6
2013-08-01,45,6
2013-09-01,45,5
2013-10-01,45,6
2013-11-01,50,6
2013-12-01,64,6
2014-01-01,58,7
2014-02-01,59,7
2014-03-01,54,6
2014-04-01,53,6
2014-05-01,57,6
2014-06-01,62,6
2014-07-01,66,7
2014-08-01,71,7
2014-09-01,71,6
2014-10-01,71,6
2014-11-01,79,6
2014-12-01,89,6
2015-01-01,80,6
2015-02-01,83,5
2015-03-01,81,5
2015-04-01,84,5
2015-05-01,87,6
2015-06-01,98,6
2015-07-01,100,6
2015-08-01,91,7
2015-09-01,81,6
2015-10-01,82,6
2015-11-01,89,6
2015-12-01,88,6
2016-01-01,85,7
2016-02-01,80,6
2016-03-01,86,5
2016-04-01,88,6
2016-05-01,82,6
2016-06-01,85,6
2016-07-01,91,7
2016-08-01,100,7
2016-09-01,96,6
2016-10-01,98,6
2016-11-01,94,6
2016-12-01,97,7
2017-01-01,98,7
