date,remove google account from android,how to delete a google account
2011-01-01,6,35
2011-02-01,5,28
2011-03-01,2,29
2011-04-01,5,31
2011-05-01,4,35
2011-06-01,7,40
2011-07-01,7,51
2011-08-01,7,49
2011-09-01,10,58
2011-10-01,11,52
2011-11-01,11,52
2011-12-01,21,51
2012-01-01,17,61
2012-02-01,14,41
2012-03-01,18,41
2012-04-01,17,43
2012-05-01,16,46
2012-06-01,19,50
2012-07-01,21,57
2012-08-01,25,70
2012-09-01,22,58
2012-10-01,19,43
2012-11-01,20,50
2012-12-01,25,58
2013-01-01,24,61
2013-02-01,21,60
2013-03-01,20,53
2013-04-01,23,62
2013-05-01,28,67
2013-06-01,26,68
2013-07-01,28,80
2013-08-01,34,74
2013-09-01,28,70
2013-10-01,31,77
2013-11-01,33,79
2013-12-01,45,84
2014-01-01,36,88
2014-02-01,39,90
2014-03-01,34,86
2014-04-01,31,82
2014-05-01,35,82
2014-06-01,35,82
2014-07-01,44,91
2014-08-01,44,89
2014-09-01,37,79
2014-10-01,37,77
2014-11-01,38,82
2014-12-01,44,76
2015-01-01,42,79
2015-02-01,40,71
2015-03-01,41,70
2015-04-01,37,70
2015-05-01,40,74
2015-06-01,41,79
2015-07-01,49,80
2015-08-01,50,87
2015-09-01,48,79
2015-10-01,45,77
2015-11-01,48,76
2015-12-01,55,78
2016-01-01,51,93
2016-02-01,47,76
2016-03-01,49,73
2016-04-01,53,81
2016-05-01,57,77
2016-06-01,55,78
2016-07-01,69,100
2016-08-01,67,96
2016-09-01,71,84
2016-10-01,67,84
2016-11-01,58,81
2016-12-01,67,97
2017-01-01,62,94
