date,how to permanently delete google account,how to delete a google account
2011-01-01,3,30
2011-02-01,4,29
2011-03-01,2,28
2011-04-01,7,29
2011-05-01,7,38
2011-06-01,5,48
2011-07-01,6,56
2011-08-01,7,44
2011-09-01,13,53
2011-10-01,6,54
2011-11-01,7,53
2011-12-01,6,49
2012-01-01,8,47
2012-02-01,9,43
2012-03-01,6,38
2012-04-01,5,44
2012-05-01,7,44
2012-06-01,11,47
2012-07-01,8,50
2012-08-01,7,68
2012-09-01,9,53
2012-10-01,6,43
2012-11-01,5,46
2012-12-01,6,50
2013-01-01,7,58
2013-02-01,7,59
2013-03-01,8,46
2013-04-01,7,53
2013-05-01,8,65
2013-06-01,5,69
2013-07-01,8,76
2013-08-01,8,83
2013-09-01,9,71
2013-10-01,10,76
2013-11-01,9,63
2013-12-01,11,83
2014-01-01,15,93
2014-02-01,15,89
2014-03-01,12,81
2014-04-01,7,70
2014-05-01,9,80
2014-06-01,14,72
2014-07-01,12,100
2014-08-01,5,91
2014-09-01,10,79
2014-10-01,8,77
2014-11-01,7,80
2014-12-01,11,71
2015-01-01,11,77
2015-02-01,7,75
2015-03-01,9,67
2015-04-01,11,68
2015-05-01,9,72
2015-06-01,8,83
2015-07-01,10,82
2015-08-01,10,84
2015-09-01,11,75
2015-10-01,9,74
2015-11-01,9,69
2015-12-01,6,72
2016-01-01,11,90
2016-02-01,9,79
2016-03-01,11,68
2016-04-01,11,75
2016-05-01,9,74
2016-06-01,12,75
2016-07-01,15,97
2016-08-01,14,93
2016-09-01,11,84
2016-10-01,12,83
2016-11-01,11,82
2016-12-01,17,92
2017-01-01,12,93
