date,how to get rid of google account,how to delete a google account
2011-01-01,2,29
2011-02-01,4,29
2011-03-01,2,29
2011-04-01,4,30
2011-05-01,3,39
2011-06-01,5,50
2011-07-01,5,56
2011-08-01,5,48
2011-09-01,5,57
2011-10-01,5,53
2011-11-01,4,53
2011-12-01,8,54
2012-01-01,5,55
2012-02-01,4,46
2012-03-01,5,40
2012-04-01,4,47
2012-05-01,6,44
2012-06-01,5,48
2012-07-01,7,56
2012-08-01,5,67
2012-09-01,4,55
2012-10-01,4,44
2012-11-01,5,47
2012-12-01,5,50
2013-01-01,7,62
2013-02-01,7,57
2013-03-01,5,53
2013-04-01,6,54
2013-05-01,7,65
2013-06-01,7,69
2013-07-01,8,80
2013-08-01,10,84
2013-09-01,9,72
2013-10-01,6,75
2013-11-01,9,69
2013-12-01,10,88
2014-01-01,9,92
2014-02-01,8,86
2014-03-01,7,83
2014-04-01,11,78
2014-05-01,8,80
2014-06-01,8,77
2014-07-01,10,96
2014-08-01,8,94
2014-09-01,7,80
2014-10-01,8,81
2014-11-01,8,78
2014-12-01,8,77
2015-01-01,9,77
2015-02-01,7,78
2015-03-01,7,70
2015-04-01,10,71
2015-05-01,9,74
2015-06-01,8,84
2015-07-01,7,83
2015-08-01,9,87
2015-09-01,9,76
2015-10-01,8,77
2015-11-01,9,73
2015-12-01,8,75
2016-01-01,7,93
2016-02-01,9,79
2016-03-01,8,72
2016-04-01,8,75
2016-05-01,8,73
2016-06-01,9,77
2016-07-01,14,100
2016-08-01,11,95
2016-09-01,9,86
2016-10-01,11,87
2016-11-01,12,81
2016-12-01,11,92
2017-01-01,12,96
