date,I want to delete my google account,how to delete a google account
2011-01-01,1,29
2011-02-01,1,29
2011-03-01,3,29
2011-04-01,2,30
2011-05-01,3,39
2011-06-01,1,50
2011-07-01,5,56
2011-08-01,2,48
2011-09-01,2,57
2011-10-01,3,53
2011-11-01,3,53
2011-12-01,3,54
2012-01-01,1,55
2012-02-01,1,46
2012-03-01,2,40
2012-04-01,2,47
2012-05-01,2,44
2012-06-01,2,48
2012-07-01,3,56
2012-08-01,2,67
2012-09-01,2,55
2012-10-01,2,44
2012-11-01,3,47
2012-12-01,3,50
2013-01-01,3,62
2013-02-01,3,57
2013-03-01,3,53
2013-04-01,2,54
2013-05-01,4,65
2013-06-01,4,69
2013-07-01,4,80
2013-08-01,3,84
2013-09-01,4,72
2013-10-01,2,75
2013-11-01,3,69
2013-12-01,2,88
2014-01-01,5,92
2014-02-01,3,86
2014-03-01,4,83
2014-04-01,5,78
2014-05-01,3,80
2014-06-01,4,77
2014-07-01,6,96
2014-08-01,5,94
2014-09-01,4,80
2014-10-01,3,81
2014-11-01,5,78
2014-12-01,4,77
2015-01-01,5,77
2015-02-01,4,78
2015-03-01,4,70
2015-04-01,4,71
2015-05-01,3,74
2015-06-01,3,84
2015-07-01,4,83
2015-08-01,4,87
2015-09-01,5,76
2015-10-01,3,77
2015-11-01,4,73
2015-12-01,4,75
2016-01-01,4,93
2016-02-01,4,79
2016-03-01,4,72
2016-04-01,5,75
2016-05-01,5,73
2016-06-01,4,77
2016-07-01,3,100
2016-08-01,5,95
2016-09-01,6,86
2016-10-01,4,87
2016-11-01,3,81
2016-12-01,4,92
2017-01-01,4,96
