date,remove google account,how to delete a google account
2011-01-01,9,6
2011-02-01,10,6
2011-03-01,9,6
2011-04-01,9,5
2011-05-01,10,7
2011-06-01,11,9
2011-07-01,13,12
2011-08-01,14,10
2011-09-01,13,10
2011-10-01,13,11
2011-11-01,15,9
2011-12-01,18,11
2012-01-01,15,10
2012-02-01,17,9
2012-03-01,15,10
2012-04-01,16,10
2012-05-01,17,9
2012-06-01,19,9
2012-07-01,21,10
2012-08-01,24,13
2012-09-01,21,10
2012-10-01,22,9
2012-11-01,22,10
2012-12-01,26,11
2013-01-01,23,12
2013-02-01,23,11
2013-03-01,23,11
2013-04-01,26,13
2013-05-01,26,13
2013-06-01,28,14
2013-07-01,30,16
2013-08-01,32,17
2013-09-01,32,14
2013-10-01,30,15
2013-11-01,34,15
2013-12-01,39,16
2014-01-01,41,19
2014-02-01,39,18
2014-03-01,39,17
2014-04-01,39,16
2014-05-01,36,17
2014-06-01,40,15
2014-07-01,42,20
2014-08-01,43,18
2014-09-01,42,16
2014-10-01,41,15
2014-11-01,42,16
2014-12-01,44,15
2015-01-01,44,15
2015-02-01,40,13
2015-03-01,41,14
2015-04-01,46,14
2015-05-01,46,15
2015-06-01,50,16
2015-07-01,53,17
2015-08-01,56,18
2015-09-01,55,16
2015-10-01,55,16
2015-11-01,55,15
2015-12-01,65,16
2016-01-01,64,17
2016-02-01,65,17
2016-03-01,67,15
2016-04-01,66,15
2016-05-01,71,15
2016-06-01,77,16
2016-07-01,95,21
2016-08-01,100,20
2016-09-01,90,16
2016-10-01,92,17
2016-11-01,88,15
2016-12-01,95,19
2017-01-01,92,18
