date,How to close a google account,how to delete a google account
2011-01-01,4,31
2011-02-01,4,27
2011-03-01,4,31
2011-04-01,3,31
2011-05-01,5,39
2011-06-01,6,41
2011-07-01,8,58
2011-08-01,8,52
2011-09-01,6,58
2011-10-01,7,51
2011-11-01,5,52
2011-12-01,6,51
2012-01-01,10,56
2012-02-01,7,43
2012-03-01,5,38
2012-04-01,8,46
2012-05-01,6,45
2012-06-01,7,51
2012-07-01,7,51
2012-08-01,4,66
2012-09-01,6,58
2012-10-01,5,44
2012-11-01,5,46
2012-12-01,7,57
2013-01-01,5,56
2013-02-01,7,56
2013-03-01,5,60
2013-04-01,8,58
2013-05-01,7,66
2013-06-01,7,70
2013-07-01,7,74
2013-08-01,7,81
2013-09-01,6,66
2013-10-01,7,78
2013-11-01,6,76
2013-12-01,6,82
2014-01-01,9,93
2014-02-01,7,86
2014-03-01,6,86
2014-04-01,5,77
2014-05-01,7,83
2014-06-01,7,76
2014-07-01,6,90
2014-08-01,7,86
2014-09-01,8,81
2014-10-01,6,80
2014-11-01,7,78
2014-12-01,4,79
2015-01-01,5,79
2015-02-01,5,71
2015-03-01,5,75
2015-04-01,5,73
2015-05-01,4,78
2015-06-01,5,77
2015-07-01,5,89
2015-08-01,5,87
2015-09-01,7,77
2015-10-01,6,76
2015-11-01,5,71
2015-12-01,5,78
2016-01-01,5,89
2016-02-01,6,76
2016-03-01,5,75
2016-04-01,5,74
2016-05-01,5,78
2016-06-01,5,84
2016-07-01,5,100
2016-08-01,7,96
2016-09-01,5,86
2016-10-01,6,86
2016-11-01,5,80
2016-12-01,7,94
2017-01-01,5,93
