date,delete google account,how to delete a google account
2011-01-01,32,4
2011-02-01,30,4
2011-03-01,32,5
2011-04-01,31,4
2011-05-01,34,5
2011-06-01,40,6
2011-07-01,59,9
2011-08-01,47,7
2011-09-01,57,7
2011-10-01,53,8
2011-11-01,52,7
2011-12-01,54,8
2012-01-01,58,8
2012-02-01,52,6
2012-03-01,46,7
2012-04-01,44,7
2012-05-01,42,7
2012-06-01,43,7
2012-07-01,49,8
2012-08-01,48,10
2012-09-01,47,7
2012-10-01,45,6
2012-11-01,47,7
2012-12-01,54,8
2013-01-01,56,8
2013-02-01,56,9
2013-03-01,54,8
2013-04-01,57,9
2013-05-01,58,9
2013-06-01,64,11
2013-07-01,64,11
2013-08-01,71,12
2013-09-01,66,10
2013-10-01,66,11
2013-11-01,69,11
2013-12-01,78,12
2014-01-01,81,14
2014-02-01,75,13
2014-03-01,76,12
2014-04-01,74,12
2014-05-01,71,12
2014-06-01,74,11
2014-07-01,82,13
2014-08-01,83,13
2014-09-01,77,12
2014-10-01,74,11
2014-11-01,75,11
2014-12-01,75,11
2015-01-01,73,11
2015-02-01,69,10
2015-03-01,71,11
2015-04-01,70,10
2015-05-01,69,10
2015-06-01,75,11
2015-07-01,80,12
2015-08-01,82,13
2015-09-01,76,11
2015-10-01,70,11
2015-11-01,72,11
2015-12-01,76,11
2016-01-01,80,12
2016-02-01,76,12
2016-03-01,75,11
2016-04-01,72,10
2016-05-01,74,11
2016-06-01,79,12
2016-07-01,100,15
2016-08-01,92,15
2016-09-01,85,12
2016-10-01,84,13
2016-11-01,83,11
2016-12-01,89,14
2017-01-01,89,14
