date,how to remove gmail account from android,how to delete a google account
2011-01-01,2,35
2011-02-01,3,28
2011-03-01,3,29
2011-04-01,2,31
2011-05-01,3,35
2011-06-01,4,40
2011-07-01,5,51
2011-08-01,7,49
2011-09-01,7,58
2011-10-01,6,52
2011-11-01,7,52
2011-12-01,10,51
2012-01-01,10,61
2012-02-01,9,41
2012-03-01,7,41
2012-04-01,13,43
2012-05-01,8,46
2012-06-01,9,50
2012-07-01,13,57
2012-08-01,13,70
2012-09-01,11,58
2012-10-01,10,43
2012-11-01,12,50
2012-12-01,13,58
2013-01-01,11,61
2013-02-01,15,60
2013-03-01,11,53
2013-04-01,12,62
2013-05-01,19,67
2013-06-01,18,68
2013-07-01,17,80
2013-08-01,19,74
2013-09-01,17,70
2013-10-01,22,77
2013-11-01,18,79
2013-12-01,21,84
2014-01-01,21,88
2014-02-01,22,90
2014-03-01,22,86
2014-04-01,20,82
2014-05-01,18,82
2014-06-01,18,82
2014-07-01,23,91
2014-08-01,22,89
2014-09-01,22,79
2014-10-01,20,77
2014-11-01,22,82
2014-12-01,20,76
2015-01-01,24,79
2015-02-01,21,71
2015-03-01,19,70
2015-04-01,19,70
2015-05-01,24,74
2015-06-01,24,79
2015-07-01,24,80
2015-08-01,22,87
2015-09-01,24,79
2015-10-01,25,77
2015-11-01,21,76
2015-12-01,29,78
2016-01-01,26,93
2016-02-01,26,76
2016-03-01,27,73
2016-04-01,28,81
2016-05-01,28,77
2016-06-01,30,78
2016-07-01,32,100
2016-08-01,33,96
2016-09-01,29,84
2016-10-01,38,84
2016-11-01,35,81
2016-12-01,30,97
2017-01-01,35,94
