date,how to sign out of gmail on android,how to delete a google account
2011-01-01,2,39
2011-02-01,2,27
2011-03-01,1,31
2011-04-01,1,32
2011-05-01,2,32
2011-06-01,2,37
2011-07-01,2,53
2011-08-01,4,51
2011-09-01,2,57
2011-10-01,3,51
2011-11-01,3,50
2011-12-01,3,51
2012-01-01,3,56
2012-02-01,4,40
2012-03-01,4,41
2012-04-01,4,44
2012-05-01,4,45
2012-06-01,4,49
2012-07-01,6,56
2012-08-01,6,67
2012-09-01,8,58
2012-10-01,6,41
2012-11-01,4,48
2012-12-01,6,59
2013-01-01,5,61
2013-02-01,8,59
2013-03-01,6,51
2013-04-01,7,62
2013-05-01,6,65
2013-06-01,4,65
2013-07-01,6,76
2013-08-01,8,74
2013-09-01,6,71
2013-10-01,6,78
2013-11-01,9,75
2013-12-01,16,80
2014-01-01,15,90
2014-02-01,10,90
2014-03-01,12,87
2014-04-01,8,78
2014-05-01,10,78
2014-06-01,10,78
2014-07-01,11,93
2014-08-01,10,82
2014-09-01,9,77
2014-10-01,10,77
2014-11-01,13,83
2014-12-01,10,72
2015-01-01,12,77
2015-02-01,9,69
2015-03-01,8,68
2015-04-01,9,67
2015-05-01,7,75
2015-06-01,7,81
2015-07-01,8,78
2015-08-01,9,86
2015-09-01,7,79
2015-10-01,7,77
2015-11-01,9,70
2015-12-01,7,77
2016-01-01,10,87
2016-02-01,10,75
2016-03-01,6,71
2016-04-01,8,82
2016-05-01,8,75
2016-06-01,7,76
2016-07-01,13,100
2016-08-01,11,92
2016-09-01,7,79
2016-10-01,12,82
2016-11-01,13,78
2016-12-01,14,94
2017-01-01,11,92
