date,delete google account history,how to delete a google account
2011-01-01,20,35
2011-02-01,17,28
2011-03-01,11,29
2011-04-01,14,31
2011-05-01,14,35
2011-06-01,19,40
2011-07-01,26,51
2011-08-01,29,49
2011-09-01,41,58
2011-10-01,41,52
2011-11-01,40,52
2011-12-01,32,51
2012-01-01,35,61
2012-02-01,52,41
2012-03-01,36,41
2012-04-01,16,43
2012-05-01,17,46
2012-06-01,18,50
2012-07-01,18,57
2012-08-01,17,70
2012-09-01,18,58
2012-10-01,18,43
2012-11-01,18,50
2012-12-01,17,58
2013-01-01,18,61
2013-02-01,17,60
2013-03-01,16,53
2013-04-01,19,62
2013-05-01,19,67
2013-06-01,20,68
2013-07-01,19,80
2013-08-01,27,74
2013-09-01,19,70
2013-10-01,22,77
2013-11-01,21,79
2013-12-01,19,84
2014-01-01,22,88
2014-02-01,21,90
2014-03-01,22,86
2014-04-01,23,82
2014-05-01,22,82
2014-06-01,19,82
2014-07-01,23,91
2014-08-01,21,89
2014-09-01,21,79
2014-10-01,24,77
2014-11-01,22,82
2014-12-01,25,76
2015-01-01,22,79
2015-02-01,23,71
2015-03-01,26,70
2015-04-01,27,70
2015-05-01,29,74
2015-06-01,29,79
2015-07-01,26,80
2015-08-01,34,87
2015-09-01,29,79
2015-10-01,33,77
2015-11-01,30,76
2015-12-01,34,78
2016-01-01,35,93
2016-02-01,37,76
2016-03-01,33,73
2016-04-01,30,81
2016-05-01,33,77
2016-06-01,34,78
2016-07-01,42,100
2016-08-01,36,96
2016-09-01,35,84
2016-10-01,37,84
2016-11-01,38,81
2016-12-01,35,97
2017-01-01,33,94
