date,how to delete my google account,how to delete a google account
2011-01-01,11,25
2011-02-01,16,26
2011-03-01,17,33
2011-04-01,13,26
2011-05-01,20,36
2011-06-01,18,43
2011-07-01,32,58
2011-08-01,22,46
2011-09-01,27,50
2011-10-01,26,53
2011-11-01,30,47
2011-12-01,28,55
2012-01-01,27,52
2012-02-01,22,44
2012-03-01,27,45
2012-04-01,28,49
2012-05-01,30,46
2012-06-01,29,47
2012-07-01,31,55
2012-08-01,35,65
2012-09-01,30,49
2012-10-01,29,43
2012-11-01,27,48
2012-12-01,36,54
2013-01-01,35,58
2013-02-01,30,58
2013-03-01,31,57
2013-04-01,36,62
2013-05-01,35,64
2013-06-01,41,72
2013-07-01,39,75
2013-08-01,44,82
2013-09-01,40,68
2013-10-01,42,75
2013-11-01,47,73
2013-12-01,51,83
2014-01-01,53,92
2014-02-01,52,86
2014-03-01,47,82
2014-04-01,46,82
2014-05-01,45,83
2014-06-01,43,77
2014-07-01,48,91
2014-08-01,49,92
2014-09-01,42,81
2014-10-01,45,78
2014-11-01,44,77
2014-12-01,41,74
2015-01-01,48,74
2015-02-01,44,67
2015-03-01,40,73
2015-04-01,40,71
2015-05-01,41,71
2015-06-01,45,76
2015-07-01,48,84
2015-08-01,48,88
2015-09-01,48,77
2015-10-01,42,75
2015-11-01,44,75
2015-12-01,44,76
2016-01-01,52,85
2016-02-01,47,83
2016-03-01,49,72
2016-04-01,48,71
2016-05-01,48,76
2016-06-01,48,80
2016-07-01,63,100
2016-08-01,52,100
2016-09-01,55,79
2016-10-01,53,85
2016-11-01,56,75
2016-12-01,59,94
2017-01-01,63,92
