date,google settings app,how to delete a google account
2011-01-01,10,22
2011-02-01,9,18
2011-03-01,14,19
2011-04-01,14,22
2011-05-01,14,26
2011-06-01,16,30
2011-07-01,12,35
2011-08-01,10,31
2011-09-01,14,41
2011-10-01,13,35
2011-11-01,11,32
2011-12-01,13,35
2012-01-01,14,43
2012-02-01,12,30
2012-03-01,13,28
2012-04-01,15,31
2012-05-01,16,31
2012-06-01,16,34
2012-07-01,21,41
2012-08-01,21,45
2012-09-01,25,39
2012-10-01,23,32
2012-11-01,22,34
2012-12-01,26,41
2013-01-01,22,40
2013-02-01,54,43
2013-03-01,49,38
2013-04-01,31,42
2013-05-01,32,46
2013-06-01,31,47
2013-07-01,34,56
2013-08-01,43,51
2013-09-01,40,50
2013-10-01,36,50
2013-11-01,47,55
2013-12-01,44,58
2014-01-01,41,61
2014-02-01,47,63
2014-03-01,39,60
2014-04-01,41,57
2014-05-01,43,57
2014-06-01,47,57
2014-07-01,47,63
2014-08-01,47,62
2014-09-01,42,56
2014-10-01,49,51
2014-11-01,44,56
2014-12-01,52,58
2015-01-01,50,53
2015-02-01,45,47
2015-03-01,55,48
2015-04-01,56,49
2015-05-01,54,48
2015-06-01,54,53
2015-07-01,58,56
2015-08-01,68,60
2015-09-01,66,56
2015-10-01,62,53
2015-11-01,64,52
2015-12-01,67,54
2016-01-01,71,66
2016-02-01,66,53
2016-03-01,69,52
2016-04-01,68,54
2016-05-01,70,55
2016-06-01,84,52
2016-07-01,85,70
2016-08-01,87,66
2016-09-01,74,58
2016-10-01,82,61
2016-11-01,87,54
2016-12-01,100,67
2017-01-01,94,65
