date,my gmail account,how to delete a google account
2011-01-01,33,2
2011-02-01,33,2
2011-03-01,32,2
2011-04-01,35,2
2011-05-01,37,3
2011-06-01,46,3
2011-07-01,51,4
2011-08-01,49,3
2011-09-01,45,4
2011-10-01,45,4
2011-11-01,45,3
2011-12-01,48,4
2012-01-01,50,5
2012-02-01,43,3
2012-03-01,42,3
2012-04-01,42,3
2012-05-01,41,3
2012-06-01,45,4
2012-07-01,49,4
2012-08-01,55,5
2012-09-01,50,4
2012-10-01,49,3
2012-11-01,48,4
2012-12-01,49,4
2013-01-01,50,4
2013-02-01,54,4
2013-03-01,54,4
2013-04-01,53,4
2013-05-01,57,5
2013-06-01,55,5
2013-07-01,59,6
2013-08-01,61,5
2013-09-01,60,5
2013-10-01,61,5
2013-11-01,62,6
2013-12-01,71,6
2014-01-01,73,6
2014-02-01,69,7
2014-03-01,72,6
2014-04-01,73,6
2014-05-01,65,6
2014-06-01,68,6
2014-07-01,70,7
2014-08-01,77,7
2014-09-01,78,6
2014-10-01,69,5
2014-11-01,70,6
2014-12-01,68,6
2015-01-01,75,6
2015-02-01,72,5
2015-03-01,69,5
2015-04-01,68,5
2015-05-01,67,5
2015-06-01,76,6
2015-07-01,77,6
2015-08-01,77,6
2015-09-01,79,6
2015-10-01,76,6
2015-11-01,73,6
2015-12-01,77,6
2016-01-01,81,7
2016-02-01,75,6
2016-03-01,77,6
2016-04-01,83,6
2016-05-01,78,6
2016-06-01,79,5
2016-07-01,94,7
2016-08-01,100,7
2016-09-01,90,6
2016-10-01,91,6
2016-11-01,87,6
2016-12-01,90,7
2017-01-01,98,7
