date,Delete my google account,how to delete a google account
2011-01-01,25,26
2011-02-01,31,22
2011-03-01,29,26
2011-04-01,27,25
2011-05-01,32,32
2011-06-01,37,34
2011-07-01,51,48
2011-08-01,40,43
2011-09-01,54,48
2011-10-01,55,42
2011-11-01,53,43
2011-12-01,53,42
2012-01-01,60,46
2012-02-01,50,35
2012-03-01,49,32
2012-04-01,46,38
2012-05-01,49,37
2012-06-01,49,42
2012-07-01,52,42
2012-08-01,55,54
2012-09-01,53,48
2012-10-01,47,36
2012-11-01,49,38
2012-12-01,60,47
2013-01-01,60,46
2013-02-01,58,46
2013-03-01,55,50
2013-04-01,55,48
2013-05-01,63,55
2013-06-01,64,57
2013-07-01,71,61
2013-08-01,75,67
2013-09-01,68,55
2013-10-01,75,64
2013-11-01,78,63
2013-12-01,83,67
2014-01-01,88,77
2014-02-01,79,71
2014-03-01,78,71
2014-04-01,76,63
2014-05-01,67,69
2014-06-01,71,63
2014-07-01,77,74
2014-08-01,82,71
2014-09-01,75,66
2014-10-01,70,66
2014-11-01,69,65
2014-12-01,70,65
2015-01-01,75,65
2015-02-01,71,59
2015-03-01,66,62
2015-04-01,71,60
2015-05-01,69,64
2015-06-01,76,64
2015-07-01,84,73
2015-08-01,80,71
2015-09-01,82,64
2015-10-01,75,63
2015-11-01,72,59
2015-12-01,74,64
2016-01-01,86,73
2016-02-01,74,63
2016-03-01,76,62
2016-04-01,76,61
2016-05-01,75,64
2016-06-01,82,69
2016-07-01,100,83
2016-08-01,94,79
2016-09-01,89,71
2016-10-01,85,71
2016-11-01,87,66
2016-12-01,95,78
2017-01-01,96,77
