date,find youtube,how to delete a google account
2011-01-01,79,2
2011-02-01,78,2
2011-03-01,75,2
2011-04-01,80,2
2011-05-01,79,2
2011-06-01,80,3
2011-07-01,79,4
2011-08-01,77,3
2011-09-01,79,3
2011-10-01,80,3
2011-11-01,81,3
2011-12-01,85,4
2012-01-01,84,3
2012-02-01,82,3
2012-03-01,80,3
2012-04-01,75,3
2012-05-01,73,3
2012-06-01,73,3
2012-07-01,75,4
2012-08-01,73,4
2012-09-01,80,3
2012-10-01,80,3
2012-11-01,79,3
2012-12-01,84,4
2013-01-01,80,4
2013-02-01,81,4
2013-03-01,81,4
2013-04-01,83,4
2013-05-01,82,4
2013-06-01,78,5
2013-07-01,76,5
2013-08-01,81,5
2013-09-01,82,4
2013-10-01,91,5
2013-11-01,94,5
2013-12-01,96,5
2014-01-01,94,6
2014-02-01,93,6
2014-03-01,93,5
2014-04-01,91,5
2014-05-01,89,5
2014-06-01,82,5
2014-07-01,85,6
2014-08-01,86,6
2014-09-01,92,5
2014-10-01,92,5
2014-11-01,91,5
2014-12-01,90,5
2015-01-01,90,5
2015-02-01,88,4
2015-03-01,86,5
2015-04-01,87,5
2015-05-01,88,5
2015-06-01,82,5
2015-07-01,83,5
2015-08-01,86,6
2015-09-01,90,5
2015-10-01,90,5
2015-11-01,87,5
2015-12-01,92,5
2016-01-01,93,5
2016-02-01,90,5
2016-03-01,87,5
2016-04-01,88,5
2016-05-01,85,5
2016-06-01,83,5
2016-07-01,86,6
2016-08-01,87,6
2016-09-01,90,5
2016-10-01,91,5
2016-11-01,100,5
2016-12-01,97,6
2017-01-01,95,6
