date,delete your account page,how to delete a google account
2011-01-01,5,35
2011-02-01,3,28
2011-03-01,3,29
2011-04-01,6,31
2011-05-01,6,35
2011-06-01,6,40
2011-07-01,7,51
2011-08-01,6,49
2011-09-01,6,58
2011-10-01,6,52
2011-11-01,6,52
2011-12-01,7,51
2012-01-01,7,61
2012-02-01,4,41
2012-03-01,5,41
2012-04-01,5,43
2012-05-01,8,46
2012-06-01,6,50
2012-07-01,8,57
2012-08-01,8,70
2012-09-01,8,58
2012-10-01,8,43
2012-11-01,6,50
2012-12-01,6,58
2013-01-01,9,61
2013-02-01,8,60
2013-03-01,9,53
2013-04-01,7,62
2013-05-01,7,67
2013-06-01,8,68
2013-07-01,11,80
2013-08-01,8,74
2013-09-01,8,70
2013-10-01,8,77
2013-11-01,7,79
2013-12-01,7,84
2014-01-01,8,88
2014-02-01,7,90
2014-03-01,9,86
2014-04-01,8,82
2014-05-01,7,82
2014-06-01,7,82
2014-07-01,5,91
2014-08-01,7,89
2014-09-01,6,79
2014-10-01,4,77
2014-11-01,6,82
2014-12-01,6,76
2015-01-01,8,79
2015-02-01,6,71
2015-03-01,7,70
2015-04-01,7,70
2015-05-01,7,74
2015-06-01,7,79
2015-07-01,8,80
2015-08-01,7,87
2015-09-01,10,79
2015-10-01,10,77
2015-11-01,10,76
2015-12-01,9,78
2016-01-01,10,93
2016-02-01,10,76
2016-03-01,12,73
2016-04-01,15,81
2016-05-01,17,77
2016-06-01,15,78
2016-07-01,15,100
2016-08-01,17,96
2016-09-01,10,84
2016-10-01,16,84
2016-11-01,24,81
2016-12-01,25,97
2017-01-01,23,94
