date,permanently delete Google account,how to delete a google account
2011-01-01,5,29
2011-02-01,6,29
2011-03-01,8,29
2011-04-01,6,30
2011-05-01,9,39
2011-06-01,7,50
2011-07-01,12,56
2011-08-01,13,48
2011-09-01,15,57
2011-10-01,11,53
2011-11-01,9,53
2011-12-01,10,54
2012-01-01,16,55
2012-02-01,10,46
2012-03-01,10,40
2012-04-01,11,47
2012-05-01,10,44
2012-06-01,14,48
2012-07-01,15,56
2012-08-01,10,67
2012-09-01,11,55
2012-10-01,9,44
2012-11-01,9,47
2012-12-01,11,50
2013-01-01,11,62
2013-02-01,12,57
2013-03-01,14,53
2013-04-01,11,54
2013-05-01,14,65
2013-06-01,11,69
2013-07-01,14,80
2013-08-01,13,84
2013-09-01,13,72
2013-10-01,17,75
2013-11-01,15,69
2013-12-01,17,88
2014-01-01,20,92
2014-02-01,20,86
2014-03-01,15,83
2014-04-01,12,78
2014-05-01,16,80
2014-06-01,19,77
2014-07-01,18,96
2014-08-01,15,94
2014-09-01,14,80
2014-10-01,16,81
2014-11-01,15,78
2014-12-01,16,77
2015-01-01,15,77
2015-02-01,13,78
2015-03-01,14,70
2015-04-01,16,71
2015-05-01,17,74
2015-06-01,15,84
2015-07-01,16,83
2015-08-01,18,87
2015-09-01,14,76
2015-10-01,15,77
2015-11-01,13,73
2015-12-01,16,75
2016-01-01,20,93
2016-02-01,14,79
2016-03-01,18,72
2016-04-01,14,75
2016-05-01,16,73
2016-06-01,19,77
2016-07-01,21,100
2016-08-01,20,95
2016-09-01,20,86
2016-10-01,18,87
2016-11-01,17,81
2016-12-01,23,92
2017-01-01,24,96
