date,how to delete gmail account in android phone,how to delete a google account
2011-01-01,0,31
2011-02-01,0,26
2011-03-01,0,28
2011-04-01,2,31
2011-05-01,1,37
2011-06-01,1,43
2011-07-01,1,49
2011-08-01,1,44
2011-09-01,1,58
2011-10-01,1,50
2011-11-01,1,46
2011-12-01,2,50
2012-01-01,1,62
2012-02-01,1,42
2012-03-01,1,41
2012-04-01,1,44
2012-05-01,1,45
2012-06-01,2,48
2012-07-01,3,58
2012-08-01,2,64
2012-09-01,1,55
2012-10-01,1,45
2012-11-01,1,48
2012-12-01,1,58
2013-01-01,1,56
2013-02-01,1,61
2013-03-01,1,54
2013-04-01,2,60
2013-05-01,3,65
2013-06-01,2,67
2013-07-01,2,80
2013-08-01,2,72
2013-09-01,1,72
2013-10-01,1,71
2013-11-01,2,79
2013-12-01,1,83
2014-01-01,2,87
2014-02-01,2,90
2014-03-01,1,86
2014-04-01,2,81
2014-05-01,3,81
2014-06-01,3,82
2014-07-01,3,90
2014-08-01,3,89
2014-09-01,1,80
2014-10-01,4,73
2014-11-01,4,79
2014-12-01,3,82
2015-01-01,2,75
2015-02-01,1,67
2015-03-01,2,68
2015-04-01,3,70
2015-05-01,3,69
2015-06-01,4,76
2015-07-01,1,79
2015-08-01,5,86
2015-09-01,3,80
2015-10-01,2,76
2015-11-01,3,75
2015-12-01,3,77
2016-01-01,2,95
2016-02-01,2,75
2016-03-01,4,74
2016-04-01,3,77
2016-05-01,4,78
2016-06-01,3,74
2016-07-01,4,100
2016-08-01,3,94
2016-09-01,4,83
2016-10-01,8,87
2016-11-01,4,76
2016-12-01,6,96
2017-01-01,7,93
