date,create new email account,how to delete a google account
2011-01-01,17,7
2011-02-01,17,6
2011-03-01,16,6
2011-04-01,18,7
2011-05-01,19,7
2011-06-01,20,8
2011-07-01,28,11
2011-08-01,27,10
2011-09-01,26,12
2011-10-01,25,11
2011-11-01,28,11
2011-12-01,25,11
2012-01-01,25,13
2012-02-01,25,9
2012-03-01,25,9
2012-04-01,23,9
2012-05-01,28,10
2012-06-01,30,10
2012-07-01,37,12
2012-08-01,32,15
2012-09-01,30,12
2012-10-01,29,9
2012-11-01,31,11
2012-12-01,38,12
2013-01-01,33,13
2013-02-01,34,13
2013-03-01,34,11
2013-04-01,33,13
2013-05-01,37,14
2013-06-01,39,14
2013-07-01,42,17
2013-08-01,45,16
2013-09-01,46,15
2013-10-01,44,16
2013-11-01,44,17
2013-12-01,48,18
2014-01-01,49,19
2014-02-01,49,19
2014-03-01,48,18
2014-04-01,50,17
2014-05-01,49,17
2014-06-01,47,17
2014-07-01,51,19
2014-08-01,56,19
2014-09-01,53,17
2014-10-01,51,16
2014-11-01,51,17
2014-12-01,54,16
2015-01-01,54,17
2015-02-01,50,15
2015-03-01,55,15
2015-04-01,56,15
2015-05-01,55,16
2015-06-01,58,17
2015-07-01,57,17
2015-08-01,59,18
2015-09-01,63,17
2015-10-01,57,16
2015-11-01,58,16
2015-12-01,72,16
2016-01-01,69,20
2016-02-01,66,16
2016-03-01,58,15
2016-04-01,61,17
2016-05-01,63,16
2016-06-01,63,16
2016-07-01,68,21
2016-08-01,70,20
2016-09-01,70,18
2016-10-01,74,18
2016-11-01,85,17
2016-12-01,96,20
2017-01-01,100,20
