date,chrome settings,how to delete a google account
2011-01-01,26,4
2011-02-01,28,3
2011-03-01,28,4
2011-04-01,25,4
2011-05-01,27,4
2011-06-01,32,5
2011-07-01,35,6
2011-08-01,31,6
2011-09-01,31,7
2011-10-01,32,6
2011-11-01,30,6
2011-12-01,31,6
2012-01-01,31,7
2012-02-01,33,5
2012-03-01,32,5
2012-04-01,36,5
2012-05-01,39,6
2012-06-01,41,6
2012-07-01,48,7
2012-08-01,60,8
2012-09-01,55,7
2012-10-01,53,5
2012-11-01,51,6
2012-12-01,53,7
2013-01-01,56,7
2013-02-01,60,7
2013-03-01,56,6
2013-04-01,56,8
2013-05-01,60,8
2013-06-01,64,8
2013-07-01,62,10
2013-08-01,73,9
2013-09-01,71,9
2013-10-01,71,9
2013-11-01,65,10
2013-12-01,68,10
2014-01-01,97,11
2014-02-01,89,11
2014-03-01,84,10
2014-04-01,86,10
2014-05-01,85,10
2014-06-01,79,10
2014-07-01,85,11
2014-08-01,86,11
2014-09-01,100,10
2014-10-01,93,9
2014-11-01,86,10
2014-12-01,85,9
2015-01-01,90,10
2015-02-01,85,9
2015-03-01,78,9
2015-04-01,85,9
2015-05-01,78,9
2015-06-01,75,10
2015-07-01,79,10
2015-08-01,82,11
2015-09-01,79,10
2015-10-01,73,9
2015-11-01,70,9
2015-12-01,72,10
2016-01-01,71,11
2016-02-01,68,9
2016-03-01,68,9
2016-04-01,68,10
2016-05-01,68,9
2016-06-01,69,9
2016-07-01,66,12
2016-08-01,75,12
2016-09-01,79,10
2016-10-01,83,10
2016-11-01,77,10
2016-12-01,74,12
2017-01-01,83,11
