date,create facebook account,how to delete a google account
2011-01-01,37,2
2011-02-01,35,2
2011-03-01,35,2
2011-04-01,39,2
2011-05-01,44,2
2011-06-01,53,2
2011-07-01,60,3
2011-08-01,64,3
2011-09-01,65,3
2011-10-01,59,3
2011-11-01,57,3
2011-12-01,60,3
2012-01-01,58,3
2012-02-01,55,2
2012-03-01,57,2
2012-04-01,57,2
2012-05-01,58,3
2012-06-01,61,3
2012-07-01,64,3
2012-08-01,62,4
2012-09-01,59,3
2012-10-01,57,2
2012-11-01,55,3
2012-12-01,57,3
2013-01-01,55,3
2013-02-01,59,3
2013-03-01,61,3
2013-04-01,62,4
2013-05-01,67,4
2013-06-01,77,4
2013-07-01,80,4
2013-08-01,78,4
2013-09-01,74,4
2013-10-01,75,4
2013-11-01,79,4
2013-12-01,77,5
2014-01-01,79,5
2014-02-01,78,5
2014-03-01,89,5
2014-04-01,83,5
2014-05-01,80,5
2014-06-01,83,5
2014-07-01,96,5
2014-08-01,100,5
2014-09-01,87,4
2014-10-01,88,4
2014-11-01,83,5
2014-12-01,87,4
2015-01-01,87,4
2015-02-01,79,4
2015-03-01,87,4
2015-04-01,94,4
2015-05-01,96,4
2015-06-01,86,4
2015-07-01,85,5
2015-08-01,80,5
2015-09-01,81,4
2015-10-01,78,4
2015-11-01,65,4
2015-12-01,64,4
2016-01-01,63,5
2016-02-01,59,4
2016-03-01,56,4
2016-04-01,56,5
2016-05-01,53,4
2016-06-01,57,4
2016-07-01,55,6
2016-08-01,54,5
2016-09-01,50,5
2016-10-01,47,5
2016-11-01,47,5
2016-12-01,51,5
2017-01-01,52,5
